# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	54987231.480283886
1018.6101701559753	54852689.0045516
1037.566678745186	54715642.670452714
1056.875971184804	54576045.88075702
1076.5446128423157	54433851.171051845
1096.5792912678098	54289010.19360378
1116.9868184678226	54141473.70091985
1137.7741332214914	53991191.52900285
1158.9483034398106	53838112.58029507
1180.5165285688054	53682184.80630455
1202.4861420374123	53523355.18990801
1224.8646137509306	53361569.72732453
1247.6595526308697	53196773.409753606
1270.8787092020582	53040195.29947938
1294.529978227916	52891537.265057154
1318.6214013947485	52740112.67931928
1343.1611700460153	52585870.05627503
1368.1576279674719	52428756.95177061
1393.619274224142	52268719.94565764
1419.5547660501015	52105704.623629645
1445.9729217920194	51939655.558720686
1472.882723907502	51770516.29245953
1500.2933220192183	51598229.315673195
1528.2140360258693	51422736.048933215
1556.654359271062	51243976.82263796
1585.6239617711371	51062543.02907843
1615.132693503091	50903403.281597085
1645.1905877536624	50741301.91633653
1675.807864530767	50576183.81708596
1706.9949340384078	50407992.84191249
1738.7624002162504	50236671.804072365
1771.1210643450886	50062162.45256672
1804.0819287193826	49884405.45233577
1837.6562003881704	49703340.36408409
1871.8552949655793	49518905.62373073
1906.690840512252	49331038.52147673
1942.1746814890264	49139675.180483066
1978.3188827841643	48944750.53515191
2015.1357338155585	48762648.89807375
2052.6377527092523	48591444.56141752
2090.8376905557498	48417054.08292467
2129.748535745521	48239418.167953484
2169.3835183851843	48058476.418378875
2209.756114795903	47874167.312056355
2250.880052095462	47686428.18190389
2292.7693128656488	47495195.194594346
2335.438139906479	47300403.32885153
2378.9010410788933	47101986.35334225
2423.1727942376006	46899876.8041569
2468.2684522556924	46694005.96187108
2514.2033481427966	46486048.891285196
2560.9931002584594	46307685.40597271
2608.6536176225477	46126002.54584895
2657.2011053245064	45940938.53678386
2706.652070033241	45752430.45502033
2757.0233256095826	45560414.2057794
2808.3319988231724	45364824.50146738
2860.5955351757416	45165594.83947737
2913.831704832789	44962657.47957758
2968.0586086656026	44755943.42087907
3023.2946844057765	44545382.378374554
3079.5587129142264	44330902.759040795
3136.8698245668766	44112431.63749626
3195.2475057592133	43912059.426680446
3254.711605531848	43725357.10433685
3315.282342319423	43535180.22000592
3376.9803108250912	43341464.11149785
3439.8264890229243	43144142.9132485
3503.8422452906757	42943149.53392434
3569.0493456752292	42738415.63361075
3635.4699612933177	42529871.60057562
3703.126675869927	42317446.52760068
3772.0424934169973	42101068.1878723
3842.240846055061	41880663.01042349
3913.745601980384	41656156.05511911
3986.581073580439	41430714.275852166
4060.7720257003657	41241448.56142461
4136.343684063274	41048660.57984689
4213.321743847289	40852284.78112795
4291.732378422157	40652254.39538036
4371.602248248501	40448501.41011764
4452.958509942655	40240956.54712938
4535.828825510186	40029549.23892592
4620.241371751313	39814207.60474456
4706.224849841281	39594858.42610944
4793.808495089106	39371427.12193635
4883.02208687788	39143837.72317441
4973.895958790063	38912012.84697582
5066.461008921268	38703488.23802254
5160.7487103859075	38510651.44127775
5256.791122018419	38314225.918933205
5354.620899273607	38114144.88419484
5454.271305329836	37910340.30735501
5555.7762223988775	37702742.89266163
5659.170163246242	37491282.05475687
5764.488282925873	37275885.89467738
5871.766390733255	37056481.17540786
5981.040962380945	36832993.296979696
6092.349152400711	36605346.271106206
6205.7288067765	36373462.6953457
6321.218475812449	36142233.31417064
6438.8574272404185	35951841.75564944
6558.685659571435	35757906.9778279
6680.743915695614	35560363.04079194
6805.073696735206	35359142.77747447
6931.717276155407	35154177.77081782
7060.717714137772	34945398.33051128
7192.118872221193	34732733.46929555
7325.96542821523	34516110.87882642
7462.302891391108	34295456.90508901
7601.17761795533	34070696.52335476
7742.636826811269	33841753.31267212
7886.728615614156	33608549.42988261
8033.501977124735	33402910.689541847
8183.00681586739	33213816.733216867
8335.293965098195	33021203.706189204
8490.415204088747	32825006.117954303
8648.423275731726	32625157.259218145
8809.37190447399	32421589.17921545
8973.31581458352	32214232.662605572
9140.310748756232	32003017.20593863
9310.413487069076	31787870.993683547
9483.681866285926	31568720.87380998
9660.174799522645	31345492.33291587
9839.952296278227	31118109.47089205
10023.075482838643	30893142.00250954
10209.606623060476	30710948.504235182
10399.609139541202	30525364.353956643
10593.1476351837	30336326.451063167
10790.287915161836	30143770.520630915
10991.097009294961	29947631.09156878
11195.643194838794	29747841.47435747
11403.99601970033	29544333.738374494
11616.22632608502	29337038.68879681
11832.40627458378	29125885.843073998
12052.609368708414	28910803.406963363
12276.910479883603	28691718.250119127
12505.385872903913	28468555.881227396
12738.113231864783	28275601.50559132
12975.171686575868	28098775.75851663
13216.641839466038	27918659.25420092
13462.60579298911	27735190.75109198
13713.147177539455	27548307.867921937
13968.351179887397	27357947.06249686
14228.30457214352	27164043.610091798
14493.09574126215	26966531.581443638
14762.81471909391	26765343.820334468
15037.553212997384	26560411.92075778
15317.404637020798	26351666.20365958
15602.46414366368	26139035.69324685
15892.828656229764	25930443.60350499
16188.596901781993	25763697.546791308
16489.86944471065	25593848.31758936
16796.74872092653	25420838.165331103
17109.339072690134	25244608.26470061
17427.746784089173	25065098.69563281
17752.08011717636	24882248.422940016
18082.44934877952	24695995.27555936
18418.96680799711	24506275.925413866
18761.746914391195	24313025.86588028
19110.90621689136	24116179.389856126
19466.56343342263	23915669.567418538
19828.83949127071	23711428.223067455
20197.857568198782	23538130.19001472
20573.743134329114	23379470.812970683
20956.623994804308	23217858.757923007
21346.630333242454	23053239.075031623
21743.8947560008	22885555.791830625
22148.55233726359	22714751.894196946
22560.74066496859	22540769.306964997
22980.599887588487	22363548.874180485
23408.272761782944	22183030.33898672
23843.904700937208	21999152.32313671
24287.643824604504	21811852.30612379
24739.64100886812	21621066.60392404
25200.049937640895	21435559.772832926
25669.027154919517	21288610.973324414
26146.732118010917	21138927.43165285
26633.327251749808	20986458.25380123
27128.978003724646	20831151.598606247
27633.852900531667	20672954.660131734
28148.123605075813	20511813.649714038
28671.964974937695	20347673.77767338
29205.55512182745	20180479.23468466
29749.075472144435	20010173.172801755
30302.71082866393	19836697.686128654
30866.649433372742	19659993.791130636
31441.08303147265	19480001.406579502
32026.206936576502	19329937.804309912
32622.220097116733	19192348.09462243
33229.325163989684	19052197.817025986
33847.72855945983	18909439.318916034
34477.640547344636	18764024.060865056
35119.275304507275	18615902.600118477
35772.850993678774	18465024.573783636
36438.58983763541	18311338.681705937
37116.71819475767	18154792.66902607
37807.466635993485	17995333.308413003
38511.070023255685	17832906.381965965
39227.76758927723	17667456.66277982
39957.803018952654	17508032.08807246
40701.42453219439	17382394.987963706
41458.88496832911	17254419.76004403
42230.441872066716	17124062.891357027
43016.35758106799	16991280.05916274
43816.89931514194	16856026.115867544
44632.33926710397	16718255.073673353
45462.95469532399	16577920.088941365
46309.02801799736	16434973.446264677
47170.84690917023	16289366.542244533
48048.704396551344	16141049.868964707
48942.89896114532	15989972.997158173
49853.73463873894	15836084.559060693
50781.5211232767	15709825.704572923
51726.57387216024	15593635.428646665
52689.21421350677	15475282.831914961
53669.76945540476	15354727.673219683
54668.57299720181	15231928.9625079
55685.96444286408	15106844.946894841
56722.28971644549	14979433.096467411
57777.90117970507	14849650.089823658
58853.1577519145	14717451.79934291
59948.42503189408	14582793.276181985
61064.07542232036	14445628.73499208
62200.48825634718	14305911.53835125
63358.04992658254	14172490.67199207
64537.15401646702	14067514.349220878
65738.20143409586	13960584.399220565
66961.60054853215	13851664.464655975
68207.76732865692	13740717.511575751
69477.1254846024	13627705.816820426
70770.10661181889	13512590.95519609
72087.15033782135	13395333.786409443
73428.70447166759	13275894.44175967
74795.22515621828	13154232.310582636
76187.17702322999	13030306.026442867
77605.0333513357	12904073.453068461
