# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	48644503.31920724
1018.6101701559753	48541254.87549621
1037.566678745186	48436084.96067934
1056.875971184804	48328957.81585244
1076.5446128423157	48219837.016632006
1096.5792912678098	48108685.460770495
1116.9868184678226	47995465.35554132
1137.7741332214914	47880138.20488875
1158.9483034398106	47762664.796338946
1180.5165285688054	47643005.187667206
1202.4861420374123	47521118.69331729
1224.8646137509306	47396963.8705678
1247.6595526308697	47270498.50544127
1270.8787092020582	47154791.87563423
1294.529978227916	47049520.095510475
1318.6214013947485	46942289.18964596
1343.1611700460153	46833062.69837733
1368.1576279674719	46721803.48352068
1393.619274224142	46608473.715744115
1419.5547660501015	46493034.86170549
1445.9729217920194	46375447.670950584
1472.882723907502	46255672.16256756
1500.2933220192183	46133667.61159305
1528.2140360258693	46009392.535165094
1556.654359271062	45882804.67841865
1585.6239617711371	45754514.904836446
1615.132693503091	45649576.38523655
1645.1905877536624	45542684.941931
1675.807864530767	45433804.23067736
1706.9949340384078	45322897.23086054
1738.7624002162504	45209926.23290565
1771.1210643450886	45094852.82545613
1804.0819287193826	44977637.88231354
1837.6562003881704	44858241.549134254
1871.8552949655793	44736623.22987849
1906.690840512252	44612741.57300734
1942.1746814890264	44486554.457422554
1978.3188827841643	44358018.97814527
2015.1357338155585	44241507.63409346
2052.6377527092523	44135347.507382914
2090.8376905557498	44027211.722650506
2129.748535745521	43917063.512564264
2169.3835183851843	43804865.42554596
2209.756114795903	43690579.31303706
2250.880052095462	43574166.31652792
2292.7693128656488	43455586.85434535
2335.438139906479	43334800.608194575
2378.9010410788933	43211766.50945045
2423.1727942376006	43086442.72519368
2468.2684522556924	42958786.6439873
2514.2033481427966	42830109.64033109
2560.9931002584594	42725017.46527203
2608.6536176225477	42617969.506953046
2657.2011053245064	42508929.36791486
2706.652070033241	42397859.973335385
2757.0233256095826	42284723.55842363
2808.3319988231724	42169481.65557959
2860.5955351757416	42052095.081314474
2913.831704832789	41932523.92292827
2968.0586086656026	41810727.52493877
3023.2946844057765	41686664.475258276
3079.5587129142264	41560292.591113165
3136.8698245668766	41431568.904701196
3195.2475057592133	41315909.83021787
3254.711605531848	41210234.258771375
3315.282342319423	41102592.04695891
3376.9803108250912	40992946.59526867
3439.8264890229243	40881260.62306565
3503.8422452906757	40767496.155915886
3569.0493456752292	40651614.51267477
3635.4699612933177	40533576.29233496
3703.126675869927	40413341.36062974
3772.0424934169973	40290868.83638678
3842.240846055061	40166117.077628255
3913.745601980384	40039043.66741196
3986.581073580439	39911667.489009924
4060.7720257003657	39807589.148357004
4136.343684063274	39701573.89207501
4213.321743847289	39593585.67383447
4291.732378422157	39483587.77647764
4371.602248248501	39371542.79953422
4452.958509942655	39257412.64650471
4535.828825510186	39141158.511907436
4620.241371751313	39022740.86808394
4706.224849841281	38902119.45175942
4793.808495089106	38779253.2503527
4883.02208687788	38654100.488031305
4973.895958790063	38526618.61150766
5066.461008921268	38413004.042162396
5160.7487103859075	38308783.06015136
5256.791122018419	38202622.507931285
5354.620899273607	38094486.28977052
5454.271305329836	37984337.63818977
5555.7762223988775	37872139.10146065
5659.170163246242	37757852.53087174
5764.488282925873	37641439.067757644
5871.766390733255	37522859.130286545
5981.040962380945	37402072.400001995
6092.349152400711	37279037.8081143
6205.7288067765	37153713.52153654
6321.218475812449	37028800.011827424
6438.8574272404185	36926478.522550076
6558.685659571435	36822252.81294665
6680.743915695614	36716087.4451529
6805.073696735206	36607946.32179981
6931.717276155407	36497792.67374025
7060.717714137772	36385589.047547065
7192.118872221193	36271297.292778246
7325.96542821523	36154878.549005784
7462.302891391108	36036293.23260236
7601.17761795533	35915501.02328267
7742.636826811269	35792460.85039403
7886.728615614156	35667130.87895189
8033.501977124735	35556239.61697774
8183.00681586739	35453993.19249956
8335.293965098195	35349843.944664024
8490.415204088747	35243756.46160468
8648.423275731726	35135694.67243413
8809.37190447399	35025621.8349798
8973.31581458352	34913500.523290865
9140.310748756232	34799292.614913285
9310.413487069076	34682959.277927645
9483.681866285926	34564460.957745895
9660.174799522645	34443757.36366236
9839.952296278227	34320807.45515451
10023.075482838643	34198944.894259974
10209.606623060476	34098661.817564756
10399.609139541202	33996512.45574848
10593.1476351837	33892462.0769275
10790.287915161836	33786475.30285186
10991.097009294961	33678516.096876405
11195.643194838794	33568547.7517078
11403.99601970033	33456532.876923867
11616.22632608502	33342433.386260197
11832.40627458378	33226210.484660566
12052.609368708414	33107824.655086152
12276.910479883603	32987235.645079285
12505.385872903913	32864402.45307726
12738.113231864783	32756379.61254551
12975.171686575868	32656157.873150006
13216.641839466038	32554070.990131006
13462.60579298911	32450084.252848327
13713.147177539455	32344162.304690868
13968.351179887397	32236269.13105494
14228.30457214352	32126368.047098972
14493.09574126215	32014421.68527027
14762.81471909391	31900391.982599583
15037.553212997384	31784240.167759366
15317.404637020798	31665926.74788105
15602.46414366368	31545411.495127056
15892.828656229764	31426605.704768956
16188.596901781993	31328192.772221375
16489.86944471065	31227948.35825355
16796.74872092653	31125838.37868459
17109.339072690134	31021828.115021233
17427.746784089173	30915882.202653132
17752.08011717636	30807964.6188285
18082.44934877952	30698038.67040611
18418.96680799711	30586066.98137901
18761.746914391195	30472011.480166458
19110.90621689136	30355833.386669144
19466.56343342263	30237493.199083406
19828.83949127071	30116950.68047043
20197.857568198782	30011463.67066365
20573.743134329114	29912907.71666444
20956.623994804308	29812517.619591393
21346.630333242454	29710259.245729838
21743.8947560008	29606097.82613087
22148.55233726359	29499997.94478947
22560.74066496859	29391923.526602782
22980.599887588487	29281837.825104125
23408.272761782944	29169703.409968834
23843.904700937208	29055482.154287536
24287.643824604504	28939135.22160259
24739.64100886812	28820623.052703235
25200.049937640895	28704393.93842472
25669.027154919517	28607358.44281252
26146.732118010917	28508517.100115847
26633.327251749808	28407836.30321311
27128.978003724646	28305281.8195486
27633.852900531667	28200818.77949282
28148.123605075813	28094411.664486587
28671.964974937695	27986024.294964306
29205.55512182745	27875619.81805242
29749.075472144435	27763160.695039254
30302.71082866393	27648608.68861121
30866.649433372742	27531924.849851828
31441.08303147265	27413069.50499868
32026.206936576502	27309510.030774888
32622.220097116733	27212055.049476247
33229.325163989684	27112786.41439313
33847.72855945983	27011670.37311992
34477.640547344636	26908672.545113146
35119.275304507275	26803757.91000145
35772.850993678774	26696890.795678496
36438.58983763541	26588034.8661739
37116.71819475767	26477153.109298747
37807.466635993485	26364207.824060943
38511.070023255685	26249160.607846536
39227.76758927723	26131972.34336242
39957.803018952654	26017625.83675181
40701.42453219439	25921428.190947752
41458.88496832911	25823440.290586684
42230.441872066716	25723628.81872667
43016.35758106799	25621959.8383918
43816.89931514194	25518398.781033337
44632.33926710397	25412910.434775896
45462.95469532399	25305458.93244512
46309.02801799736	25196007.739372462
47170.84690917023	25084519.64097295
48048.704396551344	24970956.730091847
48942.89896114532	24855280.39411583
49853.73463873894	24737451.301844317
50781.5211232767	24635296.107577898
51726.57387216024	24538515.897238117
52689.21421350677	24439934.59071619
53669.76945540476	24339518.669305675
54668.57299720181	24237233.990511354
55685.96444286408	24133045.77644032
56722.28971644549	24026918.601977162
57777.90117970507	23918816.382739086
58853.1577519145	23808702.362806756
59948.42503189408	23696539.10222693
61064.07542232036	23582288.464282453
62200.48825634718	23465911.602525383
63358.04992658254	23352971.29258008
64537.15401646702	23257404.989724115
65738.20143409586	23160060.181710847
66961.60054853215	23060903.77025663
68207.76732865692	22959902.04111318
69477.1254846024	22857020.652604353
70770.10661181889	22752224.623949476
72087.15033782135	22645478.323369674
73428.70447166759	22536745.45597256
74795.22515621828	22425989.051411618
76187.17702322999	22313171.451315936
77605.0333513357	22198254.29648591
79049.2762269642	22081198.513850648
80520.39670825469	21980432.98686515
82018.8949920221	21884426.637485944
83545.28058382872	21786633.593608767
85100.07247122246	21687020.604544956
86683.79930019773	21585553.80080493
88296.99955494082	21482198.68258212
89940.22174092053	21376920.10802268
91614.0245713852	21269682.28127691
93318.9771573324	21160448.740328252
95055.65920101192	21049182.344595805
96824.66119303115	20935845.262306124
98626.5846131283	20820398.957630053
100462.04213468132	20709061.411487352
102331.65783302448	20614597.55767295
104236.06739764012	20518375.71546548
106175.9183482999	20420363.16840183
108151.87025522892	20320526.59115987
110164.59496336569	20218832.038227655
112214.77682079801	20115244.932361457
114303.11291144785	20009730.05282911
116430.31329208757	19902251.523434676
118597.10123376705	19792772.800320085
120804.21346773289	19681256.659539893
123052.40043592616	19567665.184404645
125342.42654613995	19451959.752588857
127675.07043192645	19353388.496423937
130051.12521734099	19259045.9817111
132471.39878661174	19162947.73674652
134936.71405883064	19065061.087091465
137447.90926775365	18965352.750230324
140005.8382468096	18863788.824254226
142611.37071941295	18760334.776333984
145265.39259467812	18654955.43097864
147968.80626863963	18547614.958075322
150722.53093107554	18438276.860706646
153527.5028780421	18326903.962741397
156384.67583022476	18213458.396194234
159295.0212572123	18104869.668387353
162259.5287078087	18012800.73915596
165279.2061464897	17919018.39148548
168355.08029612005	17823490.738367256
171488.19698705408	17726185.29936988
174679.62151272455	17627068.989595663
177930.43899185772	17526108.1084313
181241.75473742394	17423268.328089382
184614.69463245454	17318514.681936532
188050.40551285836	17211811.552604266
191550.0555573528	17103122.659878977
195114.83468466165	16992411.048366003
198745.9549580986	16879639.07492452
202444.65099768018	16784914.142267533
206212.18039991445	16693912.817860646
210049.8241653915	16601217.943322133
213958.88713434213	16506798.001395864
217940.6984302958	16410620.888284229
221996.61191199525	16312653.90273249
226128.00663372793	16212863.734909946
230336.2873142131	16111216.455084343
234622.88481422624	16007677.502085293
238989.25662310526	15902211.671553142
243436.8873543108	15794783.10396918
247967.289250216	15685355.272462845
252582.00269627848	15581543.205378106
257282.59674479323	15493819.870758828
262070.66964838552	15404463.98995561
266947.8494034318	15313445.181006242
271915.7943036019	15220732.496534904
276976.1935036891	15126294.413229946
282130.76759394706	15030098.821125487
287381.2691851069	14932113.012683695
292729.4835042813	14832303.67167395
298177.22900196735	14730636.861844836
303726.3579703311	14627078.015385596
309378.75717301364	14521591.921172597
315136.34848664823	14414142.712797191
321001.08955431683	14325445.50043716
326974.97445117676	14239930.771075068
333060.03436245886	14152824.598048724
339258.33827409917	14064097.364320725
345571.9936762143	13973718.901675565
352003.1472796675	13881658.480462167
358553.9857459817	13787884.799145335
365226.7364308175	13692365.973663054
372023.6681413066	13595069.526585445
378947.09190746717	13495962.376072142
385999.36176797637	13395010.824624144
393182.87557057705	13292180.547626153
