# Frequency (Hz)	Real Part (Ohm/m)
1000.0	9221025.211841512
1018.6101701559753	9231046.531564653
1037.566678745186	9241254.349753024
1056.875971184804	9251652.137174806
1076.5446128423157	9262243.429189753
1096.5792912678098	9273031.826951263
1116.9868184678226	9284020.998630831
1137.7741332214914	9295214.680665229
1158.9483034398106	9306616.67902696
1180.5165285688054	9318230.87051832
1202.4861420374123	9330061.204089554
1224.8646137509306	9342111.702181555
1247.6595526308697	9354386.462093512
1270.8787092020582	9364336.04976133
1294.529978227916	9372019.262940396
1318.6214013947485	9379845.462024068
1343.1611700460153	9387817.308004363
1368.1576279674719	9395937.511394808
1393.619274224142	9404208.833152052
1419.5547660501015	9412634.08561461
1445.9729217920194	9421216.133459108
1472.882723907502	9429957.894674273
1500.2933220192183	9438862.341553118
1528.2140360258693	9447932.501703523
1556.654359271062	9457171.45907767
1585.6239617711371	9466477.542205168
1615.132693503091	9471831.210994959
1645.1905877536624	9477284.512471884
1675.807864530767	9482839.300817208
1706.9949340384078	9488497.464718824
1738.7624002162504	9494260.928013412
1771.1210643450886	9500131.650340606
1804.0819287193826	9506111.627809243
1837.6562003881704	9512202.8936761
1871.8552949655793	9518407.519037208
1906.690840512252	9524727.613532035
1942.1746814890264	9531165.326060815
1978.3188827841643	9537722.845515173
2015.1357338155585	9542550.371555535
2052.6377527092523	9545859.373784812
2090.8376905557498	9549229.95710862
2129.748535745521	9552663.267561609
2169.3835183851843	9556160.472506328
2209.756114795903	9559722.761030132
2250.880052095462	9563351.344349515
2292.7693128656488	9567047.456221893
2335.438139906479	9570812.353365136
2378.9010410788933	9574647.315884827
2423.1727942376006	9578553.647709552
2468.2684522556924	9582532.67703423
2514.2033481427966	9586451.393976076
2560.9931002584594	9587866.469323482
2608.6536176225477	9589307.879463892
2657.2011053245064	9590776.11449228
2706.652070033241	9592271.673624372
2757.0233256095826	9593795.065366395
2808.3319988231724	9595346.807687946
2860.5955351757416	9596927.42819814
2913.831704832789	9598537.464324983
2968.0586086656026	9600177.463498106
3023.2946844057765	9601847.983334893
3079.5587129142264	9603549.591830092
3136.8698245668766	9605282.867548924
3195.2475057592133	9605930.230873356
3254.711605531848	9605711.901135843
3315.282342319423	9605489.508244762
3376.9803108250912	9605262.976584144
3439.8264890229243	9605032.229130771
3503.8422452906757	9604797.187428027
3569.0493456752292	9604557.771559205
3635.4699612933177	9604313.900120327
3703.126675869927	9604065.490192467
3772.0424934169973	9603812.457313584
3842.240846055061	9603554.715449775
3913.745601980384	9603292.176966025
3986.581073580439	9602926.048420172
4060.7720257003657	9601324.463438662
4136.343684063274	9599693.072688123
4213.321743847289	9598031.321478125
4291.732378422157	9596338.644795356
4371.602248248501	9594614.467111498
4452.958509942655	9592858.202187564
4535.828825510186	9591069.252874566
4620.241371751313	9589247.01091044
4706.224849841281	9587390.856713308
4793.808495089106	9585500.159170717
4883.02208687788	9583574.275425157
4973.895958790063	9581612.550655387
5066.461008921268	9579195.369914293
5160.7487103859075	9576436.326259434
5256.791122018419	9573625.936332691
5354.620899273607	9570763.244571202
5454.271305329836	9567847.277628936
5555.7762223988775	9564877.0440457
5659.170163246242	9561851.533910075
5764.488282925873	9558769.71851602
5871.766390733255	9555630.550013091
5981.040962380945	9552432.961050173
6092.349152400711	9549175.86441257
6205.7288067765	9545858.152652325
6321.218475812449	9542461.733330159
6438.8574272404185	9538848.01081086
6558.685659571435	9535167.036300575
6680.743915695614	9531417.558228323
6805.073696735206	9527598.301731141
6931.717276155407	9523707.968220681
7060.717714137772	9519745.234941635
7192.118872221193	9515708.754521975
7325.96542821523	9511597.154514873
7462.302891391108	9507409.036932029
7601.17761795533	9503142.977768334
7742.636826811269	9498797.526517704
7886.728615614156	9494371.205679901
8033.501977124735	9490044.211907627
8183.00681586739	9485752.710516034
8335.293965098195	9481381.343553318
8490.415204088747	9476928.624707613
8648.423275731726	9472393.04000653
8809.37190447399	9467773.0473024
8973.31581458352	9463067.07574793
9140.310748756232	9458273.525262086
9310.413487069076	9453390.765986044
9483.681866285926	9448417.137729049
9660.174799522645	9443350.949403895
9839.952296278227	9438190.478451967
10023.075482838643	9433018.49958728
10209.606623060476	9428347.461456798
10399.609139541202	9423589.494511897
10593.1476351837	9418742.980992561
10790.287915161836	9413806.273031961
10991.097009294961	9408777.692096204
11195.643194838794	9403655.52841359
11403.99601970033	9398438.04039328
11616.22632608502	9393123.454033121
11832.40627458378	9387709.962316493
12052.609368708414	9382195.724597882
12276.910479883603	9376578.865977041
12505.385872903913	9370857.47666153
12738.113231864783	9365648.061995484
12975.171686575868	9360696.622983808
13216.641839466038	9355653.036849616
13462.60579298911	9350515.588719262
13713.147177539455	9345282.531805042
13968.351179887397	9339952.08681121
14228.30457214352	9334522.441329034
14493.09574126215	9328991.749220548
14762.81471909391	9323358.129990846
15037.553212997384	9317619.66814868
15317.404637020798	9311774.412555201
15602.46414366368	9305820.375760525
15892.828656229764	9299929.301604478
16188.596901781993	9294922.410013162
16489.86944471065	9289822.339317378
16796.74872092653	9284627.355438137
17109.339072690134	9279335.692024944
17427.746784089173	9273945.549855229
17752.08011717636	9268455.096222565
18082.44934877952	9262862.464313561
18418.96680799711	9257165.752573118
18761.746914391195	9251363.024057852
19110.90621689136	9245452.30577755
19466.56343342263	9239431.588024305
19828.83949127071	9233298.823689211
20197.857568198782	9227886.43616192
20573.743134329114	9222802.385575213
20956.623994804308	9217623.719942
21346.630333242454	9212348.67846017
21743.8947560008	9206975.467558783
22148.55233726359	9201502.260288237
22560.74066496859	9195927.19569909
22980.599887588487	9190248.378209313
23408.272761782944	9184463.876959758
23843.904700937208	9178571.725157684
24287.643824604504	9172569.919407988
24739.64100886812	9166456.419032047
25200.049937640895	9160449.136993796
25669.027154919517	9155376.777017245
26146.732118010917	9150210.019558456
26633.327251749808	9144947.10786419
27128.978003724646	9139586.252487784
27633.852900531667	9134125.630680641
28148.123605075813	9128563.385772511
28671.964974937695	9122897.62654019
29205.55512182745	9117126.426564494
29749.075472144435	9111247.823575241
30302.71082866393	9105259.818784082
30866.649433372742	9099160.376204867
31441.08303147265	9092947.421961393
32026.206936576502	9087434.567244366
32622.220097116733	9082193.33312015
33229.325163989684	9076854.558737058
33847.72855945983	9071416.428854272
34477.640547344636	9065877.09444903
35119.275304507275	9060234.672087966
35772.850993678774	9054487.243286664
36438.58983763541	9048632.85385741
37116.71819475767	9042669.513244722
37807.466635993485	9036595.193848532
38511.070023255685	9030407.830334794
39227.76758927723	9024105.318933254
39957.803018952654	9017894.834638119
40701.42453219439	9012413.80631158
41458.88496832911	9006830.775115253
42230.441872066716	9001143.842758378
43016.35758106799	8995351.075622674
43816.89931514194	8989450.504104905
44632.33926710397	8983440.121947164
45462.95469532399	8977317.885554774
46309.02801799736	8971081.71330138
47170.84690917023	8964729.484821228
48048.704396551344	8958259.040288199
48942.89896114532	8951668.179681415
49853.73463873894	8944954.662037272
50781.5211232767	8938747.711405039
51726.57387216024	8932682.425545309
52689.21421350677	8926504.263683673
53669.76945540476	8920211.125178548
54668.57299720181	8913800.870295027
55685.96444286408	8907271.319477377
56722.28971644549	8900620.252607975
57777.90117970507	8893845.408252407
58853.1577519145	8886944.48289061
59948.42503189408	8879915.130133592
61064.07542232036	8872754.95992568
62200.48825634718	8865461.537731852
63358.04992658254	8858194.933947342
64537.15401646702	8851358.182818014
65738.20143409586	8844394.198586857
