# Frequency (Hz)	Real Part (Ohm/m)
1000.0	30572004.66860149
1018.6101701559753	30624379.022322394
1037.566678745186	30677728.07167786
1056.875971184804	30732069.95591948
1076.5446128423157	30787423.151873454
1096.5792912678098	30843806.480222777
1116.9868184678226	30901239.11190665
1137.7741332214914	30959740.574638683
1158.9483034398106	31019330.75954651
1180.5165285688054	31080029.927935112
1202.4861420374123	31141858.71817576
1224.8646137509306	31204838.152723312
1247.6595526308697	31268989.645264115
1270.8787092020582	31321344.396491457
1294.529978227916	31362202.11150119
1318.6214013947485	31403820.195539452
1343.1611700460153	31446212.799203232
1368.1576279674719	31489394.33643454
1393.619274224142	31533379.48942131
1419.5547660501015	31578183.21358953
1445.9729217920194	31623820.74268812
1472.882723907502	31670307.59396873
1500.2933220192183	31717659.573461708
1528.2140360258693	31765892.781350255
1556.654359271062	31815023.617444787
1585.6239617711371	31864514.46761496
1615.132693503091	31893107.451870464
1645.1905877536624	31922232.55642822
1675.807864530767	31951899.684137616
1706.9949340384078	31982118.922141727
1738.7624002162504	32012900.545307074
1771.1210643450886	32044255.0197172
1804.0819287193826	32076193.006231245
1837.6562003881704	32108725.364108767
1871.8552949655793	32141863.154701963
1906.690840512252	32175617.64521669
1942.1746814890264	32210000.312543437
1978.3188827841643	32245022.84715952
2015.1357338155585	32270558.421000678
2052.6377527092523	32287764.397994183
2090.8376905557498	32305290.58114724
2129.748535745521	32323142.92955097
2169.3835183851843	32341327.51319619
2209.756114795903	32359850.515037227
2250.880052095462	32378718.233094353
2292.7693128656488	32397937.08259497
2335.438139906479	32417513.598154992
2378.9010410788933	32437454.436000656
2423.1727942376006	32457766.37623168
2468.2684522556924	32478456.325126603
2514.2033481427966	32498774.622908745
2560.9931002584594	32504960.5112106
2608.6536176225477	32511261.51994632
2657.2011053245064	32517679.79152678
2706.652070033241	32524217.50823345
2757.0233256095826	32530876.892960478
2808.3319988231724	32537660.209970374
2860.5955351757416	32544569.76566407
2913.831704832789	32551607.909364935
2968.0586086656026	32558777.03411766
3023.2946844057765	32566079.57750187
3079.5587129142264	32573518.02246106
3136.8698245668766	32581094.89814663
3195.2475057592133	32582395.687638156
3254.711605531848	32578683.393314548
3315.282342319423	32574902.01256192
3376.9803108250912	32571050.25967004
3439.8264890229243	32567126.825001463
3503.8422452906757	32563130.374546096
3569.0493456752292	32559059.549467742
3635.4699612933177	32554912.965641998
3703.126675869927	32550689.213185694
3772.0424934169973	32546386.855977476
3842.240846055061	32542004.431169547
3913.745601980384	32537540.44869025
3986.581073580439	32532426.02432274
4060.7720257003657	32520153.996939573
4136.343684063274	32507653.58503864
4213.321743847289	32494920.538345214
4291.732378422157	32481950.527486224
4371.602248248501	32468739.142518222
4452.958509942655	32455281.89142796
4535.828825510186	32441574.198605094
4620.241371751313	32427611.403286338
4706.224849841281	32413388.757970843
4793.808495089106	32398901.426805954
4883.02208687788	32384144.483942997
4973.895958790063	32369112.911862377
5066.461008921268	32351502.05902893
5160.7487103859075	32331933.943443842
5256.791122018419	32312001.661898077
5354.620899273607	32291698.43720114
5454.271305329836	32271017.36603789
5555.7762223988775	32249951.416621286
5659.170163246242	32228493.426301543
5764.488282925873	32206636.09913073
5871.766390733255	32184372.00338212
5981.040962380945	32161693.56902325
6092.349152400711	32138593.085142113
6205.7288067765	32115062.697325252
6321.218475812449	32091045.65584523
6438.8574272404185	32066138.84232788
6558.685659571435	32040768.508772925
