# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	1771075304.7816105
1018.6101701559753	1763731163.4714594
1037.566678745186	1756250346.441877
1056.875971184804	1748630310.1344683
1076.544612842316	1740868463.6547835
1096.5792912678098	1732962167.8913875
1116.9868184678226	1724908734.6185317
1137.7741332214914	1716705425.5821278
1158.9483034398106	1708349451.5687144
1180.5165285688056	1699837971.457092
1202.4861420374123	1691168091.252314
1224.8646137509306	1682336863.1016932
1247.6595526308697	1673341284.2925026
1270.8787092020582	1665971681.3512826
1294.529978227916	1660186631.020872
1318.6214013947485	1654293919.9194522
1343.1611700460153	1648291544.4617553
1368.1576279674719	1642177463.77545
1393.6192742241421	1635949599.0072255
1419.5547660501015	1629605832.6159556
1445.9729217920196	1623144007.6527147
1472.8827239075017	1616561927.0273898
1500.2933220192183	1609857352.761647
1528.2140360258693	1603028005.2279954
1556.654359271062	1596071562.3746884
1585.6239617711371	1589035978.2251499
1615.1326935030913	1583850109.3472059
1645.1905877536624	1578567730.5670366
1675.8078645307671	1573187045.8189402
1706.994934038408	1567706225.6121256
1738.7624002162504	1562123406.4086685
1771.1210643450886	1556436689.9898849
1804.0819287193829	1550644142.8109188
1837.6562003881704	1544743795.3433158
1871.8552949655793	1538733641.405361
1906.690840512252	1532611637.4799573
1942.1746814890264	1526375702.0198064
1978.3188827841643	1520023714.7396605
2015.1357338155585	1514138211.3644538
2052.6377527092523	1508650946.91079
2090.83769055575	1503061563.5319524
2129.748535745521	1497368160.7773674
2169.3835183851843	1491568802.8287532
2209.756114795903	1485661517.84192
2250.880052095462	1479644297.276322
2292.7693128656488	1473515095.2121322
2335.438139906479	1467271827.6546073
2378.9010410788933	1460912371.8255076
2423.1727942376006	1454434565.4413285
2468.2684522556924	1447836205.9781034
2514.2033481427966	1441145205.8339293
2560.9931002584594	1434907961.2179968
2608.6536176225477	1428554640.418458
2657.201105324507	1422083083.2377832
2706.652070033241	1415491089.276803
2757.0233256095826	1408776417.1865416
2808.3319988231724	1401936783.9061384
2860.595535175742	1394969863.8865826
2913.8317048327885	1387873288.3
2968.058608665602	1380644644.2342262
3023.2946844057765	1373281473.8723915
3079.5587129142264	1365781273.6572356
3136.8698245668766	1358141493.4398718
3195.2475057592137	1350684434.2394686
3254.711605531848	1343343636.9215522
3315.282342319423	1335866226.1164687
3376.9803108250912	1328249659.4239762
