#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
-42.744605171828	0.0000000000000
-42.517295193707	5.4864429298690e-12
-42.289985215585	1.2064560870609e-11
-42.062675237464	1.8992175997510e-11
-41.835365259342	2.7430815007228e-11
-41.608055281220	3.7702725390393e-11
-41.380745303099	5.0197264460694e-11
-41.153435324977	6.5384564218266e-11
-40.926125346855	8.3831732822345e-11
-40.698815368734	1.0622224311215e-10
-40.471505390612	1.3337921928432e-10
-40.244195412491	1.6629320547985e-10
-40.016885434369	2.0615571170032e-10
-39.789575456247	2.5439869081369e-10
-39.562265478126	3.1274121865606e-10
-39.334955500004	3.8324572932458e-10
-39.107645521882	4.6838489425250e-10
-38.880335543761	5.7112109609017e-10
-38.653025565639	6.9499966689265e-10
-38.425715587518	8.4425864844585e-10
-38.198405609396	1.0239614351242e-09
-37.971095631274	1.2401563506858e-09
-37.743785653153	1.5000629561716e-09
-37.516475675031	1.8122881202993e-09
-37.289165696909	2.1870813009512e-09
-37.061855718788	2.6366368286197e-09
-36.834545740666	3.1754544475222e-09
-36.607235762545	3.8207643219227e-09
-36.379925784423	4.5930195596502e-09
-36.152615806301	5.5164832872538e-09
-35.925305828180	6.6199282746316e-09
-35.697995850058	7.9374341297155e-09
-35.470685871936	9.5093145995478e-09
-35.243375893815	1.1383206658832e-08
-35.016065915693	1.3615366671466e-08
-34.788755937572	1.6272201028287e-08
-34.561445959450	1.9432037468610e-08
-34.334135981328	2.3187175317537e-08
-34.106826003207	2.7646271140342e-08
-33.879516025085	3.2937102537123e-08
-33.652206046963	3.9209817436133e-08
-33.424896068842	4.6640697127742e-08
-33.197586090720	5.5436470809065e-08
-32.970276112599	6.5839421404304e-08
-32.742966134477	7.8133249792464e-08
-32.515656156355	9.2649820048650e-08
-32.288346178234	1.0977702786227e-07
-32.061036200112	1.2996784931704e-07
-31.833726221990	1.5375068691337e-07
-31.606416243869	1.8174127591741e-07
-31.379106265747	2.1465673980993e-07
-31.151796287626	2.5333169459786e-07
-30.924486309504	2.9873611783587e-07
-30.697176331382	3.5199571068913e-07
-30.469866353261	4.1441595010260e-07
-30.242556375139	4.8751062094809e-07
-30.015246397017	5.7303386297836e-07
-29.787936418896	6.7301478595213e-07
-29.560626440774	7.8979664727270e-07
-29.333316462653	9.2608269110977e-07
-29.106006484531	1.0849906436714e-06
-28.878696506409	1.2701147510732e-06
-28.651386528288	1.4855926410967e-06
-28.424076550166	1.7361803669393e-06
-28.196766572044	2.0273371841661e-06
-27.969456593923	2.3653271355315e-06
-27.742146615801	2.7573349268976e-06
-27.514836637680	3.2115872112373e-06
-27.287526659558	3.7374891210354e-06
-27.060216681436	4.3457839594396e-06
-26.832906703315	5.0487371141995e-06
-26.605596725193	5.8603409648005e-06
-26.378286747071	6.7965315729780e-06
-26.150976768950	7.8754339077966e-06
-25.923666790828	9.1176332432442e-06
-25.696356812707	1.0546482501336e-05
-25.469046834585	1.2188454082196e-05
-25.241736856463	1.4073533561979e-05
-25.014426878342	1.6235664317623e-05
-24.787116900220	1.8713229393812e-05
-24.559806922098	2.1549547331971e-05
-24.332496943977	2.4793404460164e-05
-24.105186965855	2.8499670367617e-05
-23.877876987734	3.2730046932743e-05
-23.650567009612	3.7553888557112e-05
-23.423257031490	4.3049019286057e-05
-23.195947053369	4.9302610458281e-05
-22.968637075247	5.6412159832552e-05
-22.741327097125	6.4486636186298e-05
-22.514017119004	7.3647718035963e-05
-22.286707140882	8.4030983179638e-05
-22.059397162761	9.5787285749067e-05
-21.832087184639	0.00010908437366481
-21.604777206517	0.00012410859391287
-21.377467228396	0.00014106656991779
-21.150157250274	0.00016018699343485
-20.922847272153	0.00018172271607429
-20.695537294031	0.00020595299977292
-20.468227315909	0.00023318593180980
-20.240917337788	0.00026376084303204
-20.013607359666	0.00029805062867458
-19.786297381544	0.00033646440921467
-19.558987403423	0.00037945076488422
-19.331677425301	0.00042750113354198
-19.104367447180	0.00048115283887337
-18.877057469058	0.00054099210486888
-18.649747490936	0.00060765774249709
-18.422437512815	0.00068184496187977
-18.195127534693	0.00076430904522433
-17.967817556571	0.00085586933770664
-17.740507578450	0.00095741362898888
-17.513197600328	0.0010699021196528
-17.285887622207	0.0011943701705072
-17.058577644085	0.0013319316947026
-16.831267665963	0.0014837851011817
-16.603957687842	0.0016512198650136
-16.376647709720	0.0018356224397819
-16.149337731598	0.0020384765342983
-15.922027753477	0.0022613608541384
-15.694717775355	0.0025059548675120
-15.467407797234	0.0027740506278716
-15.240097819112	0.0030675577201406
-15.012787840990	0.0033885011311301
-14.785477862869	0.0037390190414880
-14.558167884747	0.0041213659746431
-14.330857906625	0.0045379261368940
-14.103547928504	0.0049912178022373
-13.876237950382	0.0054838875116990
-13.648927972261	0.0060186919729665
-13.421617994139	0.0065984903510919
-13.194308016017	0.0072262589054349
-12.966998037896	0.0079051149338906
-12.739688059774	0.0086383312760921
-12.512378081652	0.0094293084052215
-12.285068103531	0.010281536995417
-12.057758125409	0.011198579611209
-11.830448147288	0.012184085718648
-11.603138169166	0.013241818017647
-11.375828191044	0.014375644166370
-11.148518212923	0.015589524171201
-10.921208234801	0.016887472559491
-10.693898256679	0.018273521382248
-10.466588278558	0.019751735586149
-10.239278300436	0.021326223299454
-10.011968322315	0.023001107449336
-9.7846583441929	0.024780504218232
-9.5573483660713	0.026668513140949
-9.3300383879497	0.028669225165857
-9.1027284098281	0.030786687793397
-8.8754184317064	0.033024814773049
-8.6481084535848	0.035387361147876
-8.4207984754632	0.037877919586035
-8.1934884973416	0.040499953536036
-7.9661785192199	0.043256864035210
-7.7388685410983	0.046151983172857
-7.5115585629767	0.049188422410314
-7.2842485848551	0.052368883450479
-7.0569386067334	0.055695590419974
-6.8296286286118	0.059170429122639
-6.6023186504902	0.062795207335440
-6.3750086723686	0.066571635107963
-6.1476986942469	0.070501026442923
-5.9203887161253	0.074584057683010
-5.6930787380037	0.078820835759900
-5.4657687598821	0.083211143291376
-5.2384587817604	0.087754622095062
-5.0111488036388	0.092450572217772
-4.7838388255172	0.097297489346158
-4.5565288473956	0.10229286754756
-4.3292188692740	0.10743347630190
