#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
-42.744605171828	-1.5499915851556e-09
-42.517295194488	-4.7401657858378e-09
-42.289985217147	-2.5690717764281e-09
-42.062675239807	-3.1134571577320e-09
-41.835365262466	-3.7705193551445e-09
-41.608055285126	-4.5630001030021e-09
-41.380745307785	-5.5181067621788e-09
-41.153435330445	-6.6683674494182e-09
-40.926125353104	-8.0526351047078e-09
-40.698815375764	-9.7172817067523e-09
-40.471505398423	-1.1717623881855e-08
-40.244195421083	-1.4119570211068e-08
-40.016885443742	-1.7001598182861e-08
-39.789575466401	-2.0457085845560e-08
-39.562265489061	-2.4597045806305e-08
-39.334955511720	-2.9553337054411e-08
-39.107645534380	-3.5482463741707e-08
-38.880335557039	-4.2570048500950e-08
-38.653025579699	-5.1036013421990e-08
-38.425715602358	-6.1140772745124e-08
-38.198405625018	-7.3192357561579e-08
-37.971095647677	-8.7554897816488e-08
-37.743785670337	-1.0465845668181e-07
-37.516475692996	-1.2501057707475e-07
-37.289165715656	-1.4920962658745e-07
-37.061855738315	-1.7796056971564e-07
-36.834545760975	-2.1209325278312e-07
-36.607235783634	-2.5258352677574e-07
-36.379925806293	-3.0057815939913e-07
-36.152615828953	-3.5742356925481e-07
-35.925305851612	-4.2469924543548e-07
-35.697995874272	-5.0425670004962e-07
-35.470685896931	-5.9826398979650e-07
-35.243375919591	-7.0925749297396e-07
-35.016065942250	-8.4020207727928e-07
-34.788755964910	-9.9456080625023e-07
-34.561445987569	-1.1763754441628e-06
-34.334136010229	-1.3903580964988e-06
-34.106826032888	-1.6419978137990e-06
-33.879516055548	-1.9376821542334e-06
-33.652206078207	-2.2848377255116e-06
-33.424896100867	-2.6920928752068e-06
-33.197586123526	-3.1694607245492e-06
-32.970276146185	-3.7285540014809e-06
-32.742966168845	-4.3828250053048e-06
-32.515656191504	-5.1478443138877e-06
-32.288346214164	-6.0416160752149e-06
-32.061036236823	-7.0849379088892e-06
-31.833726259483	-8.3018128883480e-06
-31.606416282142	-9.7199104828758e-06
-31.379106304802	-1.1371113596095e-05
-31.151796327461	-1.3292111455867e-05
-30.924486350121	-1.5525086879366e-05
-30.697176372780	-1.8118477765287e-05
-30.469866395440	-2.1127870875735e-05
-30.242556418099	-2.4616956841315e-05
-30.015246440759	-2.8658700553051e-05
-29.787936463418	-3.3336551140585e-05
-29.560626486077	-3.8745886139152e-05
-29.333316508737	-4.4995562623130e-05
-29.106006531396	-5.2209761029326e-05
-28.878696554056	-6.0529912475069e-05
-28.651386576715	-7.0116932602230e-05
-28.424076599375	-8.1153746787468e-05
-28.196766622034	-9.3848088314692e-05
-27.969456644694	-0.00010843566860483
-27.742146667353	-0.00012518355384439
-27.514836690013	-0.00014439395456891
-27.287526712672	-0.00016640849857378
-27.060216735332	-0.00019161292913958
-26.832906757991	-0.00022044243425054
-26.605596780651	-0.00025338746434869
-26.378286803310	-0.00029099981547776
-26.150976825970	-0.00033389967400554
-25.923666848629	-0.00038278332241821
-25.696356871288	-0.00043843145960569
-25.469046893948	-0.00050171906276662
-25.241736916607	-0.00057362424876613
-25.014426939267	-0.00065523991067301
-24.787116961926	-0.00074778558129219
-24.559806984586	-0.00085261999407449
-24.332497007245	-0.00097125556979527
-24.105187029905	-0.0011053733740357
-23.877877052564	-0.0012568398002600
-23.650567075224	-0.0014277238884889
-23.423257097883	-0.0016203146573716
-23.195947120543	-0.0018371430958518
-22.968637143202	-0.0020810040031337
-22.741327165862	-0.0023549784501156
-22.514017188521	-0.0026624580957824
-22.286707211180	-0.0030071689808141
-22.059397233840	-0.0033932020046885
-21.832087256499	-0.0038250405798905
-21.604777279159	-0.0043075867841426
