Name             Type         Plane    Angle [deg]    s [m]           Length [m]    nsigma    Apertype     Aper_x [m]             Aper_y [m]             Material    offset_x [m]    offset_y [m]    betx [m]       bety [m]   
tcp.h.b1         primary      H        0              33103.5         0.25          11.0      RECTANGLE    0.00667078458330652    0.03                   MoGr        0.0             0.0             517.976568     755.838829 
tcp.v.b1         primary      V        90             33103.0         0.25          65.0      RECTANGLE    0.03                   0.00246509567809852    MoGr        0.0             0.0             519.094398     756.984952 
tcs.h1.b1        secondary    H        0              33281.61        0.3           13.0      RECTANGLE    0.00375610211923079    0.03                   Mo          0.0             0.0             117.578991     789.741822 
tcs.v1.b1        secondary    V        90             33446.36        0.3           75.0      RECTANGLE    0.03                   0.00250554057962049    Mo          0.0             0.0             421.47419      587.390278 
tcs.h2.b1        secondary    H        0              33419.35        0.3           13.0      RECTANGLE    0.00507544918396983    0.03                   Mo          0.0             0.0             214.686094     759.201033 
tcs.v2.b1        secondary    V        90             33686.61        0.3           75.0      RECTANGLE    0.03                   0.0029738746790698     Mo          0.0             0.0             32.805056      827.502279 
tcp.hp.b1        primary      H        0              34530.0         0.25          18.5      RECTANGLE    0.00418441024619091    0.03                   MoGr        0.0             0.0             72.055429      125.937322 
tcs.hp1.b1       secondary    H        0              34585.1         0.3           21.5      RECTANGLE    0.00458723254009048    0.03                   Mo          0.0             0.0             64.115974      186.877936 
tcs.hp2.b1       secondary    H        0              34812.96        0.3           21.5      RECTANGLE    0.0167523810851147     0.03                   Mo          0.0             0.0             855.101797     368.739305 
tcr.h.wl.2.b1    SR           H        0              22547.133386    0.1           14.1      RECTANGLE    0.017                  0.03                   W           0.0             0.0             2056.831567    8840.677656
tcr.h.c3.2.b1    SR           H        0              22603.26837     0.1           13.5      RECTANGLE    0.0165                 0.03                   W           0.0             0.0             2105.793519    6695.59145 
tcr.v.c0.2.b1    SR           V        90             22641.28837     0.1           80.1      RECTANGLE    0.03                   0.008                  W           0.0             0.0             2184.543179    5255.47716 
tcr.h.c0.2.b1    SR           H        0              22641.38837     0.1           13.0      RECTANGLE    0.0162                 0.03                   W           0.0             0.0             2183.959936    5253.833633
tcr.v.c2.2.b1    SR           V        90             22656.086105    0.1           82.0      RECTANGLE    0.02                   0.008                  W           0.0             0.0             2099.182849    5015.108854
tcr.h.c2.2.b1    SR           H        0              22656.186105    0.1           13.1      RECTANGLE    0.016                  0.02                   W           0.0             0.0             2098.612484    5013.503925
tcr.h.wl.3.b1    SR           H        0              45211.819724    0.1           14.1      RECTANGLE    0.017                  0.03                   W           0.0             0.0             2060.185365    8836.04465 
tcr.h.c3.3.b1    SR           H        0              45267.954708    0.1           13.5      RECTANGLE    0.0165                 0.03                   W           0.0             0.0             2109.147369    6692.192056
tcr.v.c0.3.b1    SR           V        90             45305.974708    0.1           80.1      RECTANGLE    0.03                   0.008                  W           0.0             0.0             2187.963666    5252.886547
tcr.h.c0.3.b1    SR           H        0              45306.074708    0.1           13.0      RECTANGLE    0.0162                 0.03                   W           0.0             0.0             2187.379352    5251.24406 
tcr.v.c2.3.b1    SR           V        90             45320.772443    0.1           82.0      RECTANGLE    0.02                   0.008                  W           0.0             0.0             2102.446482    5012.670084
tcr.h.c2.3.b1    SR           H        0              45320.872443    0.1           13.1      RECTANGLE    0.016                  0.02                   W           0.0             0.0             2101.875068    5011.066166
tcr.h.wl.4.b1    SR           H        0              67876.506054    0.1           14.1      RECTANGLE    0.017                  0.03                   W           0.0             0.0             2058.947885    8837.080905
tcr.h.c3.4.b1    SR           H        0              67932.641038    0.1           13.5      RECTANGLE    0.0165                 0.03                   W           0.0             0.0             2107.887398    6692.938076
tcr.v.c0.4.b1    SR           V        90             67970.661038    0.1           80.1      RECTANGLE    0.03                   0.008                  W           0.0             0.0             2186.663309    5253.444658
tcr.h.c0.4.b1    SR           H        0              67970.761038    0.1           13.0      RECTANGLE    0.0162                 0.03                   W           0.0             0.0             2186.079362    5251.801915
tcr.v.c2.4.b1    SR           V        90             67985.458773    0.1           82.0      RECTANGLE    0.02                   0.008                  W           0.0             0.0             2101.19989     5013.190891
tcr.h.c2.4.b1    SR           H        0              67985.558773    0.1           13.1      RECTANGLE    0.016                  0.02                   W           0.0             0.0             2100.628836    5011.586725
tcr.h.wl.1.b1    SR           H        0              90541.192383    0.1           14.1      RECTANGLE    0.017                  0.03                   W           0.0             0.0             2057.794656    8838.63603 
tcr.h.c3.1.b1    SR           H        0              90597.327367    0.1           13.5      RECTANGLE    0.0165                 0.03                   W           0.0             0.0             2106.734151    6694.079111
tcr.v.c0.1.b1    SR           V        90             90635.347367    0.1           80.1      RECTANGLE    0.03                   0.008                  W           0.0             0.0             2185.487149    5254.314209
tcr.h.c0.1.b1    SR           H        0              90635.447367    0.1           13.0      RECTANGLE    0.0162                 0.03                   W           0.0             0.0             2184.90357     5252.671117
tcr.v.c2.1.b1    SR           V        90             90650.145103    0.1           82.0      RECTANGLE    0.02                   0.008                  W           0.0             0.0             2100.077665    5014.009471
tcr.h.c2.1.b1    SR           H        0              90650.245103    0.1           13.1      RECTANGLE    0.016                  0.02                   W           0.0             0.0             2099.506972    5012.404966
