# Frequency (Hz)	Real Part (Ohm/m)
1000.0	972145.8757915898
1018.6101701559753	983860.1729435577
1037.566678745186	995792.4751587822
1056.875971184804	1007946.8395485836
1076.5446128423157	1020327.3987278176
1096.5792912678098	1032938.3622200028
1116.9868184678226	1045784.0178886083
1137.7741332214914	1058868.7333949723
1158.9483034398106	1072196.9576833516
1180.5165285688054	1085773.2224936152
1202.4861420374123	1099602.14390208
1224.8646137509306	1113688.4238910296
1247.6595526308697	1128036.8519474394
1270.8787092020582	1141878.244703795
1294.529978227916	1155234.105983545
1318.6214013947485	1168838.5221142902
1343.1611700460153	1182696.1187441007
1368.1576279674719	1196811.607605146
1393.619274224142	1211189.788115729
1419.5547660501015	1225835.5490121488
1445.9729217920194	1240753.8700109131
1472.882723907502	1255949.8235019064
1500.2933220192183	1271428.57627305
1528.2140360258693	1287195.391267066
1556.654359271062	1303255.6293709395
1585.6239617711371	1319569.066438511
1615.132693503091	1334387.8716388745
1645.1905877536624	1349482.4573255244
1675.807864530767	1364857.9558202368
1706.9949340384078	1380519.5949581696
1738.7624002162504	1396472.6998653798
1771.1210643450886	1412722.6947694307
1804.0819287193826	1429275.1048436782
1837.6562003881704	1446135.5580858993
1871.8552949655793	1463309.787231866
1906.690840512252	1480803.6317045356
1942.1746814890264	1498623.0395995248
1978.3188827841643	1516774.0697075177
2015.1357338155585	1534071.8840640422
2052.6377527092523	1550657.3011148437
2090.8376905557498	1567551.375599068
2129.748535745521	1584759.851684073
2169.3835183851843	1602288.5804371433
2209.756114795903	1620143.5218149277
2250.880052095462	1638330.7466898768
2292.7693128656488	1656856.4389144129
2335.438139906479	1675726.8974235062
2378.9010410788933	1694948.5383763744
2423.1727942376006	1714527.8973380532
2468.2684522556924	1734471.6315015529
2514.2033481427966	1754654.494623787
2560.9931002584594	1772681.180111638
2608.6536176225477	1791043.3452837649
2657.2011053245064	1809747.2334741787
2706.652070033241	1828799.204206393
2757.0233256095826	1848205.7353557406
2808.3319988231724	1867973.4253519159
2860.5955351757416	1888108.9954225095
2913.831704832789	1908619.2918783058
2968.0586086656026	1929511.2884410927
3023.2946844057765	1950792.088614811
3079.5587129142264	1972468.9281008185
3136.8698245668766	1994549.1772581036
3195.2475057592133	2015270.6610433026
3254.711605531848	2034988.6092075477
3315.282342319423	2055073.511742256
3376.9803108250912	2075532.1977307028
3439.8264890229243	2096371.6233465606
3503.8422452906757	2117598.8742190837
3569.0493456752292	2139221.167842287
3635.4699612933177	2161245.8560289806
3703.126675869927	2183680.427410462
3772.0424934169973	2206532.509982728
3842.240846055061	2229809.8737000832
3913.745601980384	2253520.433117
3986.581073580439	2277396.6813050457
4060.7720257003657	2298287.065436947
4136.343684063274	2319566.223172166
4213.321743847289	2341241.389653614
4291.732378422157	2363319.9346714397
4371.602248248501	2385809.365168844
4452.958509942655	2408717.3277945165
4535.828825510186	2432051.611502579
4620.241371751313	2455820.1502009174
4706.224849841281	2480031.0254487894
4793.808495089106	2504692.469204649
4883.02208687788	2529812.866625099
4973.895958790063	2555400.7589159277
5066.461008921268	2578951.384197994
5160.7487103859075	2601159.1778766983
5256.791122018419	2623780.2623745515
5354.620899273607	2646822.3291040245
5454.271305329836	2670293.2126160776
5555.7762223988775	2694200.8932640003
5659.170163246242	2718553.499916815
5764.488282925873	2743359.3127231807
5871.766390733255	2768626.7659267313
5981.040962380945	2794364.450733809
6092.349152400711	2820581.1182345646
6205.7288067765	2847285.6823784322
6321.218475812449	2874000.4061945383
6438.8574272404185	2896790.3152726395
6558.685659571435	2920004.348436523
6680.743915695614	2943650.398707593
6805.073696735206	2967736.505997723
6931.717276155407	2992270.8598429193
7060.717714137772	3017261.8021878405
7192.118872221193	3042717.83022216
7325.96542821523	3068647.599269692
7462.302891391108	3095059.925731303
7601.17761795533	3121963.7900825823
7742.636826811269	3149368.3399272896
7886.728615614156	3177282.893107658
8033.501977124735	3202345.014183624
8183.00681586739	3225720.5338881467
8335.293965098195	3249531.0759918555
8490.415204088747	3273784.736335619
8648.423275731726	3298489.761425287
8809.37190447399	3323654.55123558
8973.31581458352	3349287.6620661817
9140.310748756232	3375397.809450969
9310.413487069076	3401993.871121384
9483.681866285926	3429084.890024965
9660.174799522645	3456680.07740004
9839.952296278227	3484788.81590765
10023.075482838643	3512662.750449066
10209.606623060476	3535700.8406501403
10399.609139541202	3559167.673629922
10593.1476351837	3583071.2283644793
10790.287915161836	3607419.63231998
10991.097009294961	3632221.1642161184
11195.643194838794	3657484.256840976
11403.99601970033	3683217.499918245
11616.22632608502	3709429.6430278467
11832.40627458378	3736129.5985808717
12052.609368708414	3763326.444849896
12276.910479883603	3791029.4290556945
12505.385872903913	3819247.970511389
12738.113231864783	3843775.977488826
12975.171686575868	3866341.107201524
13216.641839466038	3889326.177817768
13462.60579298911	3912739.0045092287
13713.147177539455	3936587.547889248
13968.351179887397	3960879.9167195414
14228.30457214352	3985624.3706672583
14493.09574126215	4010829.323113359
14762.81471909391	4036503.344013258
15037.553212997384	4062655.162810689
15317.404637020798	4089293.671405828
15602.46414366368	4116427.927178624
15892.828656229764	4143017.5780977774
16188.596901781993	4164099.314996634
16489.86944471065	4185573.38660636
16796.74872092653	4207447.094342683
17109.339072690134	4229727.875501923
17427.746784089173	4252423.3057897445
17752.08011717636	4275541.101896986
18082.44934877952	4299089.124123414
18418.96680799711	4323075.379050312
18761.746914391195	4347508.022262804
19110.90621689136	4372395.36112284
19466.56343342263	4397745.857593794
19828.83949127071	4423568.131117608
20197.857568198782	4445034.154806345
20573.743134329114	4464412.821828686
20956.623994804308	4484152.129141709
21346.630333242454	4504258.78832259
21743.8947560008	4524739.635852095
22148.55233726359	4545601.635439061
22560.74066496859	4566851.880388135
22980.599887588487	4588497.596011568
23408.272761782944	4610546.142085902
23843.904700937208	4633005.01535437
24287.643824604504	4655881.852075876
24739.64100886812	4679184.430621399
25200.049937640895	4701633.455183272
25669.027154919517	4718375.6811403455
26146.732118010917	4735429.482771268
26633.327251749808	4752800.658552349
27128.978003724646	4770495.114870523
27633.852900531667	4788518.868031598
28148.123605075813	4806878.04630585
28671.964974937695	4825578.892011709
29205.55512182745	4844627.763638214
29749.075472144435	4864031.13800697
30302.71082866393	4883795.612474324
30866.649433372742	4903927.907174565
31441.08303147265	4924434.867304804
32026.206936576502	4940327.744997645
32622.220097116733	4954224.589612961
33229.325163989684	4968380.056871197
33847.72855945983	4982798.959783749
34477.640547344636	4997486.200932964
35119.275304507275	5012446.774139088
35772.850993678774	5027685.76615821
36438.58983763541	5043208.35841181
37116.71819475767	5059019.828748516
37807.466635993485	5075125.553238601
38511.070023255685	5091531.008001933
39227.76758927723	5108241.771069898
39957.803018952654	5123887.018682117
40701.42453219439	5134266.357436478
41458.88496832911	5144838.857451165
42230.441872066716	5155608.113490098
43016.35758106799	5166577.78721637
43816.89931514194	5177751.608437243
44632.33926710397	5189133.376372329
45462.95469532399	5200726.960945362
46309.02801799736	5212536.304100018
47170.84690917023	5224565.421140213
48048.704396551344	5236818.40209535
48942.89896114532	5249299.413110982
49853.73463873894	5262012.6978653325
50781.5211232767	5270451.82394023
51726.57387216024	5277211.026661637
52689.21421350677	5284096.019295808
53669.76945540476	5291109.142814423
54668.57299720181	5298252.781755045
55685.96444286408	5305529.365031884
56722.28971644549	5312941.36676166
57777.90117970507	5320491.307104823
58853.1577519145	5328181.75312244
59948.42503189408	5336015.319649019
61064.07542232036	5343994.670181587
62200.48825634718	5352122.517785301
63358.04992658254	5359163.069882549
64537.15401646702	5362028.963747345
65738.20143409586	5364948.192384613
66961.60054853215	5367921.748363545
68207.76732865692	5370950.642725214
69477.1254846024	5374035.905326338
70770.10661181889	5377178.585189443
72087.15033782135	5380379.750859547
73428.70447166759	5383640.490767471
74795.22515621828	5386961.913599915
76187.17702322999	5390345.148676429
77605.0333513357	5393791.346333396
79049.2762269642	5397301.67831515
80520.39670825469	5397527.400828647
82018.8949920221	5396553.93769857
83545.28058382872	5395562.3582540015
85100.07247122246	5394552.325347247
86683.79930019773	5393523.495556233
88296.99955494082	5392475.519067748
89940.22174092053	5391408.039558493
91614.0245713852	5390320.694073932
93318.9771573324	5389213.112904886
95055.65920101192	5388084.919461821
96824.66119303115	5386935.730146812
98626.5846131283	5385765.1542231105
100462.04213468132	5383724.00614342
102331.65783302448	5379074.906233287
104236.06739764012	5374339.285782755
106175.9183482999	5369515.534629844
108151.87025522892	5364602.012647187
110164.59496336569	5359597.049184368
112214.77682079801	5354498.942499882
114303.11291144785	5349305.959182523
116430.31329208757	5344016.333562012
118597.10123376705	5338628.267108641
120804.21346773289	5333139.927821761
123052.40043592616	5327549.449606879
125342.42654613995	5321854.931641165
127675.07043192645	5314385.304085227
130051.12521734099	5306251.960172432
132471.39878661174	5297967.253345482
134936.71405883064	5289528.366714791
137447.90926775365	5280932.430967976
140005.8382468096	5272176.523394262
142611.37071941295	5263257.666890732
145265.39259467812	5254172.8289500745
147968.80626863963	5244918.920629501
150722.53093107554	5235492.795500476
153527.5028780421	5225891.2485788865
156384.67583022476	5216111.015235325
159295.0212572123	5205892.990061781
162259.5287078087	5194804.226732171
165279.2061464897	5183509.099630176
168355.08029612005	5172003.768290881
171488.19698705408	5160284.320777659
174679.62151272455	5148346.772352084
177930.43899185772	5136187.064119062
181241.75473742394	5123801.061646777
184614.69463245454	5111184.553560932
188050.40551285836	5098333.2501128325
191550.0555573528	5085242.78172084
195114.83468466165	5071908.697484651
198745.9549580986	5058326.46367195
202444.65099768018	5044724.70808095
206212.18039991445	5030933.343262682
210049.8241653915	5016885.318798462
213958.88713434213	5002575.858208609
217940.6984302958	4988000.096122336
221996.61191199525	4973153.076623488
226128.00663372793	4958029.7515654545
230336.2873142131	4942624.978854768
234622.88481422624	4926933.520702722
238989.25662310526	4910950.041844469
243436.8873543108	4894669.107724982
247967.289250216	4878085.182651231
252582.00269627848	4861626.129929253
257282.59674479323	4845881.650523447
262070.66964838552	4829844.163676881
266947.8494034318	4813508.21647123
271915.7943036019	4796868.254508418
276976.1935036891	4779918.620022091
282130.76759394706	4762653.549953893
287381.2691851069	4745067.173993968
292729.4835042813	4727153.512585006
298177.22900196735	4708906.474889103
303726.3579703311	4690319.856716839
309378.75717301364	4671387.338417765
315136.34848664823	4652102.482731662
321001.08955431683	4634482.326182646
326974.97445117676	4617005.55976159
333060.03436245886	4599203.547743664
339258.33827409917	4581070.2372529665
345571.9936762143	4562599.4627685435
352003.1472796675	4543784.944028056
358553.9857459817	4524620.2838924015
365226.7364308175	4505098.966170643
372023.6681413066	4485214.353404415
378947.09190746717	4464959.684611118
385999.36176797637	4444328.07298513
393182.87557057705	4423312.503556186
400500.07578736113	4403000.298924087
407953.45034524484	4384604.272942086
415545.53347188793	4365865.893786363
423278.90655735444	4346778.79020611
431156.19903182285	4327336.472380439
439180.0892596086	4307532.329711809
447353.3054498463	4287359.628578321
455678.6265841068	4266811.510044232
464158.8833612772	4245880.987527843
472796.9591600391	4224560.944425966
481595.79101923504	4202844.131694232
490558.37063650455	4180723.1653823154
499687.7453854889	4158190.5241233166
508987.0193519675	4138682.766755404
518459.3543892913	4119486.4317321847
528107.971193433	4099932.8496478135
537936.1503980698	4080015.372073694
547947.2336900292	4059727.2268528403
558144.6249454955	4039061.515797281
568531.7913873753	4018011.212342579
579112.2647641759	3996569.159158753
589889.6425508494	3974728.065716682
600867.5891719692	3952480.5058092596
612049.837247669	3929818.91502641
623440.1888627863	3906735.5881830812
635042.5168595961	3884850.8505318617
646860.7661546321	3865610.604571562
658898.9550799957	3846012.2943600956
671161.1767496272	3826049.2562608295
683651.6004510238	3805714.702625701
696374.4730628222	3785001.7194873793
709334.1204987989	3763903.2642084155
722534.9491787221	3742412.1630866798
735981.4475265755	3720521.1089162338
749678.1874966878	3698222.658502777
763629.8261282243	3675509.230132914
777841.1071286482	3652373.1009962624
792316.8624866261	3628806.4045596244
807062.0141149492	3609174.955112787
822081.575524054	3589881.889049308
837380.6535266489	3570229.7757435585
852964.4499741016	3550211.933265265
868838.2635251193	3529821.555332293
885007.4914473438	3509051.708996446
901477.6314524917	3487895.332286175
918254.2835656281	3466345.2318054424
935343.1520292377	3444394.0802878845
952750.0472427299	3422034.414105463
970480.8877380306	3399258.6307307584
988541.7021919573	3376058.9861520147
1006938.6314760271	3354412.707659658
1025677.9307444209	3335702.7699637557
1044765.9715608053	3316644.637143723
1064209.2440647245	3297231.829229056
1084014.359178331	3277457.745655892
1104188.0508541602	3257315.6630227533
1124737.1783647507	3236798.7328045154
1145668.7286348727	3215899.979023836
1166989.8186171474	3194612.2958792527
1188707.6977119034	3172928.4453291222
1210829.7502320393	3150841.0546306176
1233363.4979137746	3128342.6138329115
1256316.6024741214	3105425.473223713
1279696.8682159416	3086903.045495794
1303512.2446815087	3068652.704102015
1327770.829355429	3050062.720749493
