# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	19244486.148490544
1018.6101701559753	19205938.79342379
1037.566678745186	19166674.065520167
1056.875971184804	19126678.61434915
1076.5446128423157	19085938.841026362
1096.5792912678098	19044440.893589925
1116.9868184678226	19002170.662290577
1137.7741332214914	18959113.774794206
1158.9483034398106	18915255.591295145
1180.5165285688054	18870581.199538443
1202.4861420374123	18825075.409749523
1224.8646137509306	18778722.749469552
1247.6595526308697	18731507.458294593
1270.8787092020582	18687336.784030546
1294.529978227916	18646110.570220005
1318.6214013947485	18604117.129555564
1343.1611700460153	18561342.183814917
1368.1576279674719	18517771.189055633
1393.619274224142	18473389.33067001
1419.5547660501015	18428181.518347986
1445.9729217920194	18382132.380946282
1472.882723907502	18335226.261261992
1500.2933220192183	18287447.210709017
1528.2140360258693	18238778.983895365
1556.654359271062	18189205.03309952
1585.6239617711371	18138918.33393193
1615.132693503091	18095955.089984737
1645.1905877536624	18052192.29275724
1675.807864530767	18007615.06242683
1706.9949340384078	17962208.242254894
1738.7624002162504	17915956.39343331
1771.1210643450886	17868843.789835136
1804.0819287193826	17820854.41266751
1837.6562003881704	17771971.945025105
1871.8552949655793	17722179.766342234
1906.690840512252	17671460.946741644
1942.1746814890264	17619798.24127817
1978.3188827841643	17567174.084075306
2015.1357338155585	17518514.617511272
2052.6377527092523	17473243.155820984
2090.8376905557498	17427129.184525426
2129.748535745521	17380157.024377484
2169.3835183851843	17332310.704336602
2209.756114795903	17283573.956138417
2250.880052095462	17233930.208763424
2292.7693128656488	17183362.582802594
2335.438139906479	17131853.88471825
2378.9010410788933	17079386.600998044
2423.1727942376006	17025942.892200187
2468.2684522556924	16971504.58688783
2514.2033481427966	16916547.76701183
2560.9931002584594	16870052.584475957
2608.6536176225477	16822692.11868166
2657.2011053245064	16774450.266560268
2706.652070033241	16725310.625362257
2757.0233256095826	16675256.48708015
2808.3319988231724	16624270.832767595
2860.5955351757416	16572336.326752769
2913.831704832789	16519435.310744042
2968.0586086656026	16465549.797825973
3023.2946844057765	16410661.466343554
3079.5587129142264	16354751.65367267
3136.8698245668766	16297801.349874595
3195.2475057592133	16245772.922183273
3254.711605531848	16197471.77758483
3315.282342319423	16148271.740466679
3376.9803108250912	16098156.08228608
3439.8264890229243	16047107.763179261
3503.8422452906757	15995109.426167687
3569.0493456752292	15942143.391256502
3635.4699612933177	15888191.649423132
3703.126675869927	15833235.856494034
3772.0424934169973	15777257.326907458
3842.240846055061	15720237.0273602
3913.745601980384	15662155.570336029
3986.581073580439	15603834.791622892
4060.7720257003657	15554904.463228144
4136.343684063274	15505063.533096181
4213.321743847289	15454295.05477373
4291.732378422157	15402581.766431138
4371.602248248501	15349906.084993169
4452.958509942655	15296250.100160554
4535.828825510186	15241595.568320319
4620.241371751313	15185923.906342741
4706.224849841281	15129216.185262898
4793.808495089106	15071453.123844597
4883.02208687788	15012615.082024574
4973.895958790063	14952682.054234635
5066.461008921268	14898590.255632775
5160.7487103859075	14848421.444836313
5256.791122018419	14797318.98393441
5354.620899273607	14745265.497539725
5454.271305329836	14692243.286906028
5555.7762223988775	14638234.32391039
5659.170163246242	14583220.24492346
5764.488282925873	14527182.344565602
5871.766390733255	14470101.569346907
5981.040962380945	14411958.511188753
6092.349152400711	14352733.400824888
6205.7288067765	14292406.101079648
6321.218475812449	14232183.220102342
6438.8574272404185	14181986.075393569
6558.685659571435	14130854.753280424
6680.743915695614	14078771.868562458
6805.073696735206	14025719.712497672
6931.717276155407	13971680.246781379
7060.717714137772	13916635.09741297
7192.118872221193	13860565.548448553
7325.96542821523	13803452.535637341
7462.302891391108	13745276.639939593
7601.17761795533	13686018.080923926
7742.636826811269	13625656.710041787
7886.728615614156	13564172.00377668
8033.501977124735	13509338.62005396
8183.00681586739	13458462.329379795
8335.293965098195	13406639.222279275
8490.415204088747	13353851.67833761
8648.423275731726	13300081.749221068
8809.37190447399	13245311.152574398
8973.31581458352	13189521.265804585
9140.310748756232	13132693.119749
9310.413487069076	13074807.392225677
9483.681866285926	13015844.40146354
9660.174799522645	12955784.099410418
9839.952296278227	12894606.064916464
10023.075482838643	12833911.666169336
10209.606623060476	12783548.215649234
10399.609139541202	12732247.492745318
10593.1476351837	12679992.054659031
10790.287915161836	12626764.133978385
10991.097009294961	12572545.632636828
11195.643194838794	12517318.11575969
11403.99601970033	12461062.805396188
11616.22632608502	12403760.57413464
11832.40627458378	12345391.938599002
12052.609368708414	12285937.052824266
12276.910479883603	12225375.701508658
12505.385872903913	12163687.293140197
12738.113231864783	12109304.053809213
12975.171686575868	12058759.955427388
13216.641839466038	12007275.222774297
13462.60579298911	11954832.350486092
13713.147177539455	11901413.507421143
13968.351179887397	11847000.530597217
14228.30457214352	11791574.919015909
14493.09574126215	11735117.82737207
14762.81471909391	11677610.05964622
15037.553212997384	11619032.062577713
15317.404637020798	11559363.919016361
15602.46414366368	11498585.341150442
15892.828656229764	11438676.542642195
16188.596901781993	11389096.269279996
16489.86944471065	11338593.298594154
16796.74872092653	11287150.459030462
17109.339072690134	11234750.259469189
17427.746784089173	11181374.88327787
17752.08011717636	11127006.182253487
18082.44934877952	11071625.670451889
18418.96680799711	11015214.517902339
18761.746914391195	10957753.54420514
19110.90621689136	10899223.212010112
19466.56343342263	10839603.620373646
19828.83949127071	10778874.497992197
20197.857568198782	10725938.158912968
20573.743134329114	10676604.404629016
20956.623994804308	10626352.54078341
21346.630333242454	10575165.481200976
21743.8947560008	10523025.821729934
22148.55233726359	10469915.83432426
22560.74066496859	10415817.461015986
22980.599887588487	10360712.30777528
23408.272761782944	10304581.638256293
23843.904700937208	10247406.367426597
24287.643824604504	10189167.055078039
24739.64100886812	10129843.899216909
25200.049937640895	10071763.525217079
25669.027154919517	10023768.304132013
26146.732118010917	9974879.883815883
26633.327251749808	9925081.641679013
27128.978003724646	9874356.645782506
27633.852900531667	9822687.64908121
28148.123605075813	9770057.0835595
28671.964974937695	9716447.05425804
29205.55512182745	9661839.333189208
29749.075472144435	9606215.353139449
30302.71082866393	9549556.201356228
30866.649433372742	9491842.61311741
31441.08303147265	9433054.965181164
32026.206936576502	9382399.773592154
32622.220097116733	9335034.567782065
33229.325163989684	9286787.887432385
33847.72855945983	9237643.32815193
34477.640547344636	9187584.180261027
35119.275304507275	9136593.423110016
35772.850993678774	9084653.719292035
36438.58983763541	9031747.408748161
37116.71819475767	8977856.50276273
37807.466635993485	8922962.677847058
38511.070023255685	8867047.26950919
39227.76758927723	8810091.26590781
39957.803018952654	8754726.83661422
40701.42453219439	8709036.537935529
41458.88496832911	8662495.93502396
42230.441872066716	8615089.203573039
43016.35758106799	8566800.224783277
43816.89931514194	8517612.57988158
44632.33926710397	8467509.544538697
45462.95469532399	8416474.08318275
46309.02801799736	8364488.8432069775
47170.84690917023	8311536.149069651
48048.704396551344	8257597.996284219
48942.89896114532	8202656.045297551
49853.73463873894	8146691.61525432
50781.5211232767	8099070.250165286
51726.57387216024	8054384.452113055
52689.21421350677	8008867.043755523
53669.76945540476	7962502.548683395
54668.57299720181	7915275.20246878
55685.96444286408	7867168.947305096
56722.28971644549	7818167.426547242
57777.90117970507	7768253.979150192
58853.1577519145	7717411.63400401
59948.42503189408	7665623.1041635275
61064.07542232036	7612870.780970586
62200.48825634718	7559136.728066896
63358.04992658254	7507309.067235364
64537.15401646702	7464620.589639962
65738.20143409586	7421137.672212807
66961.60054853215	7376845.530293456
68207.76732865692	7331729.104076406
69477.1254846024	7285773.053490636
70770.10661181889	7238961.752983767
72087.15033782135	7191279.28620924
73428.70447166759	7142709.440614586
74795.22515621828	7093235.701928961
76187.17702322999	7042841.248548146
77605.0333513357	6991508.945814999
79049.2762269642	6939221.340193491
80520.39670825469	6895351.430775728
82018.8949920221	6854038.511301979
83545.28058382872	6811956.75136719
85100.07247122246	6769091.842719552
86683.79930019773	6725429.2108282605
88296.99955494082	6680954.009928013
89940.22174092053	6635651.117971287
91614.0245713852	6589505.131486697
93318.9771573324	6542500.360341608
95055.65920101192	6494620.8224073695
96824.66119303115	6445850.238125185
98626.5846131283	6396172.024970895
100462.04213468132	6348663.823899976
102331.65783302448	6309641.136182684
104236.06739764012	6269892.22960703
106175.9183482999	6229403.589116489
108151.87025522892	6188161.448137029
110164.59496336569	6146151.78389635
112214.77682079801	6103360.3126559565
114303.11291144785	6059772.484854556
116430.31329208757	6015373.480161039
118597.10123376705	5970148.202435417
120804.21346773289	5924081.274595974
123052.40043592616	5877157.033390877
125342.42654613995	5829359.524072511
127675.07043192645	5789882.801074166
130051.12521734099	5752566.741865494
132471.39878661174	5714556.224445403
134936.71405883064	5675838.324828407
137447.90926775365	5636399.878511455
140005.8382468096	5596227.475997859
142611.37071941295	5555307.458237904
145265.39259467812	5513625.911984658
147968.80626863963	5471168.665063272
150722.53093107554	5427921.281552328
153527.5028780421	5383869.056875442
156384.67583022476	5338997.012801566
159295.0212572123	5296482.050715576
162259.5287078087	5261669.566471294
165279.2061464897	5226209.21597167
168355.08029612005	5190088.942315465
171488.19698705408	5153296.46422043
174679.62151272455	5115819.27184759
177930.43899185772	5077644.622547723
181241.75473742394	5038759.536528739
184614.69463245454	4999150.792442419
188050.40551285836	4958804.922888977
191550.0555573528	4917708.209838062
195114.83468466165	4875846.679964418
198745.9549580986	4833206.09989683
202444.65099768018	4798578.695908428
206212.18039991445	4765705.2771320455
210049.8241653915	4732220.078438629
213958.88713434213	4698111.714499821
217940.6984302958	4663368.588104365
221996.61191199525	4627978.886214949
226128.00663372793	4591930.575951594
230336.2873142131	4555211.400500404
234622.88481422624	4517808.874946083
238989.25662310526	4479710.282026927
243436.8873543108	4440902.66781085
247967.289250216	4401372.837290856
252582.00269627848	4364287.013295876
257282.59674479323	4333998.989851689
262070.66964838552	4303147.301137516
266947.8494034318	4271721.4572467785
271915.7943036019	4239710.773053933
276976.1935036891	4207104.364581453
282130.76759394706	4173891.1452991236
287381.2691851069	4140059.8223545197
292729.4835042813	4105598.8927333234
298177.22900196735	4070496.639348134
303726.3579703311	4034741.1270545935
309378.75717301364	3998320.198593255
315136.34848664823	3961221.4704560083
321001.08955431683	3931609.2633498167
326974.97445117676	3903350.4136717906
333060.03436245886	3874565.661992848
339258.33827409917	3845245.2211872633
345571.9936762143	3815379.1219892344
352003.1472796675	3784957.2096032416
358553.9857459817	3753969.140251269
365226.7364308175	3722404.3776558544
372023.6681413066	3690252.1894576065
378947.09190746717	3657501.6435660976
385999.36176797637	3624141.604442854
393182.87557057705	3590160.72931511
400500.07578736113	3558602.0826860787
407953.45034524484	3532859.1264346926
415545.53347188793	3506637.089387146
423278.90655735444	3479927.0557683147
431156.19903182285	3452719.9438789594
439180.0892596086	3425006.503007893
447353.3054498463	3396777.3102866095
455678.6265841068	3368022.7674854123
464158.8833612772	3338733.097749936
472796.9591600391	3308898.3422768624
481595.79101923504	3278508.356927877
490558.37063650455	3247552.808780508
499687.7453854889	3216021.1726148427
508987.0193519675	3191269.8000990977
518459.3543892913	3167500.458662616
528107.971193433	3143288.7657375094
537936.1503980698	3118626.489087301
547947.2336900292	3093505.2432721965
558144.6249454955	3067916.4867979484
568531.7913873753	3041851.5192116294
579112.2647641759	3015301.4781434205
589889.6425508494	2988257.3362932852
600867.5891719692	2960709.898361594
612049.837247669	2932649.7979226387
623440.1888627863	2904067.4942399138
635042.5168595961	2877789.32736877
646860.7661546321	2856337.890109529
658898.9550799957	2834487.2379527995
671161.1767496272	2812229.9414414195
683651.6004510238	2789558.4328547455
696374.4730628222	2766465.0036355834
709334.1204987989	2742941.801769168
722534.9491787221	2718980.829113403
735981.4475265755	2694573.9386794167
749678.1874966878	2669712.83186147
763629.8261282243	2644389.0556153776
777841.1071286482	2618593.999584354
792316.8624866261	2592318.8931714077
