# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	62092496.52999629
1018.6101701559753	61951819.35577152
1037.566678745186	61808524.15539736
1056.875971184804	61662562.20696174
1076.5446128423157	61513883.881829396
1096.5792912678098	61362438.62776785
1116.9868184678226	61208174.951758906
1137.7741332214914	61051040.40249054
1158.9483034398106	60890981.55252291
1180.5165285688054	60727943.980122425
1202.4861420374123	60561872.250757724
1224.8646137509306	60392709.89825147
1247.6595526308697	60220399.40558108
1270.8787092020582	60059094.789767794
1294.529978227916	59908432.783621736
1318.6214013947485	59754966.93190527
1343.1611700460153	59598645.05457523
1368.1576279674719	59439414.00050895
1393.619274224142	59277219.6294324
1419.5547660501015	59112006.793511756
1445.9729217920194	58943719.31860271
1472.882723907502	58772299.985150464
1500.2933220192183	58597690.50873465
1528.2140360258693	58419831.520251885
1556.654359271062	58238662.5457297
1585.6239617711371	58054896.389185555
1615.132693503091	57898192.08575536
1645.1905877536624	57738571.488574184
1675.807864530767	57575980.324919045
1706.9949340384078	57410363.31204243
1738.7624002162504	57241664.13837545
1771.1210643450886	57069825.44438136
1804.0819287193826	56894788.80305265
1837.6562003881704	56716494.7000453
1871.8552949655793	56534882.51344317
1906.690840512252	56349890.49314597
1942.1746814890264	56161455.73987355
1978.3188827841643	55969514.18377943
2015.1357338155585	55792474.12573823
2052.6377527092523	55628182.383387044
2090.8376905557498	55460833.14375549
2129.748535745521	55290369.50629889
2169.3835183851843	55116733.511543825
2209.756114795903	54939866.12138118
2250.880052095462	54759707.19899256
2292.7693128656488	54576195.48840317
2335.438139906479	54389268.59365409
2378.9010410788933	54198862.95758701
2423.1727942376006	54004913.84023405
2468.2684522556924	53807355.29680556
2514.2033481427966	53607979.957240045
2560.9931002584594	53440558.16736937
2608.6536176225477	53270020.6295014
2657.2011053245064	53096309.359035715
2706.652070033241	52919365.29226865
2757.0233256095826	52739128.266310975
2808.3319988231724	52555536.99863181
2860.5955351757416	52368529.06622199
2913.831704832789	52178040.88436949
2968.0586086656026	51984007.68504002
3023.2946844057765	51786363.49485514
3079.5587129142264	51585041.11266056
3136.8698245668766	51379972.086677134
3195.2475057592133	51193594.83841523
3254.711605531848	51021417.530091085
3315.282342319423	50846035.972762026
3376.9803108250912	50667390.53480886
3439.8264890229243	50485420.474857785
3503.8422452906757	50300063.92112774
3569.0493456752292	50111257.85039324
3635.4699612933177	49918938.06655591
3703.126675869927	49723039.17881698
3772.0424934169973	49523494.57944387
3842.240846055061	49320236.421122715
3913.745601980384	49113195.59388963
3986.581073580439	48905454.47618802
4060.7720257003657	48733092.14050254
4136.343684063274	48557522.11242146
4213.321743847289	48378684.69624352
4291.732378422157	48196519.085320234
4371.602248248501	48010963.341381125
4452.958509942655	47821954.37347387
4535.828825510186	47629427.91651285
4620.241371751313	47433318.50942828
4706.224849841281	47233559.47290865
4793.808495089106	47030082.88672922
4883.02208687788	46822819.566658236
4973.895958790063	46611699.04093362
5066.461008921268	46422483.43996979
5160.7487103859075	46248053.17163164
5256.791122018419	46070376.72631935
5354.620899273607	45889393.69212708
5454.271305329836	45705042.53287314
5555.7762223988775	45517260.567177065
5659.170163246242	45325983.94714714
5764.488282925873	45131147.6366716
5871.766390733255	44932685.38930555
5981.040962380945	44730529.72574646
6092.349152400711	44524611.91089058
6205.7288067765	44314861.93046207
6321.218475812449	44105710.194030106
6438.8574272404185	43933557.35695949
6558.685659571435	43758200.72629816
6680.743915695614	43579580.678902246
6805.073696735206	43397636.48203104
6931.717276155407	43212306.27269714
7060.717714137772	43023527.036632515
7192.118872221193	42831234.5868628
7325.96542821523	42635363.54188317
7462.302891391108	42435847.30342784
7601.17761795533	42232618.03382597
7742.636826811269	42025606.63293614
7886.728615614156	41814742.71465151
8033.501977124735	41628135.62850503
8183.00681586739	41456049.65551173
8335.293965098195	41280761.13327957
8490.415204088747	41102210.461822286
8648.423275731726	40920336.931987695
8809.37190447399	40735078.70481605
8973.31581458352	40546372.79051394
9140.310748756232	40354155.02703721
9310.413487069076	40158360.05827519
9483.681866285926	39958921.31182882
9660.174799522645	39755770.97637539
9839.952296278227	39548839.97861193
10023.075482838643	39343827.832291216
10209.606623060476	39175764.00743573
10399.609139541202	39004572.48620264
10593.1476351837	38830195.061630145
10790.287915161836	38652572.44351498
10991.097009294961	38471644.23825316
11195.643194838794	38287348.92830537
11403.99601970033	38099623.85128053
11616.22632608502	37908405.17862971
11832.40627458378	37713627.89394386
12052.609368708414	37515225.770847484
12276.910479883603	37313131.35048096
12505.385872903913	37107275.918563865
12738.113231864783	36927155.44673806
12975.171686575868	36760650.56578383
13216.641839466038	36591047.00066324
13462.60579298911	36418287.08433668
13713.147177539455	36242312.076571174
13968.351179887397	36063062.143967964
14228.30457214352	35880476.339618534
14493.09574126215	35694492.58238211
14762.81471909391	35505047.63577725
15037.553212997384	35312077.08648091
15317.404637020798	35115515.32242705
15602.46414366368	34915295.51049801
15892.828656229764	34718232.527470104
16188.596901781993	34556867.19427074
16489.86944471065	34392498.82476327
16796.74872092653	34225071.531931005
17109.339072690134	34054528.38869038
17427.746784089173	33880811.40853512
17752.08011717636	33703861.52582015
18082.44934877952	33523618.575678807
18418.96680799711	33340021.27356592
18761.746914391195	33153007.194420535
19110.90621689136	32962512.751440685
19466.56343342263	32768473.174463194
19828.83949127071	32570822.487941183
20197.857568198782	32399705.623783823
20573.743134329114	32240937.80774045
20956.623994804308	32079215.295625202
21346.630333242454	31914483.10004143
21743.8947560008	31746685.21026768
22148.55233726359	31575764.573213443
22560.74066496859	31401663.074020453
22980.599887588487	31224321.516303066
23408.272761782944	31043679.602020822
23843.904700937208	30859675.910976492
24287.643824604504	30672247.87993251
24739.64100886812	30481331.781338792
25200.049937640895	30294692.65235406
25669.027154919517	30141834.98852282
26146.732118010917	29986132.617558047
26633.327251749808	29827532.598975938
27128.978003724646	29665981.007061265
27633.852900531667	29501422.912532087
28148.123605075813	29333802.363863174
28671.964974937695	29163062.368261904
29205.55512182745	28989144.872290064
29749.075472144435	28811990.74212507
30302.71082866393	28631539.74345391
30866.649433372742	28447730.52099262
31441.08303147265	28260500.577625122
32026.206936576502	28100158.63885312
32622.220097116733	27950766.135352567
33229.325163989684	27798593.411941875
33847.72855945983	27643588.728255376
34477.640547344636	27485699.381030522
35119.275304507275	27324871.686187986
35772.850993678774	27161050.96057862
36438.58983763541	26994181.50339063
37116.71819475767	26824206.577210497
37807.466635993485	26651068.388731923
38511.070023255685	26474708.06910526
39227.76758927723	26295065.653921574
39957.803018952654	26120702.14052114
40701.42453219439	25977901.749676898
41458.88496832911	25832443.819260724
42230.441872066716	25684278.892008975
43016.35758106799	25533356.5902499
43816.89931514194	25379625.598774772
44632.33926710397	25223033.647390053
45462.95469532399	25063527.493145004
46309.02801799736	24901052.902228527
