# Frequency (Hz)	Real Part (Ohm/m)
1000.0	12093838.946073918
1018.6101701559753	12142396.791780801
1037.566678745186	12191858.307258697
1056.875971184804	12242240.309955807
1076.5446128423157	12293559.93029591
1096.5792912678098	12345834.617502885
1116.9868184678226	12399082.145533627
1137.7741332214914	12453320.619121412
1158.9483034398106	12508568.479931662
1180.5165285688054	12564844.512832347
1202.4861420374123	12622167.852281015
1224.8646137509306	12680557.98883073
1247.6595526308697	12740034.775757069
1270.8787092020582	12791618.503143499
1294.529978227916	12835522.013849627
1318.6214013947485	12880242.576360436
1343.1611700460153	12925795.396149045
1368.1576279674719	12972195.961665003
1393.619274224142	13019460.049600545
1419.5547660501015	13067603.730254838
1445.9729217920194	13116643.37299804
1472.882723907502	13166595.65183708
1500.2933220192183	13217477.551084999
1528.2140360258693	13269306.371135777
1556.654359271062	13322099.734346684
1585.6239617711371	13375450.901572308
1615.132693503091	13413078.478386264
1645.1905877536624	13451406.310807286
1675.807864530767	13490447.430711372
1706.9949340384078	13530215.112499956
1738.7624002162504	13570722.877613332
1771.1210643450886	13611984.499128107
1804.0819287193826	13654014.00644018
1837.6562003881704	13696825.690034905
1871.8552949655793	13740434.106345993
1906.690840512252	13784854.082704859
1942.1746814890264	13830100.722382095
1978.3188827841643	13876189.4097227
2015.1357338155585	13914459.777886031
2052.6377527092523	13945907.80238694
2090.8376905557498	13977941.07997488
2129.748535745521	14010570.502309386
2169.3835183851843	14043807.163745627
2209.756114795903	14077662.365106616
2250.880052095462	14112147.617525596
2292.7693128656488	14147274.64635996
2335.438139906479	14183055.395178013
2378.9010410788933	14219502.029819874
2423.1727942376006	14256626.942534039
2468.2684522556924	14294442.75619083
2514.2033481427966	14332224.835042696
2560.9931002584594	14356567.711786192
2608.6536176225477	14381363.613607964
2657.2011053245064	14406620.971381813
2706.652070033241	14432348.37288152
2757.0233256095826	14458554.565700814
2808.3319988231724	14485248.460227612
2860.5955351757416	14512439.132673675
2913.831704832789	14540135.828160618
2968.0586086656026	14568347.963863332
3023.2946844057765	14597085.132211942
3079.5587129142264	14626357.104153315
3136.8698245668766	14656173.832473315
3195.2475057592133	14679144.879700426
3254.711605531848	14696734.11602865
3315.282342319423	14714650.691037852
3376.9803108250912	14732900.696556592
3439.8264890229243	14751490.337783383
3503.8422452906757	14770425.935396545
3569.0493456752292	14789713.927703291
3635.4699612933177	14809360.872828834
3703.126675869927	14829373.450946204
3772.0424934169973	14849758.4665476
3842.240846055061	14870522.850757975
3913.745601980384	14891673.66369168
3986.581073580439	14912378.877703965
4060.7720257003657	14923023.04771792
4136.343684063274	14933865.307547003
4213.321743847289	14944909.343676379
4291.732378422157	14956158.911197335
4371.602248248501	14967617.835084032
