# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	26314690.584466755
1018.6101701559753	26276804.688889794
1037.566678745186	26238213.730349638
1056.875971184804	26198904.58750456
1076.5446128423157	26158863.89482245
1096.5792912678098	26118078.038036373
1116.9868184678226	26076533.149515543
1137.7741332214914	26034215.10355023
1158.9483034398106	25991109.51154883
1180.5165285688054	25947201.717145618
1202.4861420374123	25902476.79121738
1224.8646137509306	25856919.526807413
1247.6595526308697	25810514.43395493
1270.8787092020582	25767249.439916745
1294.529978227916	25727022.9513629
1318.6214013947485	25686047.841012295
1343.1611700460153	25644310.176885903
1368.1576279674719	25601795.76772821
1393.619274224142	25558490.158182006
1419.5547660501015	25514378.623873446
1445.9729217920194	25469446.166405555
1472.882723907502	25423677.508258663
1500.2933220192183	25377057.087595843
1528.2140360258693	25329569.052971747
1556.654359271062	25281197.25794292
1585.6239617711371	25232133.644822437
1615.132693503091	25190359.48760212
1645.1905877536624	25147807.90620782
1675.807864530767	25104464.432643365
1706.9949340384078	25060314.329660725
1738.7624002162504	25015342.585749168
1771.1210643450886	24969533.910031214
1804.0819287193826	24922872.72706352
1837.6562003881704	24875343.17154113
1871.8552949655793	24826929.082903024
1906.690840512252	24777613.999837413
1942.1746814890264	24727381.1546847
1978.3188827841643	24676213.467736267
2015.1357338155585	24628896.86128365
2052.6377527092523	24584871.048675507
2090.8376905557498	24540025.90820348
2129.748535745521	24494346.192036588
2169.3835183851843	24447816.36857916
2209.756114795903	24400420.617189854
2250.880052095462	24352142.822802532
2292.7693128656488	24302966.570446905
2335.438139906479	24252875.139667302
2378.9010410788933	24201851.498837538
2423.1727942376006	24149878.299369954
2468.2684522556924	24096937.869816728
2514.2033481427966	24043484.840904545
2560.9931002584594	23998100.31556698
2608.6536176225477	23951871.17649044
2657.2011053245064	23904781.70526952
2706.652070033241	23856815.890976626
2757.0233256095826	23807957.42471807
2808.3319988231724	23758189.694088873
2860.5955351757416	23707495.777524397
2913.831704832789	23655858.438546788
2968.0586086656026	23603260.119904403
3023.2946844057765	23549682.937602162
3079.5587129142264	23495108.6748208
3136.8698245668766	23439518.775722932
3195.2475057592133	23388546.883232452
3254.711605531848	23341063.53093118
3315.282342319423	23292696.505363997
3376.9803108250912	23243429.361221064
3439.8264890229243	23193245.347142547
3503.8422452906757	23142127.40002291
3569.0493456752292	23090058.13920936
3635.4699612933177	23037019.860592164
3703.126675869927	22982994.53058512
3772.0424934169973	22927963.77999392
3842.240846055061	22871908.897770405
3913.745601980384	22814810.824650638
3986.581073580439	22757440.538399287
4060.7720257003657	22708841.16242475
4136.343684063274	22659337.343793865
4213.321743847289	22608912.250674874
4291.732378422157	22557548.737992827
4371.602248248501	22505229.341599952
4452.958509942655	22451936.272337735
4535.828825510186	22397651.409988422
4620.241371751313	22342356.29711389
4706.224849841281	22286032.132779986
4793.808495089106	22228659.766163923
4883.02208687788	22170219.69004288
4973.895958790063	22110692.034161296
5066.461008921268	22056579.614828616
5160.7487103859075	22006082.582769223
5256.791122018419	21954645.79235083
5354.620899273607	21902251.75451048
5454.271305329836	21848882.65471075
5555.7762223988775	21794520.346882697
5659.170163246242	21739146.34725588
5764.488282925873	21682741.828073785
5871.766390733255	21625287.61119215
5981.040962380945	21566764.16155817
6092.349152400711	21507151.580568388
6205.7288067765	21446429.599302948
6321.218475812449	21385731.054933656
6438.8574272404185	21334380.518007137
6558.685659571435	21282074.338850807
6680.743915695614	21228794.732800175
6805.073696735206	21174523.584215097
6931.717276155407	21119242.440320287
7060.717714137772	21062932.504931178
7192.118872221193	21005574.63206301
7325.96542821523	20947149.319420982
7462.302891391108	20887636.701769266
7601.17761795533	20827016.544176616
7742.636826811269	20765268.235136297
7886.728615614156	20702370.779557884
8033.501977124735	20645674.956128765
8183.00681586739	20592631.220652927
8335.293965098195	20538600.33223417
8490.415204088747	20483563.919788264
8648.423275731726	20427503.270341966
8809.37190447399	20370399.322670422
8973.31581458352	20312232.660816126
9140.310748756232	20252983.507487312
9310.413487069076	20192631.71733346
9483.681866285926	20131156.770095628
9660.174799522645	20068537.763629366
9839.952296278227	20004753.406797767
10023.075482838643	19941330.344812237
10209.606623060476	19887665.799800344
10399.609139541202	19833002.548474446
10593.1476351837	19777322.004740093
10790.287915161836	19720605.23661246
10991.097009294961	19662832.95977928
11195.643194838794	19603985.53104393
11403.99601970033	19544042.94164658
11616.22632608502	19482984.81046096
11832.40627458378	19420790.37706456
12052.609368708414	19357438.494679905
12276.910479883603	19292907.62298436
12505.385872903913	19227175.820786253
12738.113231864783	19168388.82998459
12975.171686575868	19113195.403636266
13216.641839466038	19056974.818232108
13462.60579298911	18999707.9581673
13713.147177539455	18941375.352092396
13968.351179887397	18881957.1662928
14228.30457214352	18821433.197945114
14493.09574126215	18759782.86824796
14762.81471909391	18696985.215424966
15037.553212997384	18633018.887597542
15317.404637020798	18567862.135524992
15602.46414366368	18501492.80520958
15892.828656229764	18435851.441847403
16188.596901781993	18380215.919249576
