# Frequency (Hz)	Real Part (Ohm/m)
1000.0	3443286.9393183724
1018.6101701559753	3455815.4179686154
1037.566678745186	3468577.053738337
1056.875971184804	3481576.1857212
1076.5446128423157	3494817.2337621446
1096.5792912678098	3508304.699960175
1116.9868184678226	3522043.1701991227
1137.7741332214914	3536037.3157069013
1158.9483034398106	3550291.894643766
1180.5165285688054	3564811.753720148
1202.4861420374123	3579601.829844583
1224.8646137509306	3594667.151802312
1247.6595526308697	3610012.8419651296
1270.8787092020582	3623817.3308841432
1294.529978227916	3636124.9545907625
1318.6214013947485	3648661.6252687783
1343.1611700460153	3661431.6055213
1368.1576279674719	3674439.237279211
1393.619274224142	3687688.9432774624
1419.5547660501015	3701185.228558859
1445.9729217920194	3714932.6820058143
1472.882723907502	3728935.9779006294
1500.2933220192183	3743199.877514792
1528.2140360258693	3757729.2307278616
1556.654359271062	3772528.9776764833
1585.6239617711371	3787515.8793051993
1615.132693503091	3799307.1951623126
1645.1905877536624	3811317.949413889
1675.807864530767	3823552.2258457886
1706.9949340384078	3836014.184243821
1738.7624002162504	3848708.0618081177
1771.1210643450886	3861638.174593826
1804.0819287193826	3874808.9189786105
1837.6562003881704	3888224.7731574783
1871.8552949655793	3901890.298665402
1906.690840512252	3915810.141928298
1942.1746814890264	3929989.035842863
1978.3188827841643	3944431.8013858004
2015.1357338155585	3957255.470397712
2052.6377527092523	3968678.2928036423
2090.8376905557498	3980313.6958782086
2129.748535745521	3992165.635783826
2169.3835183851843	4004238.142307765
2209.756114795903	4016535.320232324
2250.880052095462	4029061.350730497
2292.7693128656488	4041820.4927876196
2335.438139906479	4054817.084649471
2378.9010410788933	4068055.5452973177
2423.1727942376006	4081540.3759504254
2468.2684522556924	4095276.16159651
2514.2033481427966	4109095.5500551234
2560.9931002584594	4119873.379674292
2608.6536176225477	4130851.786536587
2657.2011053245064	4142034.5034186305
2706.652070033241	4153425.332564654
2757.0233256095826	4165028.1469793026
2808.3319988231724	4176846.891744497
2860.5955351757416	4188885.585360801
2913.831704832789	4201148.3211137615
2968.0586086656026	4213639.268465661
3023.2946844057765	4226362.674473188
3079.5587129142264	4239322.8652314795
3136.8698245668766	4252524.247345038
3195.2475057592133	4264072.411524105
3254.711605531848	4274344.891549672
3315.282342319423	4284808.544176439
3376.9803108250912	4295466.927159043
3439.8264890229243	4306323.664462541
3503.8422452906757	4317382.447494596
3569.0493456752292	4328647.036360594
3635.4699612933177	4340121.261142128
3703.126675869927	4351809.023199253
3772.0424934169973	4363714.296497003
3842.240846055061	4375841.128956579
3913.745601980384	4388193.643831679
3986.581073580439	4400532.0143596
4060.7720257003657	4410062.4254854405
4136.343684063274	4419770.199183989
4213.321743847289	4429658.636202903
4291.732378422157	4439731.098717315
4371.602248248501	4449991.011473011
4452.958509942655	4460441.862950875
