# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	72515381.11423042
1018.6101701559753	72409376.71058518
1037.566678745186	72301399.5469508
1056.875971184804	72191412.90992826
1076.5446128423157	72079379.40287583
1096.5792912678098	71965260.93319398
1116.9868184678226	71849018.69937344
1137.7741332214914	71730613.17780213
1158.9483034398106	71610004.10932703
1180.5165285688054	71487150.48556522
1202.4861420374123	71362010.53496096
1224.8646137509306	71234541.7085826
1247.6595526308697	71104700.66565578
1270.8787092020582	70983214.20252483
1294.529978227916	70869807.2766649
1318.6214013947485	70754289.82861787
1343.1611700460153	70636622.5812067
1368.1576279674719	70516765.52629939
1393.619274224142	70394677.91120587
1419.5547660501015	70270318.22482154
1445.9729217920194	70143644.18351306
1472.882723907502	70014612.71674146
1500.2933220192183	69883179.95241778
1528.2140360258693	69749301.20198596
1556.654359271062	69612930.94522832
1585.6239617711371	69474601.86413008
1615.132693503091	69356490.77498429
1645.1905877536624	69236181.61837216
1675.807864530767	69113633.48788418
1706.9949340384078	68988804.71583553
1738.7624002162504	68861652.85909866
1771.1210643450886	68732134.68467227
1804.0819287193826	68600206.15498154
1837.6562003881704	68465822.41290481
1871.8552949655793	68328937.76652184
1906.690840512252	68189505.67357796
1942.1746814890264	68047478.72565919
1978.3188827841643	67902808.63207293
2015.1357338155585	67769105.1942036
2052.6377527092523	67644775.43796158
2090.8376905557498	67518131.88380043
2129.748535745521	67389131.47154722
2169.3835183851843	67257730.33967178
2209.756114795903	67123883.81037343
2250.880052095462	66987546.37439005
2292.7693128656488	66848671.6755244
2335.438139906479	66707212.494882494
2378.9010410788933	66563120.734818734
2423.1727942376006	66416347.4025821
2468.2684522556924	66266842.59365818
2514.2033481427966	66115918.4644658
2560.9931002584594	65988322.59163012
2608.6536176225477	65858352.137889765
2657.2011053245064	65725962.91189006
2706.652070033241	65591109.89986771
2757.0233256095826	65453747.25034555
2808.3319988231724	65313828.25854272
2860.5955351757416	65171305.35049437
2913.831704832789	65026130.06687611
2968.0586086656026	64878253.046527304
3023.2946844057765	64727624.009667635
3079.5587129142264	64574191.74080157
3136.8698245668766	64417904.071304485
3195.2475057592133	64275099.12956996
3254.711605531848	64142503.38603148
3315.282342319423	64007440.01314376
3376.9803108250912	63869863.08790479
3439.8264890229243	63729725.83267758
3503.8422452906757	63586980.59928539
3569.0493456752292	63441578.85281084
3635.4699612933177	63293471.1550934
3703.126675869927	63142607.14792002
3772.0424934169973	62988935.53590276
3842.240846055061	62832404.06903768
3913.745601980384	62672959.52493951
3986.581073580439	62512835.26624057
4060.7720257003657	62378206.18498948
4136.343684063274	62241071.63362837
4213.321743847289	62101384.984932154
4291.732378422157	61959098.7439352
4371.602248248501	61814164.531782426
4452.958509942655	61666533.06928007
4535.828825510186	61516154.16014018
4620.241371751313	61362976.67391331
4706.224849841281	61206948.528603695
4793.808495089106	61048016.67296077
4883.02208687788	60886127.0684411
4973.895958790063	60721224.67083484
5066.461008921268	60571983.44297736
5160.7487103859075	60433237.45880728
5256.791122018419	60291909.38826335
5354.620899273607	60147951.178278774
5454.271305329836	60001313.88151103
5555.7762223988775	59851947.639699236
5659.170163246242	59699801.66671176
5764.488282925873	59544824.23127846
5871.766390733255	59386962.639401376
5981.040962380945	59226163.21643839
6092.349152400711	59062371.28885309
6205.7288067765	58895531.16562523
6321.218475812449	58728857.87721309
6438.8574272404185	58588801.64762576
6558.685659571435	58446138.94777438
6680.743915695614	58300821.27080388
6805.073696735206	58152799.20713829
6931.717276155407	58002022.42768103
7060.717714137772	57848439.6667025
7192.118872221193	57691998.70440917
7325.96542821523	57532646.34918815
7462.302891391108	57370328.41952174
7601.17761795533	57204989.725564845
7742.636826811269	57036574.05038008
7886.728615614156	56865024.13082317
8033.501977124735	56710887.31554548
8183.00681586739	56567038.936135605
8335.293965098195	56420513.51390824
8490.415204088747	56271261.22864106
8648.423275731726	56119231.3329489
8809.37190447399	55964372.13502911
8973.31581458352	55806630.9810858
9140.310748756232	55645954.237427
9310.413487069076	55482287.272228636
9483.681866285926	55315574.436958976
9660.174799522645	55145759.0474578
9839.952296278227	54972783.364662886
10023.075482838643	54800850.86579533
10209.606623060476	54655831.37659478
10399.609139541202	54508113.05002427
10593.1476351837	54357645.66026116
10790.287915161836	54204378.04677161
10991.097009294961	54048258.09691564
11195.643194838794	53889232.72822806
11403.99601970033	53727247.87037011
11616.22632608502	53562248.44674476
11832.40627458378	53394178.355770074
12052.609368708414	53222980.45180424
12276.910479883603	53048596.525715224
12505.385872903913	52870967.28508926
12738.113231864783	52712205.717479736
12975.171686575868	52563214.692097
13216.641839466038	52411450.91838015
13462.60579298911	52256862.79501092
13713.147177539455	52099397.7603617
13968.351179887397	51939002.27462405
14228.30457214352	51775621.801604584
14493.09574126215	51609200.79018205
14762.81471909391	51439682.65541939
15037.553212997384	51267009.75932429
15317.404637020798	51091123.39125154
15602.46414366368	50911963.747940846
15892.828656229764	50734739.91900851
16188.596901781993	50584358.16999257
16489.86944471065	50431177.79103914
16796.74872092653	50275146.69916882
17109.339072690134	50116211.84212916
17427.746784089173	49954319.180356294
17752.08011717636	49789413.668600805
18082.44934877952	49621439.237211905
18418.96680799711	49450338.773073
18761.746914391195	49276054.10018271
19110.90621689136	49098525.95987437
19466.56343342263	48917693.99066736
19828.83949127071	48733496.70774381
20197.857568198782	48569636.68471931
20573.743134329114	48414946.072015956
20956.623994804308	48257376.640688665
21346.630333242454	48096874.81543296
21743.8947560008	47933386.02389892
22148.55233726359	47766854.67813586
22560.74066496859	47597224.15569181
22980.599887588487	47424436.78036145
23408.272761782944	47248433.80257537
23843.904700937208	47069155.37942476
24287.643824604504	46886540.55431399
24739.64100886812	46700527.23623493
25200.049937640895	46517422.502739154
25669.027154919517	46361220.11682858
26146.732118010917	46202110.77793746
