# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	24256166.435319733
1018.6101701559753	24249832.21193092
1037.566678745186	24243380.10756703
1056.875971184804	24236807.92844307
1076.5446128423157	24230113.439947315
1096.5792912678098	24223294.365881547
1116.9868184678226	24216348.38768711
1137.7741332214914	24209273.14365657
1158.9483034398106	24202066.228130728
1180.5165285688054	24194725.190680657
1202.4861420374123	24187247.535274513
1224.8646137509306	24179630.719428897
1247.6595526308697	24171872.153344344
1270.8787092020582	24164081.201633096
1294.529978227916	24156252.784765095
1318.6214013947485	24148278.679727126
1343.1611700460153	24140156.175237563
1368.1576279674719	24131882.509557355
1393.619274224142	24123454.869551025
1419.5547660501015	24114870.389730167
1445.9729217920194	24106126.15127914
1472.882723907502	24097219.181062654
1500.2933220192183	24088146.450614862
1528.2140360258693	24078904.875109665
1556.654359271062	24069491.312311802
1585.6239617711371	24059910.274746813
1615.132693503091	24050454.53799188
1645.1905877536624	24040822.82836699
1675.807864530767	24031011.870987087
1706.9949340384078	24021018.33002095
1738.7624002162504	24010838.807556972
1771.1210643450886	24000469.842447836
1804.0819287193826	23989907.909133676
1837.6562003881704	23979149.416443363
1871.8552949655793	23968190.706373464
1906.690840512252	23957028.052844472
1942.1746814890264	23945657.66043391
1978.3188827841643	23934075.66308585
2015.1357338155585	23922513.125092506
2052.6377527092523	23910939.49016948
2090.8376905557498	23899150.467931215
2129.748535745521	23887142.04998312
2169.3835183851843	23874910.153333712
2209.756114795903	23862450.619006325
2250.880052095462	23849759.210625038
2292.7693128656488	23836831.61297426
2335.438139906479	23823663.43053149
2378.9010410788933	23810250.18597282
2423.1727942376006	23796587.318650566
2468.2684522556924	23782670.183042627
2514.2033481427966	23768524.434694484
2560.9931002584594	23754698.149147246
2608.6536176225477	23740614.554073352
2657.2011053245064	23726268.86089872
2706.652070033241	23711656.19193311
2757.0233256095826	23696771.57871161
2808.3319988231724	23681609.960305355
2860.5955351757416	23666166.18160072
2913.831704832789	23650434.991546538
2968.0586086656026	23634411.041368693
3023.2946844057765	23618088.88275147
3079.5587129142264	23601462.965985067
3136.8698245668766	23584527.638078637
3195.2475057592133	23567751.902662747
3254.711605531848	23551036.646638
3315.282342319423	23534010.31685443
3376.9803108250912	23516667.124176458
3439.8264890229243	23499001.171731703
3503.8422452906757	23481006.45290598
3569.0493456752292	23462676.849301
3635.4699612933177	23444006.12865404
3703.126675869927	23424987.94271891
3772.0424934169973	23405615.825107463
3842.240846055061	23385883.18909099
3913.745601980384	23365783.325360626
3986.581073580439	23345395.534815405
4060.7720257003657	23325700.5099178
4136.343684063274	23305638.957255624
4213.321743847289	23285204.055684812
4291.732378422157	23264388.857118644
4371.602248248501	23243186.284165334
4452.958509942655	23221589.127721615
4535.828825510186	23199590.044521593
4620.241371751313	23177181.554639943
4706.224849841281	23154356.03894866
4793.808495089106	23131105.736526463
4883.02208687788	23107422.742020007
4973.895958790063	23083299.002955988
5066.461008921268	23059641.7897909
5160.7487103859075	23036193.042668574
5256.791122018419	23012307.910372354
5354.620899273607	22987978.27169991
5454.271305329836	22963195.854311932
5555.7762223988775	22937952.23191949
5659.170163246242	22912238.821418975
5764.488282925873	22886046.87997375
5871.766390733255	22859367.502041515
5981.040962380945	22832191.616346307
6092.349152400711	22804509.982794173
6205.7288067765	22776313.189331435
6321.218475812449	22747798.402549054
6438.8574272404185	22720630.990335748
6558.685659571435	22692957.98795845
6680.743915695614	22664769.986298192
6805.073696735206	22636057.401130676
6931.717276155407	22606810.469867572
7060.717714137772	22577019.248237126
7192.118872221193	22546673.60690298
7325.96542821523	22515763.228020117
7462.302891391108	22484277.601726655
7601.17761795533	22452206.022570405
7742.636826811269	22419537.585868884
7886.728615614156	22386261.184001617
8033.501977124735	22354037.628325224
8183.00681586739	22322282.05715814
8335.293965098195	22289935.509408236
8490.415204088747	22256986.986900747
8648.423275731726	22223425.286783006
8809.37190447399	22189238.99771535
8973.31581458352	22154416.495991148
9140.310748756232	22118945.9415846
9310.413487069076	22082815.274125017
9483.681866285926	22046012.20879616
9660.174799522645	22008524.23215927
9839.952296278227	21970338.597898375
10023.075482838643	21931882.09948814
10209.606623060476	21895816.90421297
10399.609139541202	21859080.529517025
10593.1476351837	21821660.484637074
10790.287915161836	21783544.046354663
10991.097009294961	21744718.254670076
11195.643194838794	21705169.908395797
11403.99601970033	21664885.56066797
11616.22632608502	21623851.514374305
11832.40627458378	21582053.817496926
12052.609368708414	21539478.258368533
12276.910479883603	21496110.360840265
12505.385872903913	21451935.379359696
12738.113231864783	21409809.33075806
12975.171686575868	21368546.97358463
13216.641839466038	21326516.716923166
13462.60579298911	21283704.270033523
13713.147177539455	21240095.076222483
13968.351179887397	21195674.30789425
14228.30457214352	21150426.86150897
14493.09574126215	21104337.35244734
14762.81471909391	21057390.109779656
15037.553212997384	21009569.17093758
15317.404637020798	20960858.276286636
15602.46414366368	20911240.863597784
15892.828656229764	20861542.575653102
