# Frequency (Hz)	Real Part (Ohm/m)
1000.0	828803.78170247
1018.6101701559753	839243.1510923582
1037.566678745186	849876.7989229137
1056.875971184804	860708.340748974
1076.5446128423157	871741.4594114693
1096.5792912678098	882979.9062896244
1116.9868184678226	894427.5025764706
1137.7741332214914	906088.1405780928
1158.9483034398106	917965.7850370517
1180.5165285688054	930064.4744804444
1202.4861420374123	942388.3225930426
1224.8646137509306	954941.5196159924
1247.6595526308697	967728.3337715417
1270.8787092020582	980134.3540987436
1294.529978227916	992177.2262043625
1318.6214013947485	1004444.2182090329
1343.1611700460153	1016939.5010222122
1368.1576279674719	1029667.3231746925
1393.619274224142	1042632.0122631447
1419.5547660501015	1055837.9764215532
1445.9729217920194	1069289.7058200224
1472.882723907502	1082991.7741914897
1500.2933220192183	1096948.8403868391
1528.2140360258693	1111165.6499589616
1556.654359271062	1125647.036776297
1585.6239617711371	1140361.0825335998
1615.132693503091	1153898.793184646
1645.1905877536624	1167688.4429344297
1675.807864530767	1181734.7204124483
1706.9949340384078	1196042.4015043913
1738.7624002162504	1210616.3509759924
1771.1210643450886	1225461.5241271055
1804.0819287193826	1240582.9684765546
1837.6562003881704	1255985.8254783512
1871.8552949655793	1271675.33226984
1906.690840512252	1287656.823452381
1942.1746814890264	1303935.7329051762
1978.3188827841643	1320517.5956328409
2015.1357338155585	1336437.5909044615
2052.6377527092523	1351811.0811006716
2090.8376905557498	1367470.674565324
2129.748535745521	1383421.6957289285
2169.3835183851843	1399669.568110548
2209.756114795903	1416219.816161863
2250.880052095462	1433078.0671455357
2292.7693128656488	1450250.0530485467
2335.438139906479	1467741.6125311295
2378.9010410788933	1485558.6929119756
2423.1727942376006	1503707.352190393
2468.2684522556924	1522193.7611060836
2514.2033481427966	1540915.3248161362
2560.9931002584594	1557897.3858689182
2608.6536176225477	1575195.4859674906
2657.2011053245064	1592815.5066522735
2706.652070033241	1610763.4389201512
2757.0233256095826	1629045.3852614819
2808.3319988231724	1647667.561735008
2860.5955351757416	1666636.3000813802
2913.831704832789	1685958.0498760238
2968.0586086656026	1705639.3807220557
3023.2946844057765	1725686.9844840283
3079.5587129142264	1746107.6775632317
3136.8698245668766	1766908.403215341
3195.2475057592133	1786616.383357209
3254.711605531848	1805529.4788239875
3315.282342319423	1824794.550215579
3376.9803108250912	1844418.1478638365
3439.8264890229243	1864406.9440033988
3503.8422452906757	1884767.735040333
3569.0493456752292	1905507.443862973
3635.4699612933177	1926633.1221957884
3703.126675869927	1948151.952997039
3772.0424934169973	1970071.2529010572
3842.240846055061	1992398.4747059904
3913.745601980384	2015141.209907822
3986.581073580439	2038073.052141537
4060.7720257003657	2058517.1595725534
4136.343684063274	2079341.7353215467
4213.321743847289	2100553.8599686557
4291.732378422157	2122160.7458648165
4371.602248248501	2144169.739584045
4452.958509942655	2166588.324421352
4535.828825510186	2189424.122937136
4620.241371751313	2212684.8995489473
4706.224849841281	2236378.563171463
4793.808495089106	2260513.1699056127
4883.02208687788	2285096.9257777343
4973.895958790063	2310138.189529707
5066.461008921268	2333470.813544569
5160.7487103859075	2355696.6325953687
5256.791122018419	2378336.07792056
5354.620899273607	2401396.847175491
5454.271305329836	2424886.781270184
5555.7762223988775	2448813.8670353307
5659.170163246242	2473186.239937904
5764.488282925873	2498012.1868472984
5871.766390733255	2523300.1488529616
5981.040962380945	2549058.724134448
6092.349152400711	2575296.670884896
6205.7288067765	2602022.910288914
6321.218475812449	2628816.6165293986
6438.8574272404185	2652203.861068145
6558.685659571435	2676026.3462072364
6680.743915695614	2700292.171848303
6805.073696735206	2725009.5886335257
6931.717276155407	2750187.000750939
7060.717714137772	2775832.968791943
7192.118872221193	2801956.2126620063
7325.96542821523	2828565.6145455157
7462.302891391108	2855670.2219258263
7601.17761795533	2883279.2506614965
7742.636826811269	2911402.0881197774
7886.728615614156	2940048.296368428
8033.501977124735	2966180.626306443
8183.00681586739	2990853.747798597
8335.293965098195	3015986.040280001
8490.415204088747	3041586.049000892
8648.423275731726	3067662.4782400746
8809.37190447399	3094224.1942644576
8973.31581458352	3121280.228343689
9140.310748756232	3148839.779820882
9310.413487069076	3176912.2192404866
9483.681866285926	3205507.0915343845
9660.174799522645	3234634.1192672593
9839.952296278227	3264303.2059423802
10023.075482838643	3293821.7963439156
10209.606623060476	3318925.6227200106
10399.609139541202	3344496.635576527
10593.1476351837	3370543.529333365
10790.287915161836	3397075.1602150523
10991.097009294961	3424100.549261963
11195.643194838794	3451628.885397571
11403.99601970033	3479669.5285527706
11616.22632608502	3508232.012848372
11832.40627458378	3537326.049836791
12052.609368708414	3566961.531804089
12276.910479883603	3597148.535133457
12505.385872903913	3627897.323731279
12738.113231864783	3655197.465902863
12975.171686575868	3680698.1146726315
13216.641839466038	3706673.3348550927
13462.60579298911	3733131.9583049915
13713.147177539455	3760082.981239383
13968.351179887397	3787535.567296461
14228.30457214352	3815499.0506512825
14493.09574126215	3843982.9391894913
14762.81471909391	3872996.9177401033
15037.553212997384	3902550.851368441
15317.404637020798	3932654.78873038
15602.46414366368	3963318.96548899
15892.828656229764	3993520.7848509145
16188.596901781993	4018376.594859658
16489.86944471065	4043694.9757220247
16796.74872092653	4069484.535960315
17109.339072690134	4095754.044302887
17427.746784089173	4122512.432665628
17752.08011717636	4149768.7991889026
18082.44934877952	4177532.411331006
18418.96680799711	4205812.709019219
18761.746914391195	4234619.30785947
19110.90621689136	4263962.002405753
19466.56343342263	4293850.769490381
19828.83949127071	4324295.771616203
20197.857568198782	4350378.720793023
20573.743134329114	4374413.019219356
20956.623994804308	4398894.600028982
21346.630333242454	4423831.787223166
21743.8947560008	4449233.059714242
22148.55233726359	4475107.054208555
22560.74066496859	4501462.568143022
22980.599887588487	4528308.562676357
23408.272761782944	4555654.165735967
23843.904700937208	4583508.675121533
24287.643824604504	4611881.561666373
24739.64100886812	4640782.472457631
25200.049937640895	4668858.148494162
25669.027154919517	4690970.765697561
26146.732118010917	4713494.902469709
26633.327251749808	4736438.217259801
27128.978003724646	4759808.511042079
27633.852900531667	4783613.7299682405
28148.123605075813	4807861.968069221
28671.964974937695	4832561.47000724
29205.55512182745	4857720.633879094
29749.075472144435	4883348.014071589
30302.71082866393	4909452.324170112
30866.649433372742	4936042.439921377
31441.08303147265	4963127.402251239
32026.206936576502	4985194.088033926
32622.220097116733	5005138.051540493
33229.325163989684	5025453.175601497
33847.72855945983	5046146.367578021
34477.640547344636	5067224.6633782955
35119.275304507275	5088695.229850011
35772.850993678774	5110565.367217114
36438.58983763541	5132842.511561947
37116.71819475767	5155534.237353632
37807.466635993485	5178648.260023431
38511.070023255685	5202192.438588104
39227.76758927723	5226174.778322049
39957.803018952654	5249005.91169759
40701.42453219439	5265812.605745454
41458.88496832911	5282932.075229307
42230.441872066716	5300370.140953233
43016.35758106799	5318132.732047475
43816.89931514194	5336225.88798439
44632.33926710397	5354655.76063195
45462.95469532399	5373428.616345433
46309.02801799736	5392550.8380980585
47170.84690917023	5412028.927651263
48048.704396551344	5431869.507765363
48942.89896114532	5452079.324451379
49853.73463873894	5472665.249264744
50781.5211232767	5488094.540429561
51726.57387216024	5501554.948202008
52689.21421350677	5515265.856453466
53669.76945540476	5529231.927040476
54668.57299720181	5543457.908577522
55685.96444286408	5557948.638051607
56722.28971644549	5572709.042466892
57777.90117970507	5587744.140519913
58853.1577519145	5603059.044306014
59948.42503189408	5618658.961057496
61064.07542232036	5634549.194914142
62200.48825634718	5650735.14872668
63358.04992658254	5665593.554430828
64537.15401646702	5675066.259136078
65738.20143409586	5684715.25248773
66961.60054853215	5694543.81524749
68207.76732865692	5704555.289232599
69477.1254846024	5714753.078452082
70770.10661181889	5725140.650264154
72087.15033782135	5735721.536555156
73428.70447166759	5746499.334940434
74795.22515621828	5757477.709987571
76187.17702322999	5768660.394462371
77605.0333513357	5780051.190598046
79049.2762269642	5791653.97138802
80520.39670825469	5798662.28121477
82018.8949920221	5804072.993318122
83545.28058382872	5809584.399694383
85100.07247122246	5815198.374281104
86683.79930019773	5820916.825890136
88296.99955494082	5826741.698856641
89940.22174092053	5832674.973700189
91614.0245713852	5838718.667798158
93318.9771573324	5844874.836071661
95055.65920101192	5851145.571684242
96824.66119303115	5857533.006753576
98626.5846131283	5864039.313076412
100462.04213468132	5869285.818588001
102331.65783302448	5870448.90996538
104236.06739764012	5871633.6466712
106175.9183482999	5872840.431528704
108151.87025522892	5874069.67485775
110164.59496336569	5875321.794614311
112214.77682079801	5876597.216532597
114303.11291144785	5877896.374269804
116430.31329208757	5879219.709553559
118597.10123376705	5880567.672332119
120804.21346773289	5881940.720927351
123052.40043592616	5883339.322190574
125342.42654613995	5884763.951661285
127675.07043192645	5882866.06301844
130051.12521734099	5879880.060142953
132471.39878661174	5876838.487245868
134936.71405883064	5873740.310159626
137447.90926775365	5870584.475470637
140005.8382468096	5867369.9101611
142611.37071941295	5864095.521244177
145265.39259467812	5860760.195392352
147968.80626863963	5857362.798558899
150722.53093107554	5853902.175592287
153527.5028780421	5850377.149843422
156384.67583022476	5846786.522765567
159295.0212572123	5842279.177072038
162259.5287078087	5835426.546192566
165279.2061464897	5828446.386686409
168355.08029612005	5821336.3252241295
171488.19698705408	5814093.944308216
174679.62151272455	5806716.781451123
177930.43899185772	5799202.328337992
181241.75473742394	5791548.029973795
184614.69463245454	5783751.283814617
188050.40551285836	5775809.438882752
191550.0555573528	5767719.794865355
195114.83468466165	5759479.601196292
198745.9549580986	5751086.056120929
202444.65099768018	5741159.730750893
206212.18039991445	5730673.780885759
210049.8241653915	5719992.685709389
213958.88713434213	5709112.813534334
217940.6984302958	5698030.465086825
221996.61191199525	5686741.872248983
226128.00663372793	5675243.1967776045
230336.2873142131	5663530.528999136
234622.88481422624	5651599.8864803305
238989.25662310526	5639447.212674178
243436.8873543108	5627068.375540646
247967.289250216	5614459.166141722
252582.00269627848	5601500.361817217
257282.59674479323	5588029.7239051405
262070.66964838552	5574308.395129409
266947.8494034318	5560331.710090397
271915.7943036019	5546094.91656459
276976.1935036891	5531593.173888794
282130.76759394706	5516821.551314243
287381.2691851069	5501775.0263300985
292729.4835042813	5486448.482955746
298177.22900196735	5470836.710001291
303726.3579703311	5454934.399295718
309378.75717301364	5438736.143882042
315136.34848664823	5422236.4361788845
321001.08955431683	5406181.211338412
326974.97445117676	5390002.234367699
333060.03436245886	5373522.163882613
339258.33827409917	5356735.396481617
345571.9936762143	5339636.224482917
352003.1472796675	5322218.8339838
358553.9857459817	5304477.302883818
365226.7364308175	5286405.598871238
372023.6681413066	5267997.577371976
378947.09190746717	5249246.979460375
385999.36176797637	5230147.429731119
393182.87557057705	5210692.434131494
400500.07578736113	5191564.540589308
407953.45034524484	5173525.276782391
415545.53347188793	5155150.299206536
423278.90655735444	5136433.360171386
431156.19903182285	5117368.095715989
439180.0892596086	5097948.02344501
447353.3054498463	5078166.540324627
455678.6265841068	5058016.920437436
464158.8833612772	5037492.312695567
472796.9591600391	5016585.7385112345
481595.79101923504	4995290.089423955
490558.37063650455	4973598.124683579
499687.7453854889	4951502.468788366
508987.0193519675	4931668.643527911
518459.3543892913	4911989.154870464
528107.971193433	4891943.4275805205
537936.1503980698	4871524.645894812
547947.2336900292	4850725.867207552
558144.6249454955	4829540.019709891
568531.7913873753	4807959.899985394
579112.2647641759	4785978.1705608405
589889.6425508494	4763587.357411374
600867.5891719692	4740779.847419263
612049.837247669	4717547.885785369
623440.1888627863	4693883.573392407
635042.5168595961	4671201.395573292
646860.7661546321	4650763.422807524
658898.9550799957	4629945.095890939
671161.1767496272	4608739.336368079
683651.6004510238	4587138.934052207
696374.4730628222	4565136.544573801
709334.1204987989	4542724.686883364
722534.9491787221	4519895.740707794
735981.4475265755	4496641.943959421
749678.1874966878	4472955.390096783
763629.8261282243	4448828.025436353
777841.1071286482	4424251.646414179
792316.8624866261	4399217.896796581
807062.0141149492	4377851.841706823
822081.575524054	4356753.233555138
837380.6535266489	4335261.976715699
852964.4499741016	4313370.763929612
868838.2635251193	4291072.151948652
885007.4914473438	4268358.5590044875
901477.6314524917	4245222.262230778
918254.2835656281	4221655.395037332
935343.1520292377	4197649.944435371
952750.0472427299	4173197.7483130344
970480.8877380306	4148290.492660177
