Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.161519940673078963e+02	3.140354598943021074e+02
1.032794731918951654e-10	2.215189943460785855e+02	3.222171106185874692e+02
1.066664958279539403e-10	2.270620039602005136e+02	3.306670763850302137e+02
1.101645949633656381e-10	2.327867950886416395e+02	3.393941565135077667e+02
1.137774133221491146e-10	2.386993292074320721e+02	3.484074388952339518e+02
1.175087130904807540e-10	2.448057632976098716e+02	3.577163094563787240e+02
1.213623798344240958e-10	2.511124562567558485e+02	3.673304619320444999e+02
1.253424265461399975e-10	2.576259755207920534e+02	3.772599079607775252e+02
1.294529978227915867e-10	2.643531039029413137e+02	3.875149875101266730e+02
1.336983741824946476e-10	2.713008466569675079e+02	3.981063796441040950e+02
1.380829765218092491e-10	2.784764387720538821e+02	4.090451136437638979e+02
1.426113707194128486e-10	2.858873525069141124e+02	4.203425804924752356e+02
1.472882723907502473e-10	2.935413051709837191e+02	4.320105447378533086e+02
1.521185517986104510e-10	3.014462671607918764e+02	4.440611567426985857e+02
1.571072389247450498e-10	3.096104702598851759e+02	4.565069653377019563e+02
1.622595287078087593e-10	3.180424162109451345e+02	4.693609308890930834e+02
1.675807864530767868e-10	3.267508855690251721e+02	4.826364387948374883e+02
1.730765534195724819e-10	3.357449468451278562e+02	4.963473134234386066e+02
1.787525525904235329e-10	3.450339659496430613e+02	5.105078325098592700e+02
1.846146946324547531e-10	3.546276159454807271e+02	5.251327420235521686e+02
1.906690840512252406e-10	3.645358871210562484e+02	5.402372715240855996e+02
1.969220255479172543e-10	3.747690973936149135e+02	5.558371500203508049e+02
2.033800305846981002e-10	3.853379030537324184e+02	5.719486223498693107e+02
2.100498241653915480e-10	3.962533098621771614e+02	5.885884660952541481e+02
2.169383518385184289e-10	4.075266845106909273e+02	6.057740090554419794e+02
2.240527869300018610e-10	4.191697664586247356e+02	6.235231472898907441e+02
2.314005380130653023e-10	4.311946801577514066e+02	6.418543637545308229e+02
2.389892566231049743e-10	4.436139476779894721e+02	6.607867475488769742e+02
2.468268452255692806e-10	4.564405017471834753e+02	6.803400137943452819e+02
2.549214654451423314e-10	4.696876992185206063e+02	7.005345241644736234e+02
2.632815465648021228e-10	4.833693349796077428e+02	7.213913080884251485e+02
2.719157943036017723e-10	4.974996563176922564e+02	7.429320846498537776e+02
2.808331998823172083e-10	5.120933777559880582e+02	7.651792852039407080e+02
2.900430493863991314e-10	5.271656963765526598e+02	7.881560767361459057e+02
2.995549334359813486e-10	5.427323076456756326e+02	8.118863859870075430e+02
3.093787571730138678e-10	5.588094217582561214e+02	8.363949243681050802e+02
3.195247505759212065e-10	5.754137805181887870e+02	8.617072136951356924e+02
3.300034791125284578e-10	5.925626747723398466e+02	8.878496127649015079e+02
3.408258547423451742e-10	6.102739624162620657e+02	9.148493448038785800e+02
3.520031472796679687e-10	6.285660869904064612e+02	9.427345258169575573e+02
3.635469961293320139e-10	6.474580968861877182e+02	9.715341938658716572e+02
3.754694224073336536e-10	6.669696651819114095e+02	1.001278339307804913e+03
3.877828414589456106e-10	6.871211101292113881e+02	1.031997936025664103e+03
4.005000757873611052e-10	7.079334163113377372e+02	1.063724973682544260e+03
4.136343684063274911e-10	7.294282564953222163e+02	1.096492491033964143e+03
4.271993966306778827e-10	7.516280142007811946e+02	1.130334610332573675e+03
4.412092863191189219e-10	7.745558070088562772e+02	1.165286572861150262e+03
4.556786265841064474e-10	7.982355106355656744e+02	1.201384775630892818e+03
4.706224849841281415e-10	8.226917837946326699e+02	1.238666809283224211e+03
4.860564232142136024e-10	8.479500938756884807e+02	1.277171497234578055e+03
