Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	1.008865755701385252e+07	2.462262993697537482e+07
1.032794731918951654e-10	1.008865650994845666e+07	2.462262863747891784e+07
1.066664958279539403e-10	1.008865542854482867e+07	2.462262729536582530e+07
1.101645949633656381e-10	1.008865431167686172e+07	2.462262590923849121e+07
1.137774133221491146e-10	1.008865315818150714e+07	2.462262447765348479e+07
1.175087130904807540e-10	1.008865196685758419e+07	2.462262299912002683e+07
1.213623798344240958e-10	1.008865073646451160e+07	2.462262147209846973e+07
1.253424265461399975e-10	1.008864946572102606e+07	2.462261989499863982e+07
1.294529978227915867e-10	1.008864815330385044e+07	2.462261826617825031e+07
1.336983741824946476e-10	1.008864679784630425e+07	2.462261658394113183e+07
1.380829765218092491e-10	1.008864539793689176e+07	2.462261484653549641e+07
1.426113707194128486e-10	1.008864395211782679e+07	2.462261305215211213e+07
1.472882723907502473e-10	1.008864245888351090e+07	2.462261119892240316e+07
1.521185517986104510e-10	1.008864091667897627e+07	2.462260928491652384e+07
1.571072389247450498e-10	1.008863932389825769e+07	2.462260730814133212e+07
1.622595287078087593e-10	1.008863767888272367e+07	2.462260526653832942e+07
1.675807864530767868e-10	1.008863597991934605e+07	2.462260315798150748e+07
1.730765534195724819e-10	1.008863422523891740e+07	2.462260098027512804e+07
1.787525525904235329e-10	1.008863241301421635e+07	2.462259873115144670e+07
1.846146946324547531e-10	1.008863054135809280e+07	2.462259640826835856e+07
1.906690840512252406e-10	1.008862860832150839e+07	2.462259400920694694e+07
1.969220255479172543e-10	1.008862661189150624e+07	2.462259153146895394e+07
2.033800305846981002e-10	1.008862454998911731e+07	2.462258897247420996e+07
2.100498241653915480e-10	1.008862242046719417e+07	2.462258632955792546e+07
2.169383518385184289e-10	1.008862022110816836e+07	2.462258359996790439e+07
2.240527869300018610e-10	1.008861794962175377e+07	2.462258078086170927e+07
2.314005380130653023e-10	1.008861560364255123e+07	2.462257786930368096e+07
2.389892566231049743e-10	1.008861318072758801e+07	2.462257486226189509e+07
2.468268452255692806e-10	1.008861067835377902e+07	2.462257175660497323e+07
2.549214654451423314e-10	1.008860809391529299e+07	2.462256854909886420e+07
2.632815465648021228e-10	1.008860542472083867e+07	2.462256523640345410e+07
2.719157943036017723e-10	1.008860266799086705e+07	2.462256181506909057e+07
2.808331998823172083e-10	1.008859982085467689e+07	2.462255828153298050e+07
2.900430493863991314e-10	1.008859688034741767e+07	2.462255463211549819e+07
2.995549334359813486e-10	1.008859384340701066e+07	2.462255086301634833e+07
3.093787571730138678e-10	1.008859070687095821e+07	2.462254697031060606e+07
3.195247505759212065e-10	1.008858746747304685e+07	2.462254294994462281e+07
3.300034791125284578e-10	1.008858412183994800e+07	2.462253879773181304e+07
3.408258547423451742e-10	1.008858066648770869e+07	2.462253450934829563e+07
3.520031472796679687e-10	1.008857709781812131e+07	2.462253008032839000e+07
3.635469961293320139e-10	1.008857341211497039e+07	2.462252550605996698e+07
3.754694224073336536e-10	1.008856960554017127e+07	2.462252078177963570e+07
3.877828414589456106e-10	1.008856567412977293e+07	2.462251590256779641e+07
4.005000757873611052e-10	1.008856161378982477e+07	2.462251086334351823e+07
4.136343684063274911e-10	1.008855742029211670e+07	2.462250565885922685e+07
4.271993966306778827e-10	1.008855308926977403e+07	2.462250028369526565e+07
4.412092863191189219e-10	1.008854861621271633e+07	2.462249473225424439e+07
4.556786265841064474e-10	1.008854399646295235e+07	2.462248899875520542e+07
4.706224849841281415e-10	1.008853922520973161e+07	2.462248307722760364e+07
4.860564232142136024e-10	1.008853429748453945e+07	2.462247696150508896e+07
5.019965133110081441e-10	1.008852920815592259e+07	2.462247064521909505e+07
5.184593543892912175e-10	1.008852395192413777e+07	2.462246412179219350e+07
5.354620899273606527e-10	1.008851852331564017e+07	2.462245738443125784e+07
5.530224256192902378e-10	1.008851291667738371e+07	2.462245042612037435e+07
5.711586478126431938e-10	1.008850712617092580e+07	2.462244323961355165e+07
5.898896425508497150e-10	1.008850114576636441e+07	2.462243581742716953e+07
6.092349152400710261e-10	1.008849496923603676e+07	2.462242815183216333e+07
6.292146109610343618e-10	1.008848859014805220e+07	2.462242023484603688e+07
6.498495354469890483e-10	1.008848200185958855e+07	2.462241205822446570e+07
6.711611767496282870e-10	1.008847519750997238e+07	2.462240361345278099e+07
6.931717276155404727e-10	1.008846817001353018e+07	2.462239489173707366e+07
7.159041085964887260e-10	1.008846091205223091e+07	2.462238588399503753e+07
7.393819919175865964e-10	1.008845341606803238e+07	2.462237658084652200e+07
7.636298261282244400e-10	1.008844567425504327e+07	2.462236697260373831e+07
7.886728615614152294e-10	1.008843767855137400e+07	2.462235704926120862e+07
8.145371766280743462e-10	1.008842942063074559e+07	2.462234680048532411e+07
8.412497049736117954e-10	1.008842089189382270e+07	2.462233621560357884e+07
8.688382635251186617e-10	1.008841208345925994e+07	2.462232528359347582e+07
8.973315814583522479e-10	1.008840298615444824e+07	2.462231399307103455e+07
9.267593301146878953e-10	1.008839359050596319e+07	2.462230233227893338e+07
9.571521538991863169e-10	1.008838388672970235e+07	2.462229028907427937e+07
9.885417021919573871e-10	1.008837386472070403e+07	2.462227785091596097e+07
1.020960662306046580e-09	1.008836374384593219e+07	2.462226501855537668e+07
1.054442793526168950e-09	1.008835342080323584e+07	2.462225177309792489e+07
