# Frequency (Hz)	Real Part (Ohm/m)
1000.0	867508.6244664742
1018.6101701559753	878631.5947046523
1037.566678745186	889961.5653116035
1056.875971184804	901502.3885994116
1076.5446128423157	913257.9885723464
1096.5792912678098	925232.3622610626
1116.9868184678226	937429.581081637
1137.7741332214914	949853.7922198926
1158.9483034398106	962509.2200414842
1180.5165285688054	975400.1675282328
1202.4861420374123	988531.0177411812
1224.8646137509306	1001906.235310885
1247.6595526308697	1015530.367955435
1270.8787092020582	1028779.5597256356
1294.529978227916	1041671.9540555301
1318.6214013947485	1054804.2780376216
1343.1611700460153	1068180.9968035629
1368.1576279674719	1081806.6585818678
1393.619274224142	1095685.896244354
1419.5547660501015	1109823.4288813754
1445.9729217920194	1124224.0634063564
1472.882723907502	1138892.6961902014
1500.2933220192183	1153834.3147261096
1528.2140360258693	1169053.9993253767
1556.654359271062	1184556.9248447567
1585.6239617711371	1200310.8165830893
1615.132693503091	1214880.0249703615
1645.1905877536624	1229720.3688047577
1675.807864530767	1244836.893963085
1706.9949340384078	1260234.7402267773
1738.7624002162504	1275919.1430294714
1771.1210643450886	1291895.435237119
1804.0819287193826	1308169.048961212
1837.6562003881704	1324745.5174057628
1871.8552949655793	1341630.476748653
1906.690840512252	1358829.66805799
1942.1746814890264	1376348.93924414
1978.3188827841643	1394194.2470480718
2015.1357338155585	1411378.7742931978
2052.6377527092523	1428020.854101537
2090.8376905557498	1444972.6458468584
2129.748535745521	1462239.91332101
2169.3835183851843	1479828.5275809835
2209.756114795903	1497744.4689451435
2250.880052095462	1515993.8290265943
2292.7693128656488	1534582.8128043986
2335.438139906479	1553517.7407333353
2378.9010410788933	1572805.0508929198
2423.1727942376006	1592451.3011764262
2468.2684522556924	1612463.1715206348
2514.2033481427966	1632735.5552528242
2560.9931002584594	1651239.1837787859
2608.6536176225477	1670087.1679801173
2657.2011053245064	1689285.916374534
2706.652070033241	1708841.9567433514
2757.0233256095826	1728761.9383510097
2808.3319988231724	1749052.6342058915
2860.5955351757416	1769720.9433632146
2913.831704832789	1790773.8932707934
2968.0586086656026	1812218.6421584357
3023.2946844057765	1834062.4814718296
3079.5587129142264	1856312.8383517063
3136.8698245668766	1878977.2781591478
3195.2475057592133	1900534.2818207087
3254.711605531848	1921292.0533034918
3315.282342319423	1942436.1304456282
3376.9803108250912	1963973.702461172
3439.8264890229243	1985912.0923566704
3503.8422452906757	2008258.7594210738
3569.0493456752292	2031021.3017619632
3635.4699612933177	2054207.458888999
3703.126675869927	2077825.1143454334
3772.0424934169973	2101882.298388596
3842.240846055061	2126387.190720277
3913.745601980384	2151348.123267903
3986.581073580439	2176530.1251104907
4060.7720257003657	2199150.2705287067
4136.343684063274	2222191.380702107
4213.321743847289	2245661.2898564185
4291.732378422157	2269567.9780136356
4371.602248248501	2293919.573705324
4452.958509942655	2318724.3567364058
4535.828825510186	2343990.761000377
4620.241371751313	2369727.3773469315
4706.224849841281	2395942.956502933
4793.808495089106	2422646.412047765
4883.02208687788	2449846.823444041
4973.895958790063	2477553.4391247123
5066.461008921268	2503498.2954893964
5160.7487103859075	2528312.168999312
5256.791122018419	2553587.832917476
5354.620899273607	2579333.881241964
5454.271305329836	2605559.0679066144
5555.7762223988775	2632272.309757465
5659.170163246242	2659482.689584577
5764.488282925873	2687199.459210281
5871.766390733255	2715432.0426348946
5981.040962380945	2744190.0392409833
6092.349152400711	2773483.2270572544
6205.7288067765	2803321.566083197
6321.218475812449	2833261.312159658
6438.8574272404185	2859635.355424144
6558.685659571435	2886500.2241214835
6680.743915695614	2913865.052596497
6805.073696735206	2941739.1451857192
6931.717276155407	2970131.979380972
7060.717714137772	2999053.209051807
7192.118872221193	3028512.6677279384
7325.96542821523	3058520.3719427334
7462.302891391108	3089086.5246389564
7601.17761795533	3120221.518637871
7742.636826811269	3151935.9401729093
7886.728615614156	3184240.572489115
8033.501977124735	3213899.8247959684
8183.00681586739	3242038.067719638
8335.293965098195	3270699.9681320083
8490.415204088747	3299895.271388045
