# Frequency (Hz)	Real Part (Ohm/m)
1000.0	8594039.16504854
1018.6101701559753	8631285.754966345
1037.566678745186	8669225.51026025
1056.875971184804	8707871.330855852
1076.5446128423157	8747236.356748555
1096.5792912678098	8787333.972471314
1116.9868184678226	8828177.811645523
1137.7741332214914	8869781.76161659
1158.9483034398106	8912159.968175776
1180.5165285688054	8955326.840369936
1202.4861420374123	8999297.05540073
1224.8646137509306	9044085.563615039
1247.6595526308697	9089707.593588252
1270.8787092020582	9128837.317585887
1294.529978227916	9161647.351528917
1318.6214013947485	9195067.985786447
1343.1611700460153	9229110.583734231
1368.1576279674719	9263786.720222374
1393.619274224142	9299108.185510915
1419.5547660501015	9335086.989278635
1445.9729217920194	9371735.364706479
1472.882723907502	9409065.772636976
1500.2933220192183	9447090.90581105
1528.2140360258693	9485823.6931837
1556.654359271062	9525277.304319968
1585.6239617711371	9565114.410682414
1615.132693503091	9591887.072479611
1645.1905877536624	9619157.97806838
1675.807864530767	9646936.399850463
1706.9949340384078	9675231.782788578
1738.7624002162504	9704053.747617798
1771.1210643450886	9733412.094116721
1804.0819287193826	9763316.804439485
1837.6562003881704	9793778.046509821
1871.8552949655793	9824806.17747825
1906.690840512252	9856411.74724362
1942.1746814890264	9888605.502040206
1978.3188827841643	9921398.38809151
2015.1357338155585	9947587.85342972
2052.6377527092523	9968000.088682108
2090.8376905557498	9988792.199105807
2129.748535745521	10009971.254242392
2169.3835183851843	10031544.455198811
2209.756114795903	10053519.137095839
2250.880052095462	10075902.771562094
2292.7693128656488	10098702.969274474
2335.438139906479	10121927.482545873
2378.9010410788933	10145584.207961041
2423.1727942376006	10169681.18906152
2468.2684522556924	10194226.619080523
2514.2033481427966	10218616.751963168
2560.9931002584594	10231723.187317485
2608.6536176225477	10245073.535663879
2657.2011053245064	10258672.336264646
2706.652070033241	10272524.212858506
2757.0233256095826	10286633.87523276
2808.3319988231724	10301006.12082464
2860.5955351757416	10315645.83635251
2913.831704832789	10330557.99947739
2968.0586086656026	10345747.680495417
3023.2946844057765	10361220.044061802
3079.5587129142264	10376980.350946875
3136.8698245668766	10393033.959824787
3195.2475057592133	10403337.140390472
3254.711605531848	10409083.570906036
3315.282342319423	10414936.943471283
3376.9803108250912	10420899.248295955
3439.8264890229243	10426972.512627937
3503.8422452906757	10433158.801442537
3569.0493456752292	10439460.218144614
3635.4699612933177	10445878.905283738
3703.126675869927	10452417.045282701
3772.0424934169973	10459076.861179546
3842.240846055061	10465860.617383441
3913.745601980384	10472770.620444587
3986.581073580439	10479148.856882533
4060.7720257003657	10477425.775043676
4136.343684063274	10475670.626358606
4213.321743847289	10473882.814057857
4291.732378422157	10472061.730265984
4371.602248248501	10470206.755794875
4452.958509942655	10468317.259933226
4535.828825510186	10466392.600232081
4620.241371751313	10464432.122286407
4706.224849841281	10462435.159512576
4793.808495089106	10460401.03292173
4883.02208687788	10458329.050888905
4973.895958790063	10456218.508917894
5066.461008921268	10450157.76216953
5160.7487103859075	10441212.826417882
5256.791122018419	10432101.423889862
5354.620899273607	10422820.456610436
5454.271305329836	10413366.768950727
5555.7762223988775	10403737.14655507
5659.170163246242	10393928.31524809
5764.488282925873	10383936.939921461
5871.766390733255	10373759.623399906
5981.040962380945	10363392.905286156
6092.349152400711	10352833.260784348
6205.7288067765	10342077.099501578
6321.218475812449	10330693.656726087
6438.8574272404185	10315218.752883585
6558.685659571435	10299455.858447425
6680.743915695614	10283399.613863658
6805.073696735206	10267044.559836123
6931.717276155407	10250385.135470225
7060.717714137772	10233415.676382175
7192.118872221193	10216130.412773043
7325.96542821523	10198523.467466954
7462.302891391108	10180588.853912793
7601.17761795533	10162320.474148704
7742.636826811269	10143712.116728734
7886.728615614156	10124757.454610854
8033.501977124735	10104311.405496925
8183.00681586739	10082757.819549065
8335.293965098195	10060803.117699241
8490.415204088747	10038439.835112272
8648.423275731726	10015660.368031109
8809.37190447399	9992456.971191505
8973.31581458352	9968821.75518852
9140.310748756232	9944746.683794044
9310.413487069076	9920223.571224403
9483.681866285926	9895244.079357084
9660.174799522645	9869799.714895705
9839.952296278227	9843881.82648219
10023.075482838643	9817547.342618205
10209.606623060476	9791187.222835256
10399.609139541202	9764336.53673782
10593.1476351837	9736986.154803304
10790.287915161836	9709126.777607158
10991.097009294961	9680748.93266095
11195.643194838794	9651842.97119163
11403.99601970033	9622399.064860847
11616.22632608502	9592407.202423193
11832.40627458378	9561857.18632228
12052.609368708414	9530738.629223458
12276.910479883603	9499040.950482018
12505.385872903913	9466753.372545654
12738.113231864783	9435632.039903494
12975.171686575868	9404945.67107095
13216.641839466038	9373688.223692965
13462.60579298911	9341849.06990063
13713.147177539455	9309417.384038601
13968.351179887397	9276382.138984235
14228.30457214352	9242732.102398261
14493.09574126215	9208455.83290567
14762.81471909391	9173541.676205505
15037.553212997384	9137977.7611083
15317.404637020798	9101751.995499725
15602.46414366368	9064852.062229143
15892.828656229764	9027980.73302143
16188.596901781993	8994514.273208825
16489.86944471065	8960424.99688459
16796.74872092653	8925701.313327469
17109.339072690134	8890331.416110905
17427.746784089173	8854303.279088745
17752.08011717636	8817604.652306192
18082.44934877952	8780223.057834731
18418.96680799711	8742145.785529455
18761.746914391195	8703359.888707502
19110.90621689136	8663852.17974604
19466.56343342263	8623609.225598328
19828.83949127071	8582617.343226353
20197.857568198782	8545186.796654707
20573.743134329114	8509282.948507968
20956.623994804308	8472710.923637966
21346.630333242454	8435458.28716218
21743.8947560008	8397512.372782823
22148.55233726359	8358860.278480144
22560.74066496859	8319488.862125607
22980.599887588487	8279384.737013429
23408.272761782944	8238534.267308954
23843.904700937208	8196923.563412331
24287.643824604504	8154538.477235883
24739.64100886812	8111364.597393614
25200.049937640895	8068771.603868707
25669.027154919517	8031972.720712556
26146.732118010917	7994489.004079324
26633.327251749808	7956307.709101468
27128.978003724646	7917415.853727299
27633.852900531667	7877800.214306935
28148.123605075813	7837447.321096116
28671.964974937695	7796343.453676362
29205.55512182745	7754474.636289858
29749.075472144435	7711826.633087557
30302.71082866393	7668384.943288858
30866.649433372742	7624134.796251132
31441.08303147265	7579061.146447612
32026.206936576502	7539364.35111649
32622.220097116733	7501780.255394482
33229.325163989684	7463496.713255937
33847.72855945983	7424500.707884011
34477.640547344636	7384778.980216715
35119.275304507275	7344318.024438641
35772.850993678774	7303104.083388859
36438.58983763541	7261123.143883352
37116.71819475767	7218360.931950331
37807.466635993485	7174802.907976994
38511.070023255685	7130434.261765855
39227.76758927723	7085239.907499133
39957.803018952654	7041159.001812957
40701.42453219439	7004148.318523603
41458.88496832911	6966448.860120649
42230.441872066716	6928047.808382028
43016.35758106799	6888932.106536378
43816.89931514194	6849088.454823615
44632.33926710397	6808503.305972842
45462.95469532399	6767162.86059615
46309.02801799736	6725053.062496675
47170.84690917023	6682159.593889328
48048.704396551344	6638467.870532625
48942.89896114532	6593963.036769846
49853.73463873894	6548629.960477977
50781.5211232767	6509793.513707219
51726.57387216024	6473223.599749716
52689.21421350677	6435973.113470878
53669.76945540476	6398029.389304
54668.57299720181	6359379.525974023
55685.96444286408	6320010.382110973
56722.28971644549	6279908.571781728
57777.90117970507	6239060.4599387
58853.1577519145	6197452.157783723
59948.42503189408	6155069.518045741
61064.07542232036	6111898.130170575
62200.48825634718	6067923.315421177
63358.04992658254	6025488.059498456
64537.15401646702	5990460.148802797
65738.20143409586	5954780.3627288835
66961.60054853215	5918436.569765006
68207.76732865692	5881416.412629952
69477.1254846024	5843707.304071418
70770.10661181889	5805296.42258618
72087.15033782135	5766170.70806066
73428.70447166759	5726316.8573303465
74795.22515621828	5685721.319656568
76187.17702322999	5644370.292119109
77605.0333513357	5602249.714923056
79049.2762269642	5559345.266618314
80520.39670825469	5523412.192545993
82018.8949920221	5489601.528135447
83545.28058382872	5455161.641507137
85100.07247122246	5420080.822728522
86683.79930019773	5384347.143943227
88296.99955494082	5347948.455315438
89940.22174092053	5310872.380898828
91614.0245713852	5273106.314428613
93318.9771573324	5234637.415035264
95055.65920101192	5195452.602878492
96824.66119303115	5155538.554699955
98626.5846131283	5114881.699293195
100462.04213468132	5076047.323256823
102331.65783302448	5044299.283929444
104236.06739764012	5011960.408188064
106175.9183482999	4979019.700466484
108151.87025522892	4945465.960569142
110164.59496336569	4911287.779862947
112214.77682079801	4876473.537398187
114303.11291144785	4841011.395957307
116430.31329208757	4804889.298030117
118597.10123376705	4768094.961714106
120804.21346773289	4730615.8765384825
123052.40043592616	4692439.299210451
125342.42654613995	4653552.249282371
127675.07043192645	4621607.343323155
130051.12521734099	4591477.754012421
132471.39878661174	4560787.447917888
134936.71405883064	4529525.990004797
137447.90926775365	4497682.751040618
140005.8382468096	4465246.903980999
142611.37071941295	4432207.4202884445
145265.39259467812	4398553.066182509
147968.80626863963	4364272.398820172
150722.53093107554	4329353.762405163
153527.5028780421	4293785.284224855
156384.67583022476	4257554.8706134185
159295.0212572123	4223288.684904419
162259.5287078087	4195405.267392543
165279.2061464897	4167002.934736236
168355.08029612005	4138072.0298363757
171488.19698705408	4108602.7158735557
174679.62151272455	4078584.9729635115
177930.43899185772	4048008.594750213
181241.75473742394	4016863.184935608
184614.69463245454	3985138.1537447833
188050.40551285836	3952822.714325285
191550.0555573528	3919905.8790795295
195114.83468466165	3886376.455928854
198745.9549580986	3852223.044508109
202444.65099768018	3824640.4684634157
206212.18039991445	3798507.1635024315
210049.8241653915	3771887.513289388
213958.88713434213	3744772.4668563874
217940.6984302958	3717152.804795478
221996.61191199525	3689019.1361239715
226128.00663372793	3660361.8950913697
230336.2873142131	3631171.337926954
234622.88481422624	3601437.5395267606
238989.25662310526	3571150.390078952
243436.8873543108	3540299.591626388
247967.289250216	3508874.6545651667
252582.00269627848	3479437.801438554
257282.59674479323	3455512.2124737296
262070.66964838552	3431141.3642271846
266947.8494034318	3406316.9703479316
271915.7943036019	3381030.5902745617
276976.1935036891	3355273.6263654
282130.76759394706	3329037.3209751877
287381.2691851069	3302312.7534773964
292729.4835042813	3275090.8372311327
298177.22900196735	3247362.3164915475
303726.3579703311	3219117.763262829
309378.75717301364	3190347.5740925437
315136.34848664823	3161041.966806377
321001.08955431683	3137735.8834383017
326974.97445117676	3115520.408619952
333060.03436245886	3092891.5000351393
339258.33827409917	3069841.4636111194
345571.9936762143	3046362.462087144
352003.1472796675	3022446.512349721
358553.9857459817	2998085.482718237
365226.7364308175	2973271.0901801395
372023.6681413066	2947994.8975745905
378947.09190746717	2922248.310723754
385999.36176797637	2896022.575510694
393182.87557057705	2869308.774902847
400500.07578736113	2844519.4523416045
407953.45034524484	2824344.9391285162
415545.53347188793	2803794.9747917163
423278.90655735444	2782862.5721219145
431156.19903182285	2761540.613876649
439180.0892596086	2739821.850360383
447353.3054498463	2717698.896959502
455678.6265841068	2695164.2316314755
464158.8833612772	2672210.1923472914
472796.9591600391	2648828.974486256
481595.79101923504	2625012.6281823763
490558.37063650455	2600753.0556212873
499687.7453854889	2576042.0082869222
508987.0193519675	2556666.84430416
518459.3543892913	2538066.0609837626
528107.971193433	2519119.11392074
537936.1503980698	2499819.5609489377
547947.2336900292	2480160.840012394
558144.6249454955	2460136.2669341764
568531.7913873753	2439739.0331436684
579112.2647641759	2418962.20336161
589889.6425508494	2397798.7132420056
600867.5891719692	2376241.366970179
612049.837247669	2354282.8348161275
623440.1888627863	2331915.6506423084
635042.5168595961	2311351.123333918
646860.7661546321	2294562.911831453
658898.9550799957	2277462.268856311
671161.1767496272	2260043.3800056293
683651.6004510238	2242300.322669504
696374.4730628222	2224227.0640172684
709334.1204987989	2205817.458946242
722534.9491787221	2187065.247992337
735981.4475265755	2167964.055201784
749678.1874966878	2148507.3859632113
763629.8261282243	2128688.624799443
777841.1071286482	2108501.0331181367
792316.8624866261	2087937.7469205991
807062.0141149492	2072028.0190336984
822081.575524054	2056632.516202071
837380.6535266489	2040950.5004431116
852964.4499741016	2024976.6397024894
868838.2635251193	2008705.5026954347
885007.4914473438	1992131.5570600494
901477.6314524917	1975249.1674762336
918254.2835656281	1958052.5937496235
935343.1520292377	1940535.9888598612
952750.0472427299	1922693.396972544
970480.8877380306	1904518.751414182
988541.7021919573	1886005.872609454
1006938.6314760271	1869139.9676350274
1025677.9307444209	1855310.1093695299
1044765.9715608053	1841222.8750884766
1064209.2440647245	1826873.4749804274
1084014.359178331	1812257.0300947314
1104188.0508541602	1797368.5706826372
1124737.1783647507	1782203.0345075235
1145668.7286348727	1766755.2651236826
1166989.8186171474	1751020.01012308
1188707.6977119034	1734991.9193494683
1210829.7502320393	1718665.5430792847
1233363.4979137746	1702035.330168682
1256316.6024741214	1685095.6261660813
1279696.8682159416	1672154.4491276068
1303512.2446815087	1659524.3097149367
1327770.829355429	1646659.1212587033
1352480.8704178738	1633554.5094562105
1377650.769549055	1620206.0185982443
1403289.084785873	1606609.110054087
1429404.533431761	1592759.1607283277
1456005.9950206485	1578651.4614889645
1483102.514336103	1564281.215566247
1510703.3044866556	1549643.5369217235
1538817.7500383465	1534733.4485869384
1567455.410205595	1519545.8809712024
1596626.022101425	1505834.262117139
1626339.5040481905	1494529.7949032006
1656605.9589499151	1483014.9496308868
1687435.6777273756	1471285.811128737
1718839.1428171454	1459338.391363279
1750827.0317357269	1447168.6280830596
1783410.220710006	1434772.3834374403
1816599.7883753285	1422145.442569668
1850407.019542302	1409283.5121837982
1884843.4090337954	1396182.2190849134
1919920.6655932867	1382837.1086921934
1955650.715865947	1369243.6435243178
1992045.7084538713	1355397.2016566554
2029118.0180466783	1344947.2709276786
2066880.2496290822	1334656.508306496
2105345.242766708	1324174.2328418975
2144526.0759716653	1313496.8804472832
2184436.0711494284	1302620.8207077875
2225088.7981283693	1291542.3556459146
2266498.079273693	1280257.718464173
2308677.994187172	1268763.0722643293
2351642.884494346	1257054.5087428265
2395407.358720879	1245128.046861904
2439986.29725955	1232979.6314960201
2485394.857429798	1220605.1320530516
2531648.478631358	1209533.3174883123
2578762.8875937983	1200348.6956920829
2626754.1037238385	1190993.1465214049
2675638.4445520453	1181463.4889887592
2725432.531281028	1171756.482907903
2776153.2944368036	1161868.8277921756
2827817.979625338	1151797.1617323032
2880444.1533962977	1141538.0602533002
2934049.709215787	1131088.0351501268
2988652.873550383	1120443.533301649
3044272.2120643063	1109600.935462544
3100926.6359319235	1098556.5550327231
3158635.408267819	1087306.6368038335
3217418.1506763715	1078916.146289433
3277294.849923382	1070575.9857046457
3338285.8647317644	1062080.6133122467
3400411.9327037027	1053427.1405940887
3463694.1773717343	1044612.6252762037
3528154.1153808828	1035634.0703284115
3593813.6638046256	1026488.422945286
3660695.147596906	1017172.573508173
3728821.30718283	1007683.35452789
3798215.306190736	998017.5395677343
3868900.7393279755	988171.8421464752
3940901.6404034477	978142.9146209023
4014242.490499326	969249.8130228637
4088948.226294856	961822.5302233557
4165044.248545185	954257.0244271507
4242556.430717777	946550.723280763
4321511.127789762	938701.0065587681
4401935.1852088785	930705.2052728997
4483855.948021181	922560.6007645697
4567301.270168747	914264.4237804846
4652299.523960189	905813.8535310827
4738879.609717651	897206.0167314243
4827070.965603188	888437.9866242486
4916903.577628021	879506.7819848473
5008407.989848212	870409.366107407
5101615.314749833	863702.2890347409
5196557.243827657	856971.0409555107
5293266.058360566	850114.5232041631
5391774.640387494	843130.4044907871
5492116.483887789	836016.3101397641
5594325.706169377	828769.8212823636
5698437.0594691355	821388.4740342936
5804485.942768984	813869.7586579557
5912508.413831869	806211.1187091116
6022541.201461928	798409.9501676544
6134621.717992506	790463.6005522261
6248788.072006888	782369.3680183358
6365079.081295578	775255.7343830407
6483534.286054714	769271.6073220114
6604193.962330305	763176.1146381401
6727099.135712336	756967.1837982383
6852291.595284057	750642.703698919
6979813.907830667	744200.5239488026
7109709.432312423	737638.4541373627
7242022.334607315	730954.263090155
7376797.60252773	724145.6781102045
7514081.061116962	717210.3842052557
7653919.388230155	710146.0233006532
7796360.130405221	702950.1934375745
7941451.71902934	695620.4479563289
8089243.486805938	690277.709644188
8239785.684528512	684862.6693556414
8393129.498166373	679346.8542459229
8549327.066268368	673728.3888784648
8708431.497690724	668005.3629145017
8870496.889654402	662175.8304635427
9035578.34613892	656237.8094217416
9203731.99661823	650189.2807979622
9375015.01514529	644028.1880273016
9549485.639791967	637752.4362718322
9727203.192450536	631359.891708337
9908228.099003786	624848.3808027854
10092621.909870483	619176.6208267356
10280447.320933098	614369.1400166885
10471768.194855202	609472.191170745
10666649.582795387	604484.1092735332
10865157.746525371	599403.1983234625
11067360.180959744	594227.7307560629
11273325.63710487	588955.9468565979
11483124.14543511	583586.0541617384
11696827.039703846	578116.2268501081
11914506.981197748	572544.6051214846
12136237.983442418	566869.2945644462
12362095.437367693	561088.3655122538
12592156.13694151	555221.3063303182
12826498.3052806	550955.6327692326
13065201.621247198	546610.5742973452
13308347.24654076	542184.6535479578
13556017.853293689	537676.3656603281
13808297.652180923	533084.1777679974
14065272.421052363	528406.5284776022
14327029.534098294	523641.8273379827
14593657.991557576	518788.454299412
14865248.449978571	513844.75916276366
15141893.25304352	508809.061018423
15423686.462966273	503679.6476747621
15710723.892474487	498454.7750759753
16003103.137387017	493944.2225037016
16300923.609797413	490090.79267243907
16604286.571875297	486165.64985633263
16913295.17029647	482167.4594645319
17228054.471313924	478094.8620692239
17548671.49648152	473946.4729434119
17875255.259042352	469720.8815900959
18207916.800994623	465416.65126268496
18546769.230846975	461032.31847649044
18891927.762076646	456566.3925111243
19243509.75230332	452017.35490363836
19601634.743191857	447383.6589322316
19966424.501097932	442715.42665834463
20338003.0584698	439299.5246113899
20716496.75602067	435820.05204610527
21102034.285685964	432275.8259043272
21494746.734379806	428665.64111097984
21894767.628566206	424988.27016433375
22302232.979659364	421242.4627186439
22717281.330269028	417426.94515901833
23140053.80130654	413540.42016837455
23570694.139967278	409581.5662863398
24009348.76860652	405549.0374599378
24456166.83452444	401441.4625859176
24911300.26067791	397257.445044563
25374903.797335718	393677.6469436399
25847135.07469564	390594.46557881567
26328154.656480197	387453.9056841704
26818126.094530128	384254.8994355006
27317215.98441379	380996.35913621273
27825594.022071257	377677.17684749543
28343433.061513092	374296.22401160636
28870909.173592344	370852.3510681521
29408201.705870606	367344.3870632245
29955493.34359816	363771.13925126387
30512970.171828706	360131.39268951357
31080821.738690637	356423.9098249244
31659241.119835205	352716.4805375984
32248424.98408439	349985.41860912024
32848573.66030047	347203.5311534462
33459891.20549975	344369.8722988676
34082585.47423452	341483.4785708413
34716868.189265594	338543.36856439937
35362955.013550386	335548.54261046025
36021065.62357073	332497.98243593035
36691423.78402494	329390.6508174818
37374257.42391064	326225.49122888286
38069798.71402284	323001.42748176935
38778284.14589453	319717.3633597283
39499954.61220647	316372.18224557256
40235055.48869293	313535.67062893294
40983836.717572615	311072.26599668356
41746552.89253134	308563.016985065
42523463.34528677	306007.0704223765
43314832.23376403	303403.5572592465
44120928.631911896	300751.59227314754
44942026.62119142	298050.2737674097
45778405.38376616	295298.6832646346
46630349.29742726	292495.88519440324
47498148.03228505	289640.92657517164
48382096.649259575	286732.8366902483
49282495.700405136	283770.6267577376
50199651.33110079	280830.62186924956
51133875.38414321	278649.8477004521
52085485.50577665	276428.48895330133
53054805.25369574	274165.7903418889
54042164.20705915	271860.98252430634
55047898.078549676	269513.28184106183
56072348.82852027	267121.8900486268
57115864.78126434	264685.9940480247
58178800.74344935	262204.7656083694
59261518.124755524	259677.36108525624
60364385.060758635	257102.92113391496
61487776.53810017	254480.57041702291
62632074.521986924	251809.41730708053
63797668.08606282	249564.76630671264
64984953.54469889	247598.75667077734
66194334.587743886	245596.159260989
67426222.41778335	243556.2931726506
68681035.88995308	241478.46482931252
69959201.65435374	239361.96774695034
71261154.30111745	237206.08229375072
72587336.50817245	235010.07544543027
73938199.19175874	232773.20053599862
75314201.65974376	230494.69700388508
76715811.76779301	228173.79013333796
78143506.07844542	225809.6907910137
79597770.02314977	223481.01950408742
81079098.06731695	221741.39156405572
82587993.87844272	219969.3888520522
84124970.49736118	218164.40886806138
85690550.51268347	216325.8378994404
87285266.2384837	214453.05081224954
88909659.89529167	212545.41083869993
90564283.79445294	210602.26936064643
92249700.52592173	208622.96568904922
93966483.1495469	206606.82683933323
95715215.38991857	204553.16730256594
97496491.83484097	202461.28881237676
99310918.137498	200330.48010753977
101159111.22238298	198556.03867734908
103041699.49505854	196988.38775196584
104959323.05582266	195391.56257611568
106912633.91734771	193765.0202120336
