# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	63227816.840524524
1018.6101701559753	63027741.16516078
1037.566678745186	62823942.04743447
1056.875971184804	62616350.19344963
1076.5446128423157	62404895.01973912
1096.5792912678098	62189504.62926551
1116.9868184678226	61970105.786975235
1137.7741332214914	61746623.894897886
1158.9483034398106	61518982.96678221
1180.5165285688054	61287105.60225985
1202.4861420374123	61050912.96052841
1224.8646137509306	60810324.733544745
1247.6595526308697	60565259.11871939
1270.8787092020582	60336128.6552637
1294.529978227916	60122410.66403441
1318.6214013947485	59904715.34462296
1343.1611700460153	59682968.678275116
1368.1576279674719	59457095.268734984
1393.619274224142	59227018.316609636
1419.5547660501015	58992659.59325624
1445.9729217920194	58753939.41418372
1472.882723907502	58510776.61195899
1500.2933220192183	58263088.50860925
1528.2140360258693	58010790.88751055
1556.654359271062	57753797.96475327
1585.6239617711371	57493144.19132713
1615.132693503091	57271796.70532533
1645.1905877536624	57046329.90494543
1675.807864530767	56816667.12904597
1706.9949340384078	56582730.289808474
1738.7624002162504	56344439.84618707
1771.1210643450886	56101714.7768633
1804.0819287193826	55854472.5526983
1837.6562003881704	55602629.10867185
1871.8552949655793	55346098.8152994
1906.690840512252	55084794.44951712
1942.1746814890264	54818627.16502514
1978.3188827841643	54547506.46207881
2015.1357338155585	54298205.74071397
2052.6377527092523	54067596.46401994
2090.8376905557498	53832695.5094471
2129.748535745521	53593423.00813983
2169.3835183851843	53349697.60486962
2209.756114795903	53101436.43037321
2250.880052095462	52848555.07317627
2292.7693128656488	52590967.55089264
2335.438139906479	52328586.28098926
2378.9010410788933	52061322.05100724
2423.1727942376006	51789083.98822864
2468.2684522556924	51511779.5287788
2514.2033481427966	51232026.98224533
2560.9931002584594	50999085.51356597
2608.6536176225477	50761808.9645181
2657.2011053245064	50520116.65851844
2706.652070033241	50273926.41757874
2757.0233256095826	50023154.53436441
2808.3319988231724	49767715.74373312
2860.5955351757416	49507523.19374374
2913.831704832789	49242488.41612573
2968.0586086656026	48972521.29619902
3023.2946844057765	48697530.04223396
3079.5587129142264	48417421.15424118
3136.8698245668766	48132099.392180674
3195.2475057592133	47874347.45642805
3254.711605531848	47637608.640307575
3315.282342319423	47396464.07453657
3376.9803108250912	47150831.76736437
3439.8264890229243	46900628.2011599
3503.8422452906757	46645768.30401472
3569.0493456752292	46386165.420817755
3635.4699612933177	46121731.283791505
3703.126675869927	45852375.98248012
3772.0424934169973	45578007.933178954
3842.240846055061	45298533.847794905
3913.745601980384	45013858.70212769
3986.581073580439	44728489.54263731
4060.7720257003657	44495116.95031693
4136.343684063274	44257401.25434373
4213.321743847289	44015261.62881971
4291.732378422157	43768615.7436632
4371.602248248501	43517379.73661566
4452.958509942655	43261468.18472764
4535.828825510186	43000794.07531411
4620.241371751313	42735268.77636913
4706.224849841281	42464802.0064301
4793.808495089106	42189301.80388095
4883.02208687788	41908674.49568433
4973.895958790063	41622824.665531784
5066.461008921268	41369269.09470425
5160.7487103859075	41137649.17367129
5256.791122018419	40901718.76649641
5354.620899273607	40661397.654299036
5454.271305329836	40416604.125311576
5555.7762223988775	40167254.94709659
5659.170163246242	39913265.338246785
5764.488282925873	39654548.93955842
5871.766390733255	39391017.78466831
5981.040962380945	39122582.27014431
6092.349152400711	38849151.125019126
6205.7288067765	38570631.3797572
6321.218475812449	38293442.30365395
6438.8574272404185	38070264.05884088
6558.685659571435	37842932.42891671
6680.743915695614	37611370.11867783
6805.073696735206	37375498.394443706
6931.717276155407	37135237.05728658
7060.717714137772	36890504.41576307
7192.118872221193	36641217.25813808
7325.96542821523	36387290.824092
7462.302891391108	36128638.77590122
7601.17761795533	35865173.16908241
7742.636826811269	35596804.42249046
7886.728615614156	35323441.28785988
8033.501977124735	35085351.89655384
