# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	28865830.189854052
1018.6101701559753	28865108.707181457
1037.566678745186	28864373.797593564
1056.875971184804	28863625.21121319
1076.5446128423157	28862862.693512898
1096.5792912678098	28862085.985228457
1116.9868184678226	28861294.82227068
1137.7741332214914	28860488.93563564
1158.9483034398106	28859668.051313195
1180.5165285688054	28858831.89019383
1202.4861420374123	28857980.16797376
1224.8646137509306	28857112.595058244
1247.6595526308697	28856228.87646315
1270.8787092020582	28855330.833858855
1294.529978227916	28854418.115849413
1318.6214013947485	28853488.41200251
1343.1611700460153	28852541.406208828
1368.1576279674719	28851576.77647618
1393.619274224142	28850594.194820073
1419.5547660501015	28849593.327152155
1445.9729217920194	28848573.83316663
1472.882723907502	28847535.366224565
1500.2933220192183	28846477.573236004
1528.2140360258693	28845400.09453994
1556.654359271062	28844302.563781995
1585.6239617711371	28843184.763687626
1615.132693503091	28842052.297530316
1645.1905877536624	28840898.75598512
1675.807864530767	28839723.74683548
1706.9949340384078	28838526.870565638
1738.7624002162504	28837307.720224757
1771.1210643450886	28836065.881288584
1804.0819287193826	28834800.931518503
1837.6562003881704	28833512.440817963
1871.8552949655793	28832199.971086238
1906.690840512252	28830863.076069485
1942.1746814890264	28829501.30120899
1978.3188827841643	28828114.183486626
2015.1357338155585	28826706.241905626
2052.6377527092523	28825276.43232971
2090.8376905557498	28823820.01375429
2129.748535745521	28822336.490981366
2169.3835183851843	28820825.35959721
2209.756114795903	28819286.105800863
2250.880052095462	28817718.206229456
2292.7693128656488	28816121.127780236
2335.438139906479	28814494.327429324
2378.9010410788933	28812837.25204707
2423.1727942376006	28811149.338209994
2468.2684522556924	28809430.0120092
2514.2033481427966	28807679.37899682
2560.9931002584594	28805909.400707804
2608.6536176225477	28804106.48282166
2657.2011053245064	28802270.012326874
2706.652070033241	28800399.364803694
2757.0233256095826	28798493.904211808
2808.3319988231724	28796552.98267408
2860.5955351757416	28794575.940256275
2913.831704832789	28792562.104742672
2968.0586086656026	28790510.791407492
3023.2946844057765	28788421.3027821
3079.5587129142264	28786292.928417854
3136.8698245668766	28784124.944644533
3195.2475057592133	28781928.202731173
3254.711605531848	28779699.675748177
3315.282342319423	28777429.67549883
3376.9803108250912	28775117.430158585
3439.8264890229243	28772762.153539117
3503.8422452906757	28770363.044821
3569.0493456752292	28767919.28828141
3635.4699612933177	28765430.053016808
3703.126675869927	28762894.492660366
3772.0424934169973	28760311.745094255
3842.240846055061	28757680.932156462
3913.745601980384	28755001.159342255
3986.581073580439	28752273.788688947
4060.7720257003657	28749523.957241114
4136.343684063274	28746722.95096213
4213.321743847289	28743869.817479692
4291.732378422157	28740963.586697668
4371.602248248501	28738003.270466276
4452.958509942655	28734987.862246104
4535.828825510186	28731916.336765863
4620.241371751313	28728787.649673793
4706.224849841281	28725600.73718258
4793.808495089106	28722354.515707634
4883.02208687788	28719047.881498672
4973.895958790063	28715679.71026444
5066.461008921268	28712275.20680418
5160.7487103859075	28708826.017346002
5256.791122018419	28705312.637885112
5354.620899273607	28701733.87383463
5454.271305329836	28698088.50837622
5555.7762223988775	28694375.302046347
5659.170163246242	28690592.992314853
5764.488282925873	28686740.293155674
5871.766390733255	28682815.894609578
5981.040962380945	28678818.462338783
6092.349152400711	28674746.637173243
6205.7288067765	28670599.034648523
6321.218475812449	28666380.786280446
6438.8574272404185	28662143.457264993
