# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	64537772.05364463
1018.6101701559753	64428051.895474344
1037.566678745186	64316289.826490976
1056.875971184804	64202447.84638684
1076.5446128423157	64086487.247662075
1096.5792912678098	63968368.60246367
1116.9868184678226	63848051.749179505
1137.7741332214914	63725495.7787831
1158.9483034398106	63600659.020923994
1180.5165285688054	63473499.0297594
1202.4861420374123	63343972.569522195
1224.8646137509306	63212035.599820286
1247.6595526308697	63077643.260662355
1270.8787092020582	62951699.98520525
1294.529978227916	62833925.32715507
1318.6214013947485	62713958.862678535
1343.1611700460153	62591759.80188507
1368.1576279674719	62467286.59577733
1393.619274224142	62340496.92212407
1419.5547660501015	62211347.67107011
1445.9729217920194	62079794.930478506
1472.882723907502	61945793.97100003
1500.2933220192183	61809299.23086456
1528.2140360258693	61670264.300389804
1556.654359271062	61528641.90620127
1585.6239617711371	61384985.96840358
1615.132693503091	61262355.146939866
1645.1905877536624	61137442.14502235
1675.807864530767	61010204.49088442
1706.9949340384078	60880598.92235276
1738.7624002162504	60748581.372137584
1771.1210643450886	60614106.9528493
1804.0819287193826	60477129.94173644
1837.6562003881704	60337603.76513931
1871.8552949655793	60195480.9826545
1906.690840512252	60050713.27100461
1942.1746814890264	59903251.407607816
1978.3188827841643	59753045.253841706
2015.1357338155585	59614533.07407509
2052.6377527092523	59486026.18412144
2090.8376905557498	59355127.75907954
2129.748535745521	59221793.29207445
2169.3835183851843	59085977.44795074
2209.756114795903	58947634.04785803
2250.880052095462	58806716.05354962
2292.7693128656488	58663175.551389106
2335.438139906479	58516963.73605909
2378.9010410788933	58368030.89396699
2423.1727942376006	58216326.38634173
2468.2684522556924	58061798.63201614
2514.2033481427966	57905865.59667587
2560.9931002584594	57775229.372333646
2608.6536176225477	57642161.98562789
2657.2011053245064	57506618.19221332
2706.652070033241	57368551.90573972
2757.0233256095826	57227916.18218204
2808.3319988231724	57084663.20387893
2860.5955351757416	56938744.26327427
2913.831704832789	56790109.74635596
2968.0586086656026	56638709.11578675
3023.2946844057765	56484490.893720955
3079.5587129142264	56327402.64430135
3136.8698245668766	56167390.95583054
3195.2475057592133	56022319.54948312
3254.711605531848	55888613.71627316
3315.282342319423	55752419.59475632
3376.9803108250912	55613690.877463795
3439.8264890229243	55472380.39513695
3503.8422452906757	55328440.10068918
3569.0493456752292	55181821.05286943
3635.4699612933177	55032473.39962166
3703.126675869927	54880346.36113452
3772.0424934169973	54725388.21257585
3842.240846055061	54567546.26650542
3913.745601980384	54406766.85496089
3986.581073580439	54245517.56948894
4060.7720257003657	54112663.79194198
4136.343684063274	53977337.582989015
4213.321743847289	53839492.93026086
4291.732378422157	53699082.965090334
4371.602248248501	53556059.94657642
4452.958509942655	53410375.24535171
4535.828825510186	53261979.32704809
4620.241371751313	53110821.73545439
4706.224849841281	52956851.075360775
4793.808495089106	52800014.99508378
4883.02208687788	52640260.168666236
4973.895958790063	52477532.27774583
5066.461008921268	52332493.305282205
5160.7487103859075	52199436.02649672
5256.791122018419	52063902.529112555
5354.620899273607	51925846.73028022
5454.271305329836	51785221.6895406
5555.7762223988775	51641979.59286465
5659.170163246242	51496071.73639604
5764.488282925873	51347448.50989147
5871.766390733255	51196059.37985248
5981.040962380945	51041852.872343734
6092.349152400711	50884776.55549109
6205.7288067765	50724777.02165434
6321.218475812449	50565406.970432185
6438.8574272404185	50435835.96916422
6558.685659571435	50303853.62951539
6680.743915695614	50169415.0760681
6805.073696735206	50032474.59826565
6931.717276155407	49892985.634870045
7060.717714137772	49750900.75813075
7192.118872221193	49606171.65765878
7325.96542821523	49458749.12400048
7462.302891391108	49308583.03190599
7601.17761795533	49155622.323285945
7742.636826811269	48999814.98985132
7886.728615614156	48841108.05542991
8033.501977124735	48701919.44173491
8183.00681586739	48574489.04542188
8335.293965098195	48444687.14775042
8490.415204088747	48312469.614676744
8648.423275731726	48177791.490814954
8809.37190447399	48040606.9841518
8973.31581458352	47900869.450476885
9140.310748756232	47758531.37752312
9310.413487069076	47613544.36881199
9483.681866285926	47465859.12719834
9660.174799522645	47315425.43810874
9839.952296278227	47162192.15246799
10023.075482838643	47010664.50528967
10209.606623060476	46888514.073193565
10399.609139541202	46764090.40077154
10593.1476351837	46637351.18263432
10790.287915161836	46508253.3260821
10991.097009294961	46376752.9364527
11195.643194838794	46242805.30219669
11403.99601970033	46106364.8796752
11616.22632608502	45967385.27767444
11832.40627458378	45825819.24163223
12052.609368708414	45681618.63757097
12276.910479883603	45534734.43573153
12505.385872903913	45385116.69390264
12738.113231864783	45255723.781027205
12975.171686575868	45137127.657586835
13216.641839466038	45016324.44010941
13462.60579298911	44893273.05419933
13713.147177539455	44767931.661059536
13968.351179887397	44640257.643265836
14228.30457214352	44510207.59027649
14493.09574126215	44377737.28367223
14762.81471909391	44242801.68212141
15037.553212997384	44105354.90606568
15317.404637020798	43965350.22212013
15602.46414366368	43822740.027183734
15892.828656229764	43682723.85798616
16188.596901781993	43570116.50091888
16489.86944471065	43455413.501775794
16796.74872092653	43338575.86030122
17109.339072690134	43219563.850438215
17427.746784089173	43098337.00682105
17752.08011717636	42974854.111016676
18082.44934877952	42849073.17751004
18418.96680799711	42720951.43942847
18761.746914391195	42590445.33400052
19110.90621689136	42457510.487744175
19466.56343342263	42322101.70137931
19828.83949127071	42184172.93445961
20197.857568198782	42066119.58070214
20573.743134329114	41957407.93244709
20956.623994804308	41846673.14192009
21346.630333242454	41733877.558099166
21743.8947560008	41618982.82927053
22148.55233726359	41501949.88998836
22560.74066496859	41382738.947792284
22980.599887588487	41261309.46967748
23408.272761782944	41137620.16831302
23843.904700937208	41011628.98800368
24287.643824604504	40883293.090390645
24739.64100886812	40752568.83988591
25200.049937640895	40625049.31095505
25669.027154919517	40521979.91305606
26146.732118010917	40416992.37612433
26633.327251749808	40310051.00326602
27128.978003724646	40201119.43326212
27633.852900531667	40090160.62820508
28148.123605075813	39977136.86090562
28671.964974937695	39862009.70206505
29205.55512182745	39744740.00720889
29749.075472144435	39625287.90337731
30302.71082866393	39503612.77556795
30866.649433372742	39379673.25292628
31441.08303147265	39253427.19467922
32026.206936576502	39145943.85161905
32622.220097116733	39046145.501316205
33229.325163989684	38944489.88673296
33847.72855945983	38840942.44386498
34477.640547344636	38735467.96546604
35119.275304507275	38628030.58907696
35772.850993678774	38518593.78483216
36438.58983763541	38407120.34303909
37116.71819475767	38293572.36152632
37807.466635993485	38177911.232756756
38511.070023255685	38060097.63070036
39227.76758927723	37940091.49746299
39957.803018952654	37823626.15650171
40701.42453219439	37728304.01433307
41458.88496832911	37631207.91087907
42230.441872066716	37532304.832418285
43016.35758106799	37431561.1508384
43816.89931514194	37328942.61220217
44632.33926710397	37224414.32510077
45462.95469532399	37117940.74879031
46309.02801799736	37009485.68110759
47170.84690917023	36899012.24616099
48048.704396551344	36786482.881792344
48942.89896114532	36671859.32680526
49853.73463873894	36555102.60795596
50781.5211232767	36455651.38960441
51726.57387216024	36362281.80920536
52689.21421350677	36267174.605027705
53669.76945540476	36170297.43959725
54668.57299720181	36071617.3736339
55685.96444286408	35971100.85485196
56722.28971644549	35868713.706552
57777.90117970507	35764421.1160004
58853.1577519145	35658187.62259263
59948.42503189408	35549977.10579627
61064.07542232036	35439752.772869684
62200.48825634718	35327477.14635197
63358.04992658254	35218887.92494826
64537.15401646702	35128356.93547011
65738.20143409586	35036141.148873396
