Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	1.184330921887115203e+07	2.890503462258224562e+07
1.032794731918951654e-10	1.184330911294235662e+07	2.890503449207327515e+07
1.066664958279539403e-10	1.184330900353965536e+07	2.890503435728430003e+07
1.101645949633656381e-10	1.184330889054912329e+07	2.890503421807495132e+07
1.137774133221491146e-10	1.184330877385309339e+07	2.890503407430027425e+07
1.175087130904807540e-10	1.184330865333005041e+07	2.890503392581054568e+07
1.213623798344240958e-10	1.184330852885448560e+07	2.890503377245113254e+07
1.253424265461399975e-10	1.184330840029678121e+07	2.890503361406233907e+07
1.294529978227915867e-10	1.184330826752305776e+07	2.890503345047923177e+07
1.336983741824946476e-10	1.184330813039505854e+07	2.890503328153145686e+07
1.380829765218092491e-10	1.184330798876998015e+07	2.890503310704309121e+07
1.426113707194128486e-10	1.184330784250034764e+07	2.890503292683241889e+07
1.472882723907502473e-10	1.184330769143384136e+07	2.890503274071178585e+07
1.521185517986104510e-10	1.184330753541314788e+07	2.890503254848738015e+07
1.571072389247450498e-10	1.184330737427580170e+07	2.890503234995902702e+07
1.622595287078087593e-10	1.184330720785399526e+07	2.890503214491998404e+07
1.675807864530767868e-10	1.184330703597443178e+07	2.890503193315674737e+07
1.730765534195724819e-10	1.184330685845812410e+07	2.890503171444879100e+07
1.787525525904235329e-10	1.184330667512021773e+07	2.890503148856836185e+07
1.846146946324547531e-10	1.184330648576978967e+07	2.890503125528024882e+07
1.906690840512252406e-10	1.184330629020966962e+07	2.890503101434151456e+07
1.969220255479172543e-10	1.184330608823620714e+07	2.890503076550125331e+07
2.033800305846981002e-10	1.184330587963907793e+07	2.890503050850034878e+07
2.100498241653915480e-10	1.184330566420106217e+07	2.890503024307116494e+07
2.169383518385184289e-10	1.184330544169781543e+07	2.890502996893730387e+07
2.240527869300018610e-10	1.184330521189763211e+07	2.890502968581329659e+07
2.314005380130653023e-10	1.184330497456121445e+07	2.890502939340431243e+07
2.389892566231049743e-10	1.184330472944141366e+07	2.890502909140585363e+07
2.468268452255692806e-10	1.184330447628297284e+07	2.890502877950343862e+07
2.549214654451423314e-10	1.184330421482227184e+07	2.890502845737226680e+07
2.632815465648021228e-10	1.184330394478703476e+07	2.890502812467688322e+07
2.719157943036017723e-10	1.184330366589606367e+07	2.890502778107085079e+07
2.808331998823172083e-10	1.184330337785893865e+07	2.890502742619635165e+07
2.900430493863991314e-10	1.184330308037571609e+07	2.890502705968383700e+07
2.995549334359813486e-10	1.184330277313660830e+07	2.890502668115163967e+07
3.093787571730138678e-10	1.184330245582167618e+07	2.890502629020558298e+07
3.195247505759212065e-10	1.184330212810048833e+07	2.890502588643855229e+07
3.300034791125284578e-10	1.184330178963176906e+07	2.890502546943008900e+07
3.408258547423451742e-10	1.184330144006306119e+07	2.890502503874595091e+07
3.520031472796679687e-10	1.184330107903033867e+07	2.890502459393763915e+07
3.635469961293320139e-10	1.184330070615764707e+07	2.890502413454195857e+07
3.754694224073336536e-10	1.184330032105669379e+07	2.890502366008052230e+07
3.877828414589456106e-10	1.184329992332646064e+07	2.890502317005924508e+07
4.005000757873611052e-10	1.184329951255276799e+07	2.890502266396785527e+07
4.136343684063274911e-10	1.184329908830786310e+07	2.890502214127933234e+07
4.271993966306778827e-10	1.184329865014996007e+07	2.890502160144937783e+07
4.412092863191189219e-10	1.184329819762278907e+07	2.890502104391584545e+07
4.556786265841064474e-10	1.184329773025510833e+07	2.890502046809815243e+07
4.706224849841281415e-10	1.184329724756022915e+07	2.890501987339667231e+07
4.860564232142136024e-10	1.184329674903550185e+07	2.890501925919211656e+07
5.019965133110081441e-10	1.184329623416179046e+07	2.890501862484488264e+07
5.184593543892912175e-10	1.184329570240293257e+07	2.890501796969440579e+07
5.354620899273606527e-10	1.184329515320518613e+07	2.890501729305844381e+07
5.530224256192902378e-10	1.184329458599664643e+07	2.890501659423238784e+07
5.711586478126431938e-10	1.184329400018665381e+07	2.890501587248851731e+07
5.898896425508497150e-10	1.184329339516518079e+07	2.890501512707525119e+07
6.092349152400710261e-10	1.184329277030219138e+07	2.890501435721635446e+07
6.292146109610343618e-10	1.184329212494698726e+07	2.890501356211014464e+07
6.498495354469890483e-10	1.184329145842752978e+07	2.890501274092863500e+07
6.711611767496282870e-10	1.184329077004974894e+07	2.890501189281670004e+07
6.931717276155404727e-10	1.184329005909680203e+07	2.890501101689116657e+07
7.159041085964887260e-10	1.184328932482834160e+07	2.890501011223988608e+07
7.393819919175865964e-10	1.184328856647974625e+07	2.890500917792081088e+07
7.636298261282244400e-10	1.184328778326131217e+07	2.890500821296098828e+07
7.886728615614152294e-10	1.184328697435743921e+07	2.890500721635556966e+07
8.145371766280743462e-10	1.184328613892577961e+07	2.890500618706674129e+07
8.412497049736117954e-10	1.184328527609636448e+07	2.890500512402266636e+07
8.688382635251186617e-10	1.184328438497068733e+07	2.890500402611634508e+07
8.973315814583522479e-10	1.184328346462078393e+07	2.890500289220447466e+07
9.267593301146878953e-10	1.184328251408825442e+07	2.890500172110627219e+07
9.571521538991863169e-10	1.184328153238326125e+07	2.890500051160221919e+07
9.885417021919573871e-10	1.184328051848351955e+07	2.890499926243280619e+07
1.020960662306046580e-09	1.184327947816871479e+07	2.890499797567351162e+07
1.054442793526168950e-09	1.184327840759629011e+07	2.890499664862149954e+07
1.089022962263730067e-09	1.184327730191473104e+07	2.890499527804917470e+07
1.124737178364752061e-09	1.184327615997263975e+07	2.890499386252929643e+07
1.161622632608501755e-09	1.184327498058086447e+07	2.890499240058782324e+07
1.199717735435884489e-09	1.184327376251125336e+07	2.890499089070237055e+07
1.239062156947916503e-09	1.184327250449537300e+07	2.890498933130063117e+07
1.279696868215940940e-09	1.184327120522320271e+07	2.890498772075872868e+07
1.321664183946605026e-09	1.184326986334174871e+07	2.890498605739953741e+07
1.365007806546013663e-09	1.184326847745365091e+07	2.890498433949092403e+07
1.409772871628966933e-09	1.184326704611572437e+07	2.890498256524395943e+07
1.456005995020649598e-09	1.184326556783745438e+07	2.890498073281104118e+07
1.503755321299737753e-09	1.184326404107944667e+07	2.890497884028397873e+07
1.553070573933460069e-09	1.184326246425181814e+07	2.890497688569200039e+07
1.604003107056820079e-09	1.184326083571254835e+07	2.890497486699969694e+07
1.656605958949914401e-09	1.184325915376577340e+07	2.890497278210492432e+07
1.710933907269014249e-09	1.184325741666000336e+07	2.890497062883658335e+07
1.767043526088946692e-09	1.184325562258631364e+07	2.890496840495238826e+07
1.824993244816152494e-09	1.184325376967645995e+07	2.890496610813650116e+07
1.884843409033795523e-09	1.184325185600092262e+07	2.890496373599715903e+07
1.946656343342262358e-09	1.184324987956691161e+07	2.890496128606414050e+07
2.010496416260498236e-09	1.184324783831627667e+07	2.890495875578622520e+07
2.076430107255774870e-09	1.184324573012337275e+07	2.890495614252852648e+07
2.144526075971667793e-09	1.184324355279284902e+07	2.890495344356973469e+07
2.214855233726359314e-09	1.184324130405735411e+07	2.890495065609932318e+07
2.287490817355702788e-09	1.184323898157518171e+07	2.890494777721456066e+07
2.362508465477946229e-09	1.184323658292782865e+07	2.890494480391754583e+07
2.439986297259550245e-09	1.184323410561747849e+07	2.890494173311205208e+07
