# Frequency (Hz)	Real Part (Ohm/m)
1000.0	143902.06564504668
1018.6101701559753	146056.96973273504
1037.566678745186	148251.9769521652
1056.875971184804	150487.83362944247
1076.5446128423157	152765.29997992827
1096.5792912678098	155085.15036672106
1116.9868184678226	157448.1735639485
1137.7741332214914	159855.17302495896
1158.9483034398106	162306.967155504
1180.5165285688054	164804.3895920061
1202.4861420374123	167348.28948500272
1224.8646137509306	169939.53178786772
1247.6595526308697	172578.99755090458
1270.8787092020582	175198.9032826999
1294.529978227916	177801.630196219
1318.6214013947485	180452.79430046803
1343.1611700460153	183153.29701980855
1368.1576279674719	185904.05655426285
1393.619274224142	188706.00819171136
1419.5547660501015	191560.10462590176
1445.9729217920194	194467.31628037384
1472.882723907502	197428.6316384151
1500.2933220192183	200445.05757915517
1528.2140360258693	203517.6197199151
1556.654359271062	206647.3627649296
1585.6239617711371	209831.16384968552
1615.132693503091	212909.40848691907
1645.1905877536624	216044.9397806331
1675.807864530767	219238.8238452525
1706.9949340384078	222492.14663577316
1738.7624002162504	225806.0143169975
1771.1210643450886	229181.553639644
1804.0819287193826	232619.91232345297
1837.6562003881704	236122.2594474249
1871.8552949655793	239689.78584731944
1906.690840512252	243323.70452055175
1942.1746814890264	247025.25103862604
1978.3188827841643	250795.6839672418
2015.1357338155585	254522.81878483915
2052.6377527092523	258220.7780961223
2090.8376905557498	261987.55705941826
2129.748535745521	265824.4364201614
2169.3835183851843	269732.7207586756
2209.756114795903	273713.73893374775
2250.880052095462	277768.8445344518
2292.7693128656488	281899.4163403854
2335.438139906479	286106.8587904691
2378.9010410788933	290392.60246047017
2423.1727942376006	294758.10454941506
2468.2684522556924	299204.8493750512
2514.2033481427966	303721.1783210679
2560.9931002584594	308068.995502419
2608.6536176225477	312497.72630132193
2657.2011053245064	317008.8765339678
2706.652070033241	321603.980040042
2757.0233256095826	326284.5992042486
2808.3319988231724	331052.3254875366
2860.5955351757416	335908.7799682135
2913.831704832789	340855.61389313097
2968.0586086656026	345894.5092391241
3023.2946844057765	351027.1792849042
3079.5587129142264	356255.3691935911
3136.8698245668766	361580.85660608625
3195.2475057592133	366819.0511943488
3254.711605531848	372008.4083212645
3315.282342319423	377294.3402673122
3376.9803108250912	382678.64430630906
3439.8264890229243	388163.1511596428
3503.8422452906757	393749.72561873903
3569.0493456752292	399440.26717910776
3635.4699612933177	405236.7106861947
3703.126675869927	411141.0269932483
3772.0424934169973	417155.2236314305
3842.240846055061	423281.3454924011
3913.745601980384	429521.4755236003
3986.581073580439	435846.79661740904
4060.7720257003657	441904.7150140566
4136.343684063274	448075.3723028564
4213.321743847289	454360.8665737753
4291.732378422157	460763.3349625901
4371.602248248501	467284.95437753893
4452.958509942655	473927.9422394929
4535.828825510186	480694.55723590154
4620.241371751313	487587.10008877376
4706.224849841281	494607.91433694476
4793.808495089106	501759.38713290775
4883.02208687788	509043.95005447004
4973.895958790063	516464.07993151393
5066.461008921268	523718.2939649634
5160.7487103859075	530892.0828049089
5256.791122018419	538199.3770758286
5354.620899273607	545642.6613365104
5454.271305329836	553224.4663838029
5555.7762223988775	560947.3701131145
5659.170163246242	568813.9983949268
5764.488282925873	576827.0259676174
5871.766390733255	584989.1773469006
5981.040962380945	593303.2277521914
6092.349152400711	601772.0040502092
6205.7288067765	610398.3857161462
6321.218475812449	619121.1184025697
6438.8574272404185	627423.1389523062
6558.685659571435	635879.661517112
6680.743915695614	644493.5614057761
6805.073696735206	653267.7674370747
6931.717276155407	662205.2629355999
7060.717714137772	671309.0867461205
7192.118872221193	680582.3342668253
7325.96542821523	690028.1585017885
7462.302891391108	699649.7711330277
7601.17761795533	709450.4436125099
7742.636826811269	719433.5082744774
7886.728615614156	729602.359468483
8033.501977124735	739469.4215130192
8183.00681586739	749206.5812447042
8335.293965098195	759124.951175832
8490.415204088747	769227.9036590477
8648.423275731726	779518.8738070542
8809.37190447399	790001.3606605848
8973.31581458352	800678.9283781173
9140.310748756232	811555.2074477256
9310.413487069076	822633.8959214826
9483.681866285926	833918.7606728417
9660.174799522645	845413.6386774103
9839.952296278227	857122.4383175663
10023.075482838643	868925.4842980683
10209.606623060476	880074.565492267
10399.609139541202	891431.132984571
10593.1476351837	902999.0481302948
10790.287915161836	914782.2441452305
10991.097009294961	926784.7274429853
11195.643194838794	939010.5789972068
11403.99601970033	951463.9557291527
11616.22632608502	964149.0919210968
11832.40627458378	977070.3006560245
12052.609368708414	990231.9752841301
12276.910479883603	1003638.5909166038
12505.385872903913	1017294.7059472122
12738.113231864783	1030422.250802208
12975.171686575868	1043344.9090748697
13216.641839466038	1056508.0602168532
13462.60579298911	1069916.1798413792
13713.147177539455	1083573.8268535875
13968.351179887397	1097485.6450006238
14228.30457214352	1111656.3644505553
14493.09574126215	1126090.8034006823
14762.81471909391	1140793.869715779
15037.553212997384	1155770.5625968126
15317.404637020798	1171025.9742807362
15602.46414366368	1186565.291771897
15892.828656229764	1202168.2553172293
16188.596901781993	1216771.664286404
16489.86944471065	1231646.8451813506
16796.74872092653	1246798.8557238535
17109.339072690134	1262232.8477607572
17427.746784089173	1277954.0690156538
17752.08011717636	1293967.8648731653
18082.44934877952	1310279.6801964268
18418.96680799711	1326895.0611784067
18761.746914391195	1343819.6572276675
19110.90621689136	1361059.2228892264
19466.56343342263	1378619.619801164
19828.83949127071	1396506.818687637
20197.857568198782	1413501.6509200821
20573.743134329114	1430182.7976386992
20956.623994804308	1447174.3833361466
21346.630333242454	1464482.185334645
21743.8947560008	1482112.0884733596
22148.55233726359	1500070.0871093192
22560.74066496859	1518362.2871555544
22980.599887588487	1536994.9081571775
23408.272761782944	1555974.2854060947
23843.904700937208	1575306.8720950668
24287.643824604504	1594999.241511875
24739.64100886812	1615058.0892743052
25200.049937640895	1635098.0809097332
25669.027154919517	1653645.1508695914
26146.732118010917	1672537.3849572954
26633.327251749808	1691781.2067359982
27128.978003724646	1711383.1593124538
27633.852900531667	1731349.9075617462
28148.123605075813	1751688.2403934223
28671.964974937695	1772405.0730597824
29205.55512182745	1793507.4495071562
29749.075472144435	1815002.5447709134
30302.71082866393	1836897.6674150433
30866.649433372742	1859200.2620171711
31441.08303147265	1881917.9116997623
32026.206936576502	1903187.0581050212
32622.220097116733	1923993.570252279
33229.325163989684	1945187.295130945
33847.72855945983	1966775.4388358467
34477.640547344636	1988765.3415684453
35119.275304507275	2011164.4801326115
35772.850993678774	2033980.4704768069
36438.58983763541	2057221.0702835792
37116.71819475767	2080894.1816072876
37807.466635993485	2105007.853560849
38511.070023255685	2129570.285052552
39227.76758927723	2154589.8275737623
39957.803018952654	2179424.9938536608
40701.42453219439	2202098.2652811673
41458.88496832911	2225193.49014793
42230.441872066716	2248718.5210792534
43016.35758106799	2272681.3568391358
43816.89931514194	2297090.145049927
44632.33926710397	2321953.184962622
45462.95469532399	2347278.930278687
46309.02801799736	2373075.992024411
47170.84690917023	2399353.1414787504
48048.704396551344	2426119.313155646
48942.89896114532	2453383.607841872
49853.73463873894	2481155.295691392
50781.5211232767	2506678.593597973
51726.57387216024	2531550.763435147
52689.21421350677	2556885.808585136
53669.76945540476	2582692.343236276
54668.57299720181	2608979.1418884094
55685.96444286408	2635755.142336315
56722.28971644549	2663029.448708656
57777.90117970507	2690811.334563469
58853.1577519145	2719110.246041294
59948.42503189408	2747935.80507695
61064.07542232036	2777297.8126711007
62200.48825634718	2807206.252222704
63358.04992658254	2836648.827066886
64537.15401646702	2863084.859712758
65738.20143409586	2890012.8714244193
66961.60054853215	2917442.0180159966
68207.76732865692	2945381.625692879
69477.1254846024	2973841.1942227166
70770.10661181889	3002830.4001654596
72087.15033782135	3032359.100163485
73428.70447166759	3062437.334292957
74795.22515621828	3093075.3294775733
76187.17702322999	3124283.5029658107
77605.0333513357	3156072.465872921
79049.2762269642	3188453.0267888145
80520.39670825469	3217522.39701299
82018.8949920221	3245726.812918633
83545.28058382872	3274456.1178034274
85100.07247122246	3303720.07994059
86683.79930019773	3333528.6493925634
88296.99955494082	3363891.961394144
89940.22174092053	3394820.339798577
91614.0245713852	3426324.300587761
93318.9771573324	3458414.5554478196
95055.65920101192	3491102.015411172
96824.66119303115	3524397.7945664087
98626.5846131283	3558313.2138372045
100462.04213468132	3591345.1650752127
102331.65783302448	3620405.8081448977
104236.06739764012	3650007.274726952
106175.9183482999	3680159.6296389643
108151.87025522892	3710873.125006496
110164.59496336569	3742158.2037488995
112214.77682079801	3774025.5031300415
114303.11291144785	3806485.8583750776
116430.31329208757	3839550.3063545483
118597.10123376705	3873230.089337033
120804.21346773289	3907536.6588116353
123052.40043592616	3942481.6793816276
125342.42654613995	3978077.0327305314
127675.07043192645	4009091.3699121852
130051.12521734099	4039034.5687977723
132471.39878661174	4069535.01570963
134936.71405883064	4100603.081128352
137447.90926775365	4132249.3285309323
140005.8382468096	4164484.5179824736
142611.37071941295	4197319.609794722
145265.39259467812	4230765.768252679
147968.80626863963	4264834.365410603
150722.53093107554	4299536.9849586105
153527.5028780421	4334885.426161264
156384.67583022476	4370891.707869452
159295.0212572123	4405476.732675936
162259.5287078087	4435140.757618175
165279.2061464897	4465356.835112103
168355.08029612005	4496135.238949632
171488.19698705408	4527486.434119714
174679.62151272455	4559421.0803665025
177930.43899185772	4591950.035813813
181241.75473742394	4625084.360656998
184614.69463245454	4658835.320923511
188050.40551285836	4693214.392303519
191550.0555573528	4728233.264051709
195114.83468466165	4763903.842961803
198745.9549580986	4800238.257414981
202444.65099768018	4830687.561727206
206212.18039991445	4859916.640511507
210049.8241653915	4889689.677425484
213958.88713434213	4920016.795622491
217940.6984302958	4950908.306649487
221996.61191199525	4982374.713953064
226128.00663372793	5014426.716450765
230336.2873142131	5047075.212168784
234622.88481422624	5080331.301947452
238989.25662310526	5114206.293215628
243436.8873543108	5148711.703835328
247967.289250216	5183859.266017971
252582.00269627848	5217002.848760662
257282.59674479323	5244503.568557144
262070.66964838552	5272516.081428452
266947.8494034318	5301049.911930786
271915.7943036019	5330114.761873977
276976.1935036891	5359720.513620166
282130.76759394706	5389877.233443946
287381.2691851069	5420595.1749549955
292729.4835042813	5451884.782584402
298177.22900196735	5483756.695135912
303726.3579703311	5516221.749403196
309378.75717301364	5549290.983854519
315136.34848664823	5582975.642385913
321001.08955431683	5609734.090910806
326974.97445117676	5635231.370008963
333060.03436245886	5661203.157809648
339258.33827409917	5687658.285000558
345571.9936762143	5714605.746609993
352003.1472796675	5742054.705065244
358553.9857459817	5770014.493307958
365226.7364308175	5798494.617967391
372023.6681413066	5827504.7625928
378947.09190746717	5857054.790945941
385999.36176797637	5887154.75035484
393182.87557057705	5917814.875130034
400500.07578736113	5945982.9310562415
407953.45034524484	5968255.34261871
415545.53347188793	5990942.247550142
423278.90655735444	6014051.3596426565
431156.19903182285	6037590.536243371
439180.0892596086	6061567.780925954
447353.3054498463	6085991.246211951
455678.6265841068	6110869.236342721
464158.8833612772	6136210.210102958
472796.9591600391	6162022.783696797
481595.79101923504	6188315.733677378
490558.37063650455	6215097.999931001
499687.7453854889	6242378.688716769
508987.0193519675	6262316.1460280735
518459.3543892913	6281087.233101805
528107.971193433	6300207.653299989
537936.1503980698	6319683.907771514
547947.2336900292	6339522.618652758
558144.6249454955	6359730.531319173
568531.7913873753	6380314.516678812
579112.2647641759	6401281.573508479
589889.6425508494	6422638.8308334155
600867.5891719692	6444393.550351237
612049.837247669	6466553.128900976
623440.1888627863	6489125.100978115
635042.5168595961	6508984.709425492
646860.7661546321	6523342.629578932
658898.9550799957	6537967.7530695135
671161.1767496272	6552865.052596805
683651.6004510238	6568039.593403167
696374.4730628222	6583496.534995972
709334.1204987989	6599241.132901911
722534.9491787221	6615278.7404539175
735981.4475265755	6631614.810611359
749678.1874966878	6648254.897814114
763629.8261282243	6665204.65987112
777841.1071286482	6682469.85988411
792316.8624866261	6700056.368207122
807062.0141149492	6710802.305876123
822081.575524054	6720594.952920444
837380.6535266489	6730569.842792535
852964.4499741016	6740730.367062434
868838.2635251193	6751079.980417871
885007.4914473438	6761622.2018388985
901477.6314524917	6772360.615794394
918254.2835656281	6783298.873460807
935343.1520292377	6794440.693963602
952750.0472427299	6805789.865641803
970480.8877380306	6817350.247336063
988541.7021919573	6829125.769700721
1006938.6314760271	6838378.573196572
1025677.9307444209	6843191.458262595
1044765.9715608053	6848093.911938639
1064209.2440647245	6853087.601111777
1084014.359178331	6858174.223690132
1104188.0508541602	6863355.509180189
1124737.1783647507	6868633.219274842
1145668.7286348727	6874009.148452392
1166989.8186171474	6879485.124586682
1188707.6977119034	6885063.009568601
1210829.7502320393	6890744.699939145
1233363.4979137746	6896532.127534256
1256316.6024741214	6902427.26014168
1279696.8682159416	6902991.685698949
1303512.2446815087	6902870.605748283
1327770.829355429	6902747.272479132
1352480.8704178738	6902621.643956857
1377650.769549055	6902493.677466406
1403289.084785873	6902363.329497793
1429404.533431761	6902230.555731305
1456005.9950206485	6902095.31102243
