# Frequency (Hz)	Real Part (Ohm/m)
1000.0	3118865.9236514145
1018.6101701559753	3126792.6864869064
1037.566678745186	3134866.9677275526
1056.875971184804	3143091.512715975
1076.5446128423157	3151469.117886087
1096.5792912678098	3160002.631713914
1116.9868184678226	3168694.9556861054
1137.7741332214914	3177549.04528647
1158.9483034398106	3186567.911000874
1180.5165285688054	3195754.619340837
1202.4861420374123	3205112.2938861805
1224.8646137509306	3214644.1163470754
1247.6595526308697	3224353.327645866
1270.8787092020582	3232648.056153298
1294.529978227916	3239565.7383565945
1318.6214013947485	3246612.1598027796
1343.1611700460153	3253789.7163510695
1368.1576279674719	3261100.848448027
1393.619274224142	3268548.041957341
1419.5547660501015	3276133.8290050486
1445.9729217920194	3283860.7888404806
1472.882723907502	3291731.548713238
1500.2933220192183	3299748.7847664854
1528.2140360258693	3307915.2229468627
1556.654359271062	3316233.6399313468
1585.6239617711371	3324634.3490995807
1615.132693503091	3330337.090190554
1645.1905877536624	3336145.9602635866
1675.807864530767	3342062.934397091
1706.9949340384078	3348090.0244260295
1738.7624002162504	3354229.279625952
1771.1210643450886	3360482.7874097754
1804.0819287193826	3366852.674037527
1837.6562003881704	3373341.105339296
1871.8552949655793	3379950.2874516365
1906.690840512252	3386682.467567679
1942.1746814890264	3393539.9347012024
1978.3188827841643	3400525.0204649186
2015.1357338155585	3406203.032442596
2052.6377527092523	3410738.715679351
2090.8376905557498	3415358.8087529144
2129.748535745521	3420064.882544714
2169.3835183851843	3424858.537170545
2209.756114795903	3429741.402524634
2250.880052095462	3434715.138833808
2292.7693128656488	3439781.4372220095
2335.438139906479	3444942.020285274
2378.9010410788933	3450198.642677451
2423.1727942376006	3455553.091706793
2468.2684522556924	3461007.1879436607
2514.2033481427966	3466443.7222038396
2560.9931002584594	3469698.2416568203
2608.6536176225477	3473013.328270597
2657.2011053245064	3476390.1092103384
2706.652070033241	3479829.7326179473
2757.0233256095826	3483333.3680024436
2808.3319988231724	3486902.206637611
2860.5955351757416	3490537.4619670375
2913.831704832789	3494240.3700167057
2968.0586086656026	3498012.1898152498
3023.2946844057765	3501854.203822042
3079.5587129142264	3505767.718363243
3136.8698245668766	3509754.0640759626
3195.2475057592133	3512649.248874355
3254.711605531848	3514683.5387294316
3315.282342319423	3516755.6870648586
3376.9803108250912	3518866.3984333957
3439.8264890229243	3521016.390499652
3503.8422452906757	3523206.3942840947
3569.0493456752292	3525437.154411608
3635.4699612933177	3527709.429364672
3703.126675869927	3530023.991741253
3772.0424934169973	3532381.6285174997
3842.240846055061	3534783.141315318
3913.745601980384	3537229.3466749345
3986.581073580439	3539593.016917385
4060.7720257003657	3540406.6267199
4136.343684063274	3541235.3779392806
4213.321743847289	3542079.5523598716
4291.732378422157	3542939.43701007
4371.602248248501	3543815.3242599224
4452.958509942655	3544707.511920533
4535.828825510186	3545616.303345319
4620.241371751313	3546542.007533156
4706.224849841281	3547484.9392334423
4793.808495089106	3548445.419053117
4883.02208687788	3549423.773565667
4973.895958790063	3550420.335422168
5066.461008921268	3550654.5709865047
5160.7487103859075	3550339.8166274736
5256.791122018419	3550019.204636264
5354.620899273607	3549692.6260013436
5454.271305329836	3549359.969682459
5555.7762223988775	3549021.122572874
5659.170163246242	3548675.9694609246
5764.488282925873	3548324.3929908318
5871.766390733255	3547966.273622807
5981.040962380945	3547601.4895924083
6092.349152400711	3547229.9168691337
6205.7288067765	3546851.429114253
6321.218475812449	3546374.0974042793
6438.8574272404185	3545054.018858139
6558.685659571435	3543709.3734256364
6680.743915695614	3542339.7039128356
6805.073696735206	3540944.5446173428
6931.717276155407	3539523.4211699674
7060.717714137772	3538075.8503734237
7192.118872221193	3536601.340038043
7325.96542821523	3535099.388814425
7462.302891391108	3533569.4860229683
7601.17761795533	3532011.1114802416
7742.636826811269	3530423.735322107
7886.728615614156	3528806.817823568
8033.501977124735	3526849.1983709764
8183.00681586739	3524656.8188992557
8335.293965098195	3522423.638872521
8490.415204088747	3520148.898985499
8648.423275731726	3517831.8258021194
8809.37190447399	3515471.6314925337
8973.31581458352	3513067.5135652446
9140.310748756232	3510618.6545942533
9310.413487069076	3508124.2219411246
9483.681866285926	3505583.367471878
9660.174799522645	3502995.2272686176
9839.952296278227	3500358.921335787
10023.075482838643	3497661.2329728752
10209.606623060476	3494826.2981564435
10399.609139541202	3491938.6047206973
10593.1476351837	3488997.170818753
10790.287915161836	3486000.996331391
10991.097009294961	3482949.0625270023
11195.643194838794	3479840.33171521
11403.99601970033	3476673.74689404
11616.22632608502	3473448.231390535
11832.40627458378	3470162.6884946697
12052.609368708414	3466816.0010864567
12276.910479883603	3463407.031256118
12505.385872903913	3459934.6199171804
12738.113231864783	3456579.299373462
12975.171686575868	3453265.8193144198
13216.641839466038	3449890.674827673
13462.60579298911	3446452.718327725
13713.147177539455	3442950.780872324
13968.351179887397	3439383.6717650034
14228.30457214352	3435750.1781502306
14493.09574126215	3432049.064601026
14762.81471909391	3428279.072698903
15037.553212997384	3424438.9206059957
15317.404637020798	3420527.3026292156
15602.46414366368	3416542.888776302
15892.828656229764	3412578.0553906783
16188.596901781993	3409075.503116014
16489.86944471065	3405507.7677475363
16796.74872092653	3401873.6362167816
17109.339072690134	3398171.87287987
17427.746784089173	3394401.2190973815
17752.08011717636	3390560.3928064005
