Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	2.670183456335013616e+01	3.759153461847665767e+01
1.032794731918951654e-10	2.740419815980170171e+01	3.861376445165347349e+01
1.066664958279539403e-10	2.812959558210853217e+01	3.966951803816888145e+01
1.101645949633656381e-10	2.887878221841461368e+01	4.075989478052651549e+01
1.137774133221491146e-10	2.965253822961561525e+01	4.188603013584044987e+01
1.175087130904807540e-10	3.045166936177463413e+01	4.304909679823635571e+01
1.213623798344240958e-10	3.127700778518089564e+01	4.425030592002940466e+01
1.253424265461399975e-10	3.212941296092517263e+01	4.549090837295024414e+01
1.294529978227915867e-10	3.300977253589432081e+01	4.677219605073263153e+01
1.336983741824946476e-10	3.391900326711684244e+01	4.809550321441894027e+01
1.380829765218092491e-10	3.485805197642229558e+01	4.946220788178476369e+01
1.426113707194128486e-10	3.582789653640825378e+01	5.087373326232923176e+01
1.472882723907502473e-10	3.682954688874200144e+01	5.233154923932546154e+01
1.521185517986104510e-10	3.786404609585706993e+01	5.383717390047445406e+01
1.571072389247450498e-10	3.893247142713983777e+01	5.539217511875637712e+01
1.622595287078087593e-10	4.003593548073743591e+01	5.699817218512550454e+01
1.675807864530767868e-10	4.117558734215497651e+01	5.865683749474882802e+01
1.730765534195724819e-10	4.235261378084862827e+01	6.036989828854449769e+01
1.787525525904235329e-10	4.356824048606077326e+01	6.213913845183359541e+01
1.846146946324547531e-10	4.482373334318385361e+01	6.396640037197797568e+01
1.906690840512252406e-10	4.612039975198245401e+01	6.585358685693920222e+01
1.969220255479172543e-10	4.745958998804591289e+01	6.780266311675580937e+01
2.033800305846981002e-10	4.884269860888953474e+01	6.981565881000268803e+01
2.100498241653915480e-10	5.027116590616854097e+01	7.189467015736362043e+01
2.169383518385184289e-10	5.174647940551677294e+01	7.404186212451767801e+01
2.240527869300018610e-10	5.327017541557255953e+01	7.625947067661310541e+01
2.314005380130653023e-10	5.484384062780411284e+01	7.854980510667566307e+01
2.389892566231049743e-10	5.646911376880095901e+01	8.091525044037689440e+01
2.468268452255692806e-10	5.814768730675188380e+01	8.335826991966577282e+01
2.549214654451423314e-10	5.988130921388612649e+01	8.588140756785070096e+01
2.632815465648021228e-10	6.167178478671370101e+01	8.848729083880249391e+01
2.719157943036017723e-10	6.352097852595955629e+01	9.117863335303719907e+01
2.808331998823172083e-10	6.543081607815020107e+01	9.395823772352831327e+01
2.900430493863991314e-10	6.740328624087365483e+01	9.682899847419044193e+01
2.995549334359813486e-10	6.944044303380178462e+01	9.979390505407397427e+01
3.093787571730138678e-10	7.154440783763087097e+01	1.028560449504095686e+02
3.195247505759212065e-10	7.371737160316840232e+01	1.060186069037437306e+02
3.300034791125284578e-10	7.596159713286635906e+01	1.092848842285146134e+02
3.408258547423451742e-10	7.827942143717643830e+01	1.126582782425243181e+02
3.520031472796679687e-10	8.067325816818159012e+01	1.161423018088804753e+02
3.635469961293320139e-10	8.314560013303778874e+01	1.197405829940945665e+02
3.754694224073336536e-10	8.569902188984345059e+01	1.234568688461467900e+02
3.877828414589456106e-10	8.833618242863950343e+01	1.272950292964511760e+02
4.005000757873611052e-10	9.105982794033263872e+01	1.312590611897852568e+02
4.136343684063274911e-10	9.387279467642403574e+01	1.353530924463794349e+02
4.271993966306778827e-10	9.677801190252246499e+01	1.395813863605014546e+02
4.412092863191189219e-10	9.977850494871711362e+01	1.439483460400115860e+02
4.556786265841064474e-10	1.028773983599864010e+02	1.484585189915121646e+02
4.706224849841281415e-10	1.060779191499236163e+02	1.531166018558652127e+02
4.860564232142136024e-10	1.093834001611679270e+02	1.579274452990110831e+02
5.019965133110081441e-10	1.127972835360391457e+02	1.628960590631789103e+02
5.184593543892912175e-10	1.163231243009918359e+02	1.680276171837514880e+02
5.354620899273606527e-10	1.199645940686200589e+02	1.733274633772147411e+02
5.530224256192902378e-10	1.237254848610686366e+02	1.788011166058043102e+02
5.711586478126431938e-10	1.276097130588319999e+02	1.844542768246427897e+02
5.898896425508497150e-10	1.316213234790530464e+02	1.902928309173528874e+02
6.092349152400710261e-10	1.357644935875685235e+02	1.963228588263277743e+02
6.292146109610343618e-10	1.400435378490873575e+02	2.025506398840412601e+02
6.498495354469890483e-10	1.444629122200320523e+02	2.089826593519923961e+02
6.711611767496282870e-10	1.490272187887213704e+02	2.156256151740924736e+02
6.931717276155404727e-10	1.537412105677267391e+02	2.224864249515277379e+02
7.159041085964887260e-10	1.586097964433927530e+02	2.295722331463609578e+02
7.393819919175865964e-10	1.636380462876755928e+02	2.368904185213727942e+02
7.636298261282244400e-10	1.688311962376232600e+02	2.444486018238914085e+02
7.886728615614152294e-10	1.741946541479942994e+02	2.522546537216103388e+02
8.145371766280743462e-10	1.797340052226946341e+02	2.603167029986604462e+02
8.412497049736117954e-10	1.854550178308946329e+02	2.686431450204687508e+02
8.688382635251186617e-10	1.913636495138855480e+02	2.772426504762210016e+02
8.973315814583522479e-10	1.974660531889279582e+02	2.861241744080301146e+02
9.267593301146878953e-10	2.037685835565546029e+02	2.952969655362147137e+02
9.571521538991863169e-10	2.102778037179986370e+02	3.047705758903966853e+02
9.885417021919573871e-10	2.170004920096386627e+02	3.145548707564486790e+02
1.020960662306046580e-09	2.229533934673728197e+02	3.234410475126080655e+02
1.054442793526168950e-09	2.285424355573520359e+02	3.319304201167912538e+02
1.089022962263730067e-09	2.343147687843558060e+02	3.406981994196887058e+02
1.124737178364752061e-09	2.402764041320860997e+02	3.497535156943492893e+02
1.161622632608501755e-09	2.464335497128436430e+02	3.591057986386784364e+02
1.199717735435884489e-09	2.527926172323081460e+02	3.687647871949972114e+02
1.239062156947916503e-09	2.593602286663280552e+02	3.787405396916287259e+02
1.279696868215940940e-09	2.661432231566743667e+02	3.890434443170769327e+02
1.321664183946605026e-09	2.731486641329394160e+02	3.996842299377034351e+02
1.365007806546013663e-09	2.803838466679950443e+02	4.106739772701652669e+02
1.409772871628966933e-09	2.878563050746726049e+02	4.220241304202523338e+02
1.456005995020649598e-09	2.955738207515726117e+02	4.337465088001355298e+02
1.503755321299737753e-09	3.035444302861767483e+02	4.458533194364393353e+02
1.553070573933460069e-09	3.117764338236990511e+02	4.583571696819544741e+02
1.604003107056820079e-09	3.202784037103901369e+02	4.712710803442257657e+02
1.656605958949914401e-09	3.290591934202983566e+02	4.846084992446917568e+02
1.710933907269014249e-09	3.381279467747796161e+02	4.983833152224890455e+02
1.767043526088946692e-09	3.474941074643602974e+02	5.126098725975114121e+02
1.824993244816152494e-09	3.571674288828654653e+02	5.273029861077769738e+02
1.884843409033795523e-09	3.671579842840563401e+02	5.424779563366663524e+02
1.946656343342262358e-09	3.774761772713508776e+02	5.581505856460905761e+02
2.010496416260498236e-09	3.881327526315515684e+02	5.743371946321821042e+02
2.076430107255774870e-09	3.991388075238643864e+02	5.910546391206497674e+02
2.144526075971667793e-09	4.105058030358555925e+02	6.083203277194862721e+02
2.214855233726359314e-09	4.222455761183865661e+02	6.261522399473178666e+02
2.287490817355702788e-09	4.343703519119485463e+02	6.445689449562635218e+02
2.362508465477946229e-09	4.468927564772376968e+02	6.635896208688078559e+02
2.439986297259550245e-09	4.598258299432263243e+02	6.832340747488216266e+02
2.520004993764092080e-09	4.731830400864199646e+02	7.035227632275244787e+02
2.602647881969005809e-09	4.869782963554449111e+02	7.244768138058735758e+02
2.688001021537606561e-09	5.012259643555656226e+02	7.461180468555556899e+02
2.776153294436799262e-09	5.159408808082204132e+02	7.684689983414974677e+02
2.867196497493770032e-09	5.311383690011501812e+02	7.915529432895548325e+02
2.961225437988034610e-09	5.468342547452081135e+02	8.153939200238150988e+02
3.058338032378433485e-09	5.630448828544732578e+02	8.400167551987617571e+02
3.158635408267817403e-09	5.797871341668192144e+02	8.654470896523547481e+02
3.262222009711669644e-09	5.970784431226735478e+02	8.917114051069630705e+02
3.369205705980266915e-09	6.149368159202626885e+02	9.188370517459396751e+02
3.479697903887691433e-09	6.333808492662575418e+02	9.468522766945699232e+02
3.593813663804627762e-09	6.524297497413388101e+02	9.757862534350399528e+02
3.711671819475765297e-09	6.721033538008507549e+02	1.005669112186062421e+03
3.833395101766601886e-09	6.924221484313743531e+02	1.036531971278797073e+03
3.959110266468459240e-09	7.134072924847217791e+02	1.068406969561729738e+03
4.088948226294862618e-09	7.350806387115796952e+02	1.101327299868268710e+03
4.223044187206674123e-09	7.574647565177335764e+02	1.135327243581893299e+03
4.361537789208003199e-09	7.805829554665826890e+02	1.170442206334865887e+03
4.504573251759458750e-09	8.044593095524087403e+02	1.206708754877666934e+03
4.652299523960189308e-09	8.291186822696809031e+02	1.244164655157554080e+03
