# Frequency (Hz)	Real Part (Ohm/m)
1000.0	12785035.230400061
1018.6101701559753	12849488.678129973
1037.566678745186	12915141.61548928
1056.875971184804	12982016.365184082
1076.5446128423157	13050135.665349847
1096.5792912678098	13119522.677282596
1116.9868184678226	13190200.993314032
1137.7741332214914	13262194.644833153
1158.9483034398106	13335528.110457188
1180.5165285688054	13410226.324354619
1202.4861420374123	13486314.684723029
1224.8646137509306	13563819.062424779
1247.6595526308697	13642765.8097834
1270.8787092020582	13712481.606867202
1294.529978227916	13773222.357626922
1318.6214013947485	13835093.504093677
1343.1611700460153	13898116.083123926
1368.1576279674719	13962311.523073599
1393.619274224142	14027701.651083967
1419.5547660501015	14094308.700503135
1445.9729217920194	14162155.31844558
1472.882723907502	14231264.57349244
1500.2933220192183	14301659.963535076
1528.2140360258693	14373365.423764601
1556.654359271062	14446405.33481011
1585.6239617711371	14520274.979681611
1615.132693503091	14574675.352759143
1645.1905877536624	14630088.12603619
1675.807864530767	14686532.140452739
1706.9949340384078	14744026.58758187
1738.7624002162504	14802591.016155088
1771.1210643450886	14862245.33870915
1804.0819287193826	14923009.838356482
1837.6562003881704	14984905.17568169
1871.8552949655793	15047952.395766387
1906.690840512252	15112172.935344717
1942.1746814890264	15177588.630092109
1978.3188827841643	15244221.722049618
2015.1357338155585	15300699.949469658
2052.6377527092523	15348333.51787753
2090.8376905557498	15396853.55509861
2129.748535745521	15446276.558468357
2169.3835183851843	15496619.332340423
2209.756114795903	15547898.99380038
2250.880052095462	15600132.97848564
2292.7693128656488	15653339.046513824
2335.438139906479	15707535.288521338
2378.9010410788933	15762740.13181443
2423.1727942376006	15818972.346634641
2468.2684522556924	15876251.0525409
2514.2033481427966	15933571.08997951
2560.9931002584594	15972309.245420877
2608.6536176225477	16011768.324526535
2657.2011053245064	16051961.743808549
2706.652070033241	16092903.169462549
2757.0233256095826	16134606.522014398
2808.3319988231724	16177085.981053313
2860.5955351757416	16220355.990053074
2913.831704832789	16264431.261282977
2968.0586086656026	16309326.780810133
3023.2946844057765	16355057.813594928
3079.5587129142264	16401639.908681264
3136.8698245668766	16449088.904483376
3195.2475057592133	16486498.103893816
3254.711605531848	16516029.288230168
3315.282342319423	16546110.052931923
3376.9803108250912	16576750.625783201
3439.8264890229243	16607961.424908914
3503.8422452906757	16639753.062317066
3569.0493456752292	16672136.34750692
3635.4699612933177	16705122.291144362
3703.126675869927	16738722.108805662
3772.0424934169973	16772947.224790841
3842.240846055061	16807809.276008118
3913.745601980384	16843320.115930527
3986.581073580439	16878170.556210287
4060.7720257003657	16897222.85417215
4136.343684063274	16916629.718640946
4213.321743847289	16936397.74815971
4291.732378422157	16956533.664071456
4371.602248248501	16977044.312804572
4452.958509942655	16997936.66820062
4535.828825510186	17019217.83388554
4620.241371751313	17040895.045684982
4706.224849841281	17062975.674084514
4793.808495089106	17085467.226735715
4883.02208687788	17108377.35100883
4973.895958790063	17131713.836592957
5066.461008921268	17146399.128686156
5160.7487103859075	17154919.47288163
5256.791122018419	17163598.382132374
5354.620899273607	17172438.807361037
5454.271305329836	17181443.754407454
5555.7762223988775	17190616.28505065
5659.170163246242	17199959.51804988
5764.488282925873	17209476.63020503
5871.766390733255	17219170.857436787
5981.040962380945	17229045.495886855
6092.349152400711	17239103.903038707
6205.7288067765	17249349.498859152
6321.218475812449	17258513.164309822
6438.8574272404185	17256287.733765014
6558.685659571435	17254020.887579087
6680.743915695614	17251711.85499993
6805.073696735206	17249359.85093158
6931.717276155407	17246964.075667307
7060.717714137772	17244523.714617714
7192.118872221193	17242037.938033745
7325.96542821523	17239505.900724575
7462.302891391108	17236926.741770245
7601.17761795533	17234299.58422891
7742.636826811269	17231623.534838714
7886.728615614156	17228897.683714006
8033.501977124735	17220147.724994875
8183.00681586739	17207420.8608451
8335.293965098195	17194457.147587933
8490.415204088747	17181252.177421205
8648.423275731726	17167801.46051277
8809.37190447399	17154100.423473943
8973.31581458352	17140144.407804515
9140.310748756232	17125928.668308776
9310.413487069076	17111448.37148213
9483.681866285926	17096698.593867637
9660.174799522645	17081674.32038197
9839.952296278227	17066370.442610268
10023.075482838643	17049975.44116869
10209.606623060476	17027578.776368506
10399.609139541202	17004765.30582547
10593.1476351837	16981527.272713773
10790.287915161836	16957856.775851775
10991.097009294961	16933745.76701551
11195.643194838794	16909186.048202153
11403.99601970033	16884169.26884271
11616.22632608502	16858686.92296263
11832.40627458378	16832730.346289746
12052.609368708414	16806290.713308312
12276.910479883603	16779359.034258235
12505.385872903913	16751926.152078452
12738.113231864783	16722011.023224646
12975.171686575868	16690407.61712909
13216.641839466038	16658216.066268582
13462.60579298911	16625425.425168978
13713.147177539455	16592024.544658985
13968.351179887397	16558002.068079343
14228.30457214352	16523346.427421426
14493.09574126215	16488045.839394003
14762.81471909391	16452088.301416777
15037.553212997384	16415461.587539412
15317.404637020798	16378153.244284531
15602.46414366368	16340150.58641344
15892.828656229764	16301483.000626573
16188.596901781993	16262337.772706436
16489.86944471065	16222464.04543392
16796.74872092653	16181848.261312103
17109.339072690134	16140476.610536762
17427.746784089173	16098335.026300857
17752.08011717636	16055409.180011677
18082.44934877952	16011684.476418972
18418.96680799711	15967146.048652383
18761.746914391195	15921778.753166582
19110.90621689136	15875567.164592274
19466.56343342263	15828495.570491413
19828.83949127071	15780547.966014829
20197.857568198782	15734045.502222968
20573.743134329114	15687879.42095625
20956.623994804308	15640854.181061722
21346.630333242454	15592953.793451129
21743.8947560008	15544161.971476568
22148.55233726359	15494462.125392841
22560.74066496859	15443837.356716769
22980.599887588487	15392270.45248153
23408.272761782944	15339743.87938405
23843.904700937208	15286239.777823523
24287.643824604504	15231739.95582891
24739.64100886812	15176225.882873507
25200.049937640895	15120817.183855781
25669.027154919517	15069794.29596803
26146.732118010917	15017821.863454845
26633.327251749808	14964882.215129163
27128.978003724646	14910957.350940146
27633.852900531667	14856028.935852941
28148.123605075813	14800078.293614548
28671.964974937695	14743086.400403775
29205.55512182745	14685033.878362834
29749.075472144435	14625900.989008725
30302.71082866393	14565667.626521934
30866.649433372742	14504313.310910184
31441.08303147265	14441817.1810451
32026.206936576502	14384496.99611885
32622.220097116733	14329018.112608522
33229.325163989684	14272506.757636018
33847.72855945983	14214943.716731714
34477.640547344636	14156309.417841496
35119.275304507275	14096583.924671955
35772.850993678774	14035746.929911869
36438.58983763541	13973777.748327533
37116.71819475767	13910655.309729477
37807.466635993485	13846358.151808456
38511.070023255685	13780864.412837977
39227.76758927723	13714151.824241102
39957.803018952654	13648491.107228344
40701.42453219439	13590867.09994654
41458.88496832911	13532170.70008416
42230.441872066716	13472381.9502328
43016.35758106799	13411480.521573287
43816.89931514194	13349445.70696368
44632.33926710397	13286256.413898597
45462.95469532399	13221891.157337531
46309.02801799736	13156328.052399738
47170.84690917023	13089544.80692309
48048.704396551344	13021518.71388456
48942.89896114532	12952226.643679537
49853.73463873894	12881645.036257535
50781.5211232767	12819296.24967276
51726.57387216024	12759674.835848555
52689.21421350677	12698943.857368147
53669.76945540476	12637082.665044483
54668.57299720181	12574070.225405622
55685.96444286408	12509885.11354314
56722.28971644549	12444505.50582741
57777.90117970507	12377909.172487361
58853.1577519145	12310073.470052099
59948.42503189408	12240975.333651861
61064.07542232036	12170591.269175755
62200.48825634718	12098897.345283471
63358.04992658254	12029193.52669426
64537.15401646702	11969749.161650809
65738.20143409586	11909198.526859086
66961.60054853215	11847521.034450835
68207.76732865692	11784695.71341407
69477.1254846024	11720701.202462709
70770.10661181889	11655515.742773496
72087.15033782135	11589117.170587774
73428.70447166759	11521482.909675555
74795.22515621828	11452589.963659385
76187.17702322999	11382414.908195313
77605.0333513357	11310933.883008352
79049.2762269642	11238122.583779735
80520.39670825469	11175656.083187157
82018.8949920221	11116229.959507748
83545.28058382872	11055697.905554965
85100.07247122246	10994039.339778228
86683.79930019773	10931233.297600813
88296.99955494082	10867258.424291654
89940.22174092053	10802092.967704492
91614.0245713852	10735714.770881964
93318.9771573324	10668101.26452192
95055.65920101192	10599229.459303673
96824.66119303115	10529075.938071365
98626.5846131283	10457616.847871875
100462.04213468132	10388931.070524205
102331.65783302448	10331390.676485978
104236.06739764012	10272779.445923852
106175.9183482999	10213077.45038792
108151.87025522892	10152264.390556403
110164.59496336569	10090319.589333726
112214.77682079801	10027221.98482001
114303.11291144785	9962950.123149866
