# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	53140705.77304789
1018.6101701559753	52949148.56568306
1037.566678745186	52754026.446094565
1056.875971184804	52555273.07065935
1076.5446128423157	52352820.86108819
1096.5792912678098	52146600.98144848
1116.9868184678226	51936543.31475913
1137.7741332214914	51722576.439150095
1158.9483034398106	51504627.60357826
1180.5165285688054	51282622.70309113
1202.4861420374123	51056486.25363047
1224.8646137509306	50826141.36636688
1247.6595526308697	50591509.721556745
1270.8787092020582	50374232.889826104
1294.529978227916	50173765.628675416
1318.6214013947485	49969567.63768403
1343.1611700460153	49761569.48733477
1368.1576279674719	49549700.45601539
1393.619274224142	49333888.50597237
1419.5547660501015	49114060.25881734
1445.9729217920194	48890140.97057768
1472.882723907502	48662054.50628269
1500.2933220192183	48429723.314076856
1528.2140360258693	48193068.39885156
1556.654359271062	47952009.29538567
1585.6239617711371	47707616.95950193
1615.132693503091	47504057.180224486
1645.1905877536624	47296709.11881777
1675.807864530767	47085502.274706766
1706.9949340384078	46870364.83528874
1738.7624002162504	46651223.65151624
1771.1210643450886	46428004.213025525
1804.0819287193826	46200630.6228024
1837.6562003881704	45969025.57137624
1871.8552949655793	45733110.31053406
1906.690840512252	45492804.62654521
1942.1746814890264	45248026.81288787
1978.3188827841643	44998693.64246798
2015.1357338155585	44771522.06904055
2052.6377527092523	44563398.314298615
2090.8376905557498	44351401.34106744
2129.748535745521	44135459.06809186
2169.3835183851843	43915498.072672345
2209.756114795903	43691443.5657004
2250.880052095462	43463219.36622949
2292.7693128656488	43230747.87557272
2335.438139906479	42993950.05091841
2378.9010410788933	42752745.37845472
2423.1727942376006	42507051.845994055
2468.2684522556924	42256785.91508809
2514.2033481427966	42004493.037514605
2560.9931002584594	41797948.83560567
2608.6536176225477	41587560.81095449
2657.2011053245064	41373257.42936577
2706.652070033241	41154965.825380675
2757.0233256095826	40932611.7775018
2808.3319988231724	40706119.68295702
2860.5955351757416	40475412.53199379
2913.831704832789	40240411.88169493
2968.0586086656026	40001037.82930724
3023.2946844057765	39757208.98507371
3079.5587129142264	39508842.44456004
3136.8698245668766	39255853.760466374
3195.2475057592133	39029203.35418675
3254.711605531848	38822705.78942899
3315.282342319423	38612365.2698543
3376.9803108250912	38398110.27741961
3439.8264890229243	38179867.96311896
3503.8422452906757	37957564.12221392
3569.0493456752292	37731123.16900333
3635.4699612933177	37500468.11112321
3703.126675869927	37265520.52336859
3772.0424934169973	37026200.52102814
3842.240846055061	36782426.73272239
3913.745601980384	36534116.27273671
3986.581073580439	36285425.56279546
4060.7720257003657	36084895.6224341
4136.343684063274	35880633.78576126
4213.321743847289	35672570.60155156
4291.732378422157	35460635.32608053
4371.602248248501	35244755.89907095
4452.958509942655	35024858.9191915
4535.828825510186	34800869.619099736
4620.241371751313	34572711.84002014
4706.224849841281	34340308.00584948
4793.808495089106	34103579.09677999
4883.02208687788	33862444.622431874
4973.895958790063	33616822.59448568
5066.461008921268	33400500.301730998
5160.7487103859075	33204154.056352224
5256.791122018419	33004153.773937482
5354.620899273607	32800431.45223574
5454.271305329836	32592917.82346256
5555.7762223988775	32381542.330748226
5659.170163246242	32166233.10414769
5764.488282925873	31946916.936203964
5871.766390733255	31723519.257056832
5981.040962380945	31495964.10908832
6092.349152400711	31264174.121096265
