# Frequency (Hz)	Real Part (Ohm/m)
1000.0	16037208.545006718
1018.6101701559753	16077513.98631774
1037.566678745186	16118569.518749772
1056.875971184804	16160389.101626208
1076.5446128423157	16202986.954055825
1096.5792912678098	16246377.559767438
1116.9868184678226	16290575.672034515
1137.7741332214914	16335596.318691457
1158.9483034398106	16381454.807243215
1180.5165285688054	16428166.730070014
1202.4861420374123	16475747.969728937
1224.8646137509306	16524214.70435414
1247.6595526308697	16573583.413157627
1270.8787092020582	16613556.243121274
1294.529978227916	16644370.61917387
1318.6214013947485	16675758.45600805
1343.1611700460153	16707730.42582655
1368.1576279674719	16740297.399443591
1393.619274224142	16773470.449981106
1419.5547660501015	16807260.856633723
1445.9729217920194	16841680.10850378
1472.882723907502	16876739.908507783
1500.2933220192183	16912452.177355494
1528.2140360258693	16948829.057603117
1556.654359271062	16985882.91778189
1585.6239617711371	17023169.529701173
1615.132693503091	17043168.605244335
1645.1905877536624	17063539.866986323
1675.807864530767	17084290.24137562
1706.9949340384078	17105426.7837631
1738.7624002162504	17126956.680800922
1771.1210643450886	17148887.25288606
1804.0819287193826	17171225.956649315
1837.6562003881704	17193980.387490667
1871.8552949655793	17217158.282161787
1906.690840512252	17240767.52139659
1942.1746814890264	17264816.132590808
1978.3188827841643	17289312.29253136
2015.1357338155585	17305639.103343725
2052.6377527092523	17314779.322835915
2090.8376905557498	17324089.643368114
2129.748535745521	17333573.230549622
2169.3835183851843	17343233.308902275
2209.756114795903	17353073.162956785
2250.880052095462	17363096.13836956
2292.7693128656488	17373305.64306024
2335.438139906479	17383705.148370415
2378.9010410788933	17394298.19024396
2423.1727942376006	17405088.370429236
2468.2684522556924	17416079.357703768
2514.2033481427966	17426614.583056528
2560.9931002584594	17424683.701017648
2608.6536176225477	17422716.884935472
2657.2011053245064	17420713.46607134
2706.652070033241	17418672.76324126
2757.0233256095826	17416594.082584273
2808.3319988231724	17414476.71732655
2860.5955351757416	17412319.94754111
2913.831704832789	17410123.03990297
2968.0586086656026	17407885.24743987
3023.2946844057765	17405605.809278246
3079.5587129142264	17403283.95038459
3136.8698245668766	17400918.881301835
3195.2475057592133	17392817.594423532
3254.711605531848	17380097.2736128
3315.282342319423	17367140.225467335
3376.9803108250912	17353942.044451162
3439.8264890229243	17340498.243040536
3503.8422452906757	17326804.25019812
3569.0493456752292	17312855.40981878
3635.4699612933177	17298646.979146507
3703.126675869927	17284174.12716177
3772.0424934169973	17269431.93293896
3842.240846055061	17254415.383973192
3913.745601980384	17239119.374476016
3986.581073580439	17223036.583677717
4060.7720257003657	17200404.236787077
4136.343684063274	17177350.69806978
4213.321743847289	17153868.129074257
4291.732378422157	17129948.545474026
4371.602248248501	17105583.814352937
4452.958509942655	17080765.651439875
4535.828825510186	17055485.61829204
4620.241371751313	17029735.119425785
4706.224849841281	17003505.399394017
4793.808495089106	16976787.53980932
4883.02208687788	16949572.45631155
4973.895958790063	16921850.895479076
5066.461008921268	16891721.550867986
5160.7487103859075	16859690.85192318
5256.791122018419	16827064.056220792
