Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	1.574491392073654197e+07	4.384691715441648662e+07
1.032794731918951654e-10	1.574487075034779683e+07	4.384685202773459256e+07
1.066664958279539403e-10	1.574482616419772618e+07	4.384678476524062455e+07
1.101645949633656381e-10	1.574478011585681513e+07	4.384671529689119756e+07
1.137774133221491146e-10	1.574473255737291090e+07	4.384664355034586787e+07
1.175087130904807540e-10	1.574468343922127597e+07	4.384656945089182258e+07
1.213623798344240958e-10	1.574463271025302261e+07	4.384649292136605084e+07
1.253424265461399975e-10	1.574458031764185987e+07	4.384641388207499683e+07
1.294529978227915867e-10	1.574452620682905614e+07	4.384633225071157515e+07
1.336983741824946476e-10	1.574447032146665454e+07	4.384624794226947427e+07
1.380829765218092491e-10	1.574441260335877351e+07	4.384616086895462126e+07
1.426113707194128486e-10	1.574435299240101874e+07	4.384607094009374827e+07
1.472882723907502473e-10	1.574429142651788145e+07	4.384597806203999370e+07
1.521185517986104510e-10	1.574422784159811586e+07	4.384588213807535917e+07
1.571072389247450498e-10	1.574416217142795026e+07	4.384578306831002980e+07
1.622595287078087593e-10	1.574409434762215987e+07	4.384568074957829714e+07
1.675807864530767868e-10	1.574402429955283925e+07	4.384557507533118874e+07
1.730765534195724819e-10	1.574395195427586697e+07	4.384546593552546948e+07
1.787525525904235329e-10	1.574387723645492643e+07	4.384535321650908887e+07
1.846146946324547531e-10	1.574380006828308292e+07	4.384523680090278387e+07
1.906690840512252406e-10	1.574372036940172873e+07	4.384511656747787446e+07
1.969220255479172543e-10	1.574363805681692623e+07	4.384499239103002846e+07
2.033800305846981002e-10	1.574355304481297173e+07	4.384486414224886894e+07
2.100498241653915480e-10	1.574346524486313760e+07	4.384473168758330494e+07
2.169383518385184289e-10	1.574337456553748809e+07	4.384459488910249621e+07
2.240527869300018610e-10	1.574328091240766086e+07	4.384445360435218364e+07
2.314005380130653023e-10	1.574318418794854730e+07	4.384430768620636314e+07
2.389892566231049743e-10	1.574308429143672995e+07	4.384415698271405697e+07
2.468268452255692806e-10	1.574298111884558760e+07	4.384400133694113046e+07
2.549214654451423314e-10	1.574287456273697503e+07	4.384384058680680394e+07
2.632815465648021228e-10	1.574276451214934699e+07	4.384367456491491944e+07
2.719157943036017723e-10	1.574265085248219967e+07	4.384350309837959707e+07
2.808331998823172083e-10	1.574253346537673846e+07	4.384332600864521414e+07
2.900430493863991314e-10	1.574241222859262303e+07	4.384314311130046844e+07
2.995549334359813486e-10	1.574228701588067599e+07	4.384295421588632464e+07
3.093787571730138678e-10	1.574215769685140625e+07	4.384275912569772452e+07
3.195247505759212065e-10	1.574202413683923893e+07	4.384255763757868111e+07
3.300034791125284578e-10	1.574188619676227681e+07	4.384234954171079397e+07
3.408258547423451742e-10	1.574174373297747225e+07	4.384213462139470875e+07
