# Frequency (Hz)	Real Part (Ohm/m)
1000.0	5250895.860939673
1018.6101701559753	5267574.079816213
1037.566678745186	5284562.683183946
1056.875971184804	5301867.447351063
1076.5446128423157	5319494.256123838
1096.5792912678098	5337449.102807184
1116.9868184678226	5355738.092242429
1137.7741332214914	5374367.442883046
1158.9483034398106	5393343.48890898
1180.5165285688054	5412672.682380346
1202.4861420374123	5432361.595431189
1224.8646137509306	5452416.922504095
1247.6595526308697	5472845.482626363
1270.8787092020582	5489680.849300993
1294.529978227916	5503014.971254588
1318.6214013947485	5516597.2434866205
1343.1611700460153	5530432.284115995
1368.1576279674719	5544524.797205599
1393.619274224142	5558879.574361724
1419.5547660501015	5573501.496363277
1445.9729217920194	5588395.534821285
1472.882723907502	5603566.753869306
1500.2933220192183	5619020.311885285
1528.2140360258693	5634761.463245456
1556.654359271062	5650795.560110892
1585.6239617711371	5666947.736996139
1615.132693503091	5676302.92966753
1645.1905877536624	5685832.224066376
1675.807864530767	5695538.860255451
1706.9949340384078	5705426.138595648
1738.7624002162504	5715497.420868135
1771.1210643450886	5725756.131417402
1804.0819287193826	5736205.758315572
1837.6562003881704	5746849.854548383
1871.8552949655793	5757692.0392232435
1906.690840512252	5768735.998799765
1942.1746814890264	5779985.488343202
1978.3188827841643	5791444.33280121
2015.1357338155585	5799626.650700777
2052.6377527092523	5804930.603101358
2090.8376905557498	5810333.262958611
2129.748535745521	5815836.467235105
2169.3835183851843	5821442.087079587
2209.756114795903	5827152.028463204
2250.880052095462	5832968.232827551
2292.7693128656488	5838892.67774478
2335.438139906479	5844927.377589999
2378.9010410788933	5851074.384226178
2423.1727942376006	5857335.787701805
2468.2684522556924	5863713.716961529
2514.2033481427966	5869935.775327278
2560.9931002584594	5871008.50568995
2608.6536176225477	5872101.199747203
2657.2011053245064	5873214.229026791
2706.652070033241	5874347.971970659
2757.0233256095826	5875502.814063625
2808.3319988231724	5876679.147964447
2860.5955351757416	5877877.373639322
2913.831704832789	5879097.898497892
2968.0586086656026	5880341.137531759
3023.2946844057765	5881607.513455591
3079.5587129142264	5882897.456850847
3136.8698245668766	5884211.406312181
3195.2475057592133	5883098.064878732
3254.711605531848	5880039.433440809
3315.282342319423	5876923.88035138
3376.9803108250912	5873750.346288829
3439.8264890229243	5870517.752217378
3503.8422452906757	5867224.9990202105
3569.0493456752292	5863870.967125762
3635.4699612933177	5860454.516127051
3703.126675869927	5856974.484393923
3772.0424934169973	5853429.688678094
3842.240846055061	5849818.923710825
3913.745601980384	5846140.961793121
3986.581073580439	5842165.240238357
4060.7720257003657	5835261.114723655
4136.343684063274	5828228.502258346
4213.321743847289	5821065.011678416
4291.732378422157	5813768.207319885
4371.602248248501	5806335.608190644
4452.958509942655	5798764.6871269075
4535.828825510186	5791052.869933938
4620.241371751313	5783197.534510795
4706.224849841281	5775196.009958796
4793.808495089106	5767045.575673376
4883.02208687788	5758743.46041906
4973.895958790063	5750286.841387206
5066.461008921268	5740664.352119904
5160.7487103859075	5730148.140375354
5256.791122018419	5719436.220140844
5354.620899273607	5708524.94924807
5454.271305329836	5697410.617747364
5555.7762223988775	5686089.44664626
5659.170163246242	5674557.586624601
5764.488282925873	5662811.116725722
5871.766390733255	5650846.043023294
5981.040962380945	5638658.2972633345
6092.349152400711	5626243.735480965
6205.7288067765	5613598.136591414
6321.218475812449	5600681.71762595
6438.8574272404185	5587202.610560706
6558.685659571435	5573472.655019424
6680.743915695614	5559487.1826692885
6805.073696735206	5545241.438299003
6931.717276155407	5530730.578201988
7060.717714137772	5515949.668529458
7192.118872221193	5500893.6836128635
7325.96542821523	5485557.504255105
7462.302891391108	5469935.915989955
7601.17761795533	5454023.607309084
7742.636826811269	5437815.167856089
7886.728615614156	5421305.086586909
8033.501977124735	5405069.198433935
8183.00681586739	5388902.418828397
8335.293965098195	5372434.772703525
8490.415204088747	5355660.660882201
8648.423275731726	5338574.379985667
8809.37190447399	5321170.120494315
8973.31581458352	5303441.964772392
9140.310748756232	5285383.885055931
9310.413487069076	5266989.7414032575
9483.681866285926	5248253.279607332
9660.174799522645	5229168.129069266
9839.952296278227	5209727.800632234
10023.075482838643	5190193.1727657225
10209.606623060476	5172184.783663815
10399.609139541202	5153841.255376488
10593.1476351837	5135156.350906472
10790.287915161836	5116123.717184921
10991.097009294961	5096736.882911296
11195.643194838794	5076989.25635305
11403.99601970033	5056874.123104381
11616.22632608502	5036384.643803244
11832.40627458378	5015513.851805906
12052.609368708414	4994254.650818208
12276.910479883603	4972599.812482745
12505.385872903913	4950541.973921163
12738.113231864783	4930117.417204777
12975.171686575868	4910485.665645272
13216.641839466038	4890488.563848783
13462.60579298911	4870119.312585235
13713.147177539455	4849370.986089722
13968.351179887397	4828236.529707678
14228.30457214352	4806708.75749621
14493.09574126215	4784780.349780806
14762.81471909391	4762443.850666567
15037.553212997384	4739691.665503126
15317.404637020798	4716516.058302373
15602.46414366368	4692909.149108146
15892.828656229764	4669473.903539546
16188.596901781993	4649096.91405349
16489.86944471065	4628340.705325834
16796.74872092653	4607198.220021964
17109.339072690134	4585662.269469069
17427.746784089173	4563725.531211914
17752.08011717636	4541380.546523122
18082.44934877952	4518619.7178671425
18418.96680799711	4495435.306316985
18761.746914391195	4471819.428922912
19110.90621689136	4447764.056032153
19466.56343342263	4423261.008558729
19828.83949127071	4398301.955202486
20197.857568198782	4376056.02043759
20573.743134329114	4355029.852879729
20956.623994804308	4333612.3847658895
21346.630333242454	4311796.333926138
21743.8947560008	4289574.28266813
22148.55233726359	4266938.675254995
22560.74066496859	4243881.815336318
22980.599887588487	4220395.863331292
23408.272761782944	4196472.833763175
23843.904700937208	4172104.5925441505
24287.643824604504	4147282.85420964
24739.64100886812	4121999.1791011556
25200.049937640895	4097171.4897877946
25669.027154919517	4076290.1253158515
26146.732118010917	4055020.1550979996
26633.327251749808	4033354.3471151805
27128.978003724646	4011285.334759234
27633.852900531667	3988805.6143281697
28148.123605075813	3965907.5424748217
28671.964974937695	3942583.333608042
29205.55512182745	3918825.0572454976
29749.075472144435	3894624.6353172306
30302.71082866393	3869973.839419038
30866.649433372742	3844864.2880146946
31441.08303147265	3819287.443586178
32026.206936576502	3797132.418088572
32622.220097116733	3776353.2154563987
33229.325163989684	3755187.3083275394
33847.72855945983	3733627.500065502
34477.640547344636	3711666.4601031803
35119.275304507275	3689296.7214503577
35772.850993678774	3666510.678154858
36438.58983763541	3643300.582716454
37116.71819475767	3619658.5434525986
37807.466635993485	3595576.5218152115
38511.070023255685	3571046.3296574536
39227.76758927723	3546059.626449677
39957.803018952654	3521775.5549158948
40701.42453219439	3501753.4079898684
41458.88496832911	3481358.6455026628
42230.441872066716	3460584.3330152803
43016.35758106799	3439423.4070376316
43816.89931514194	3417868.6726268833
44632.33926710397	3395912.8009410836
45462.95469532399	3373548.326747289
46309.02801799736	3350767.645883298
47170.84690917023	3327563.012672157
48048.704396551344	3303926.537288553
48942.89896114532	3279850.1830761717
49853.73463873894	3255325.763815163
50781.5211232767	3234567.8459340893
51726.57387216024	3215143.3714429075
52689.21421350677	3195357.404176257
53669.76945540476	3175203.2166920733
54668.57299720181	3154673.956349454
55685.96444286408	3133762.6429786817
56722.28971644549	3112462.1665078914
57777.90117970507	3090765.2845455795
58853.1577519145	3068664.619918095
59948.42503189408	3046152.658161333
61064.07542232036	3023221.744965732
62200.48825634718	2999864.083573727
63358.04992658254	2977388.0245726868
64537.15401646702	2959069.6068682745
65738.20143409586	2940410.280293395
66961.60054853215	2921403.7004759605
68207.76732865692	2902043.4049740387
69477.1254846024	2882322.811078558
70770.10661181889	2862235.2135751056
72087.15033782135	2841773.7824640893
73428.70447166759	2820931.560638462
74795.22515621828	2799701.4615182295
76187.17702322999	2778076.2666409435
77605.0333513357	2756048.6232073344
79049.2762269642	2733611.0415812912
80520.39670825469	2714988.2430405268
82018.8949920221	2697539.2435741033
83545.28058382872	2679765.515258561
85100.07247122246	2661661.0148347593
86683.79930019773	2643219.5865774825
88296.99955494082	2624434.9602024183
89940.22174092053	2605300.7487341953
91614.0245713852	2585810.4463347504
93318.9771573324	2565957.4260912607
95055.65920101192	2545734.9377629296
96824.66119303115	2525136.105485831
98626.5846131283	2504153.9254350387
100462.04213468132	2484157.9925686256
102331.65783302448	2467958.403476142
104236.06739764012	2451457.3372741896
106175.9183482999	2434649.183422464
108151.87025522892	2417528.226967548
110164.59496336569	2400088.6465997747
112214.77682079801	2382324.512673909
114303.11291144785	2364229.7851930084
116430.31329208757	2345798.311754763
118597.10123376705	2327023.825459604
120804.21346773289	2307899.9427799038
123052.40043592616	2288420.1613894906
125342.42654613995	2268577.8579528015
127675.07043192645	2252389.7917184383
130051.12521734099	2237165.2835942023
132471.39878661174	2221657.444783235
134936.71405883064	2205861.0024532443
137447.90926775365	2189770.5856436333
140005.8382468096	2173380.723439315
142611.37071941295	2156685.843110539
145265.39259467812	2139680.268218113
147968.80626863963	2122358.2166833393
150722.53093107554	2104713.7988220523
153527.5028780421	2086741.0153420637
156384.67583022476	2068433.7553033342
159295.0212572123	2051151.1055682274
162259.5287078087	2037179.6409346443
165279.2061464897	2022948.1649669008
168355.08029612005	2008451.83880983
171488.19698705408	1993685.7335563363
174679.62151272455	1978644.8285715359
177930.43899185772	1963324.009785668
181241.75473742394	1947718.067955265
184614.69463245454	1931821.6968919572
188050.40551285836	1915629.4916582953
191550.0555573528	1899135.9467300358
195114.83468466165	1882335.4541241867
198745.9549580986	1865222.3014922366
202444.65099768018	1851475.1459121422
206212.18039991445	1838475.5767437282
210049.8241653915	1825234.0833811369
213958.88713434213	1811746.1635739487
217940.6984302958	1798007.2312840968
221996.61191199525	1784012.6151265725
226128.00663372793	1769757.5567810861
230336.2873142131	1755237.2093742082
234622.88481422624	1740446.6358313647
238989.25662310526	1725380.8071981827
243436.8873543108	1710034.6009305995
247967.289250216	1694402.7991531247
252582.00269627848	1679782.1468804465
257282.59674479323	1667955.6985037907
262070.66964838552	1655909.1579105037
266947.8494034318	1643638.429146987
271915.7943036019	1631139.340033241
276976.1935036891	1618407.6407442947
282130.76759394706	1605439.0023652066
287381.2691851069	1592229.0154191907
292729.4835042813	1578773.1883683542
