# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	21178158.225696906
1018.6101701559753	21106567.312945534
1037.566678745186	21033644.081126224
1056.875971184804	20959363.73555445
1076.5446128423157	20883701.020112325
1096.5792912678098	20806630.208661366
1116.9868184678226	20728125.096295252
1137.7741332214914	20648158.99042988
1158.9483034398106	20566704.701727647
1180.5165285688054	20483734.53485273
1202.4861420374123	20399220.279054403
1224.8646137509306	20313133.198575065
1247.6595526308697	20225444.022879772
1270.8787092020582	20144190.516001984
1294.529978227916	20069169.979654256
1318.6214013947485	19992753.29835991
1343.1611700460153	19914914.489623915
1368.1576279674719	19835627.087412607
1393.619274224142	19754864.133154925
1419.5547660501015	19672598.1665762
1445.9729217920194	19588801.21636141
1472.882723907502	19503444.790644567
1500.2933220192183	19416499.867321223
1528.2140360258693	19327936.884180643
1556.654359271062	19237725.72885428
1585.6239617711371	19146261.120542124
1615.132693503091	19069838.4568323
1645.1905877536624	18991993.554347064
1675.807864530767	18912699.944980808
1706.9949340384078	18831930.668051958
1738.7624002162504	18749658.26113609
1771.1210643450886	18665854.75072837
1804.0819287193826	18580491.642732304
1837.6562003881704	18493539.912771385
1871.8552949655793	18404969.99632053
1906.690840512252	18314751.778653834
1942.1746814890264	18222854.584605183
1978.3188827841643	18129247.168138437
2015.1357338155585	18043756.625958104
2052.6377527092523	17965236.91045849
2090.8376905557498	17885255.92969284
2129.748535745521	17803786.489265885
2169.3835183851843	17720800.888690077
2209.756114795903	17636270.911967058
2250.880052095462	17550167.817993943
2292.7693128656488	17462462.330791038
2335.438139906479	17373124.629547667
2378.9010410788933	17282124.338482812
2423.1727942376006	17189430.516516995
2468.2684522556924	17095011.646751992
2514.2033481427966	16999803.506358545
2560.9931002584594	16921383.81085699
2608.6536176225477	16841504.711478572
2657.2011053245064	16760139.048468817
2706.652070033241	16677259.156625595
2757.0233256095826	16592836.855892666
2808.3319988231724	16506843.441778133
2860.5955351757416	16419249.675594637
2913.831704832789	16330025.77451786
2968.0586086656026	16239141.40146007
3023.2946844057765	16146565.654755156
3079.5587129142264	16052267.05765174
3136.8698245668766	15956213.547610765
3195.2475057592133	15869832.789597645
3254.711605531848	15790840.599758644
3315.282342319423	15710378.351825751
3376.9803108250912	15628418.68776769
3439.8264890229243	15544933.740415586
3503.8422452906757	15459895.123987794
3569.0493456752292	15373273.924438456
3635.4699612933177	15285040.689626388
3703.126675869927	15195165.419301048
3772.0424934169973	15103617.554902151
3842.240846055061	15010365.969169362
3913.745601980384	14915378.955558779
3986.581073580439	14820198.776117839
4060.7720257003657	14742846.954932839
4136.343684063274	14664055.603193715
4213.321743847289	14583797.930991907
4291.732378422157	14502046.649854103
4371.602248248501	14418773.963463858
4452.958509942655	14333951.558210537
4535.828825510186	14247550.593562417
4620.241371751313	14159541.692260556
4706.224849841281	14069894.930330222
4793.808495089106	13978579.826906443
4883.02208687788	13885565.333870122
4973.895958790063	13790819.825291436
5066.461008921268	13706985.954297302
5160.7487103859075	13630573.702776697
5256.791122018419	13552739.40625329
5354.620899273607	13473456.600227607
5454.271305329836	13392698.327691346
5555.7762223988775	13310437.129961688
5659.170163246242	13226645.037345046
5764.488282925873	13141293.559627078
5871.766390733255	13054353.676385714
5981.040962380945	12965795.827123884
6092.349152400711	12875589.901218655
6205.7288067765	12783705.22768325
6321.218475812449	12692281.21010846
6438.8574272404185	12618872.743142458
6558.685659571435	12544098.132115327
6680.743915695614	12467931.952853637
6805.073696735206	12390348.30803576
6931.717276155407	12311320.818386495
7060.717714137772	12230822.613707861
7192.118872221193	12148826.323742904
7325.96542821523	12065304.068869542
7462.302891391108	11980227.450621182
7601.17761795533	11893567.542030916
7742.636826811269	11805294.877796091
7886.728615614156	11715379.44425973
8033.501977124735	11637133.060697058
8183.00681586739	11565949.76008878
8335.293965098195	11493441.72614391
8490.415204088747	11419584.305349655
8648.423275731726	11344352.385387138
8809.37190447399	11267720.386592956
8973.31581458352	11189662.253261827
9140.310748756232	11110151.444787338
9310.413487069076	11029160.926637908
9483.681866285926	10946663.161164694
9660.174799522645	10862630.098238537
9839.952296278227	10777033.165712595
10023.075482838643	10692519.644854488
10209.606623060476	10625341.734255373
10399.609139541202	10556913.631309293
10593.1476351837	10487212.069723938
10790.287915161836	10416213.350217342
10991.097009294961	10343893.332459867
11195.643194838794	10270227.426866239
11403.99601970033	10195190.586234828
11616.22632608502	10118757.297231296
11832.40627458378	10040901.571713831
12052.609368708414	9961596.937896868
12276.910479883603	9880816.431350404
12505.385872903913	9798532.585831834
12738.113231864783	9728107.369108725
12975.171686575868	9664055.906304814
13216.641839466038	9598812.434879381
13462.60579298911	9532354.771349147
13713.147177539455	9464660.319392454
13968.351179887397	9395706.062166234
14228.30457214352	9325468.554480052
14493.09574126215	9253923.914824503
14762.81471909391	9181047.817251202
15037.553212997384	9106815.48310177
15317.404637020798	9031201.672582742
15602.46414366368	8954180.676183812
15892.828656229764	8878756.008925742
16188.596901781993	8819255.169331906
16489.86944471065	8758647.008988816
16796.74872092653	8696910.920468897
17109.339072690134	8634025.91283686
17427.746784089173	8569970.604512531
17752.08011717636	8504723.216000887
18082.44934877952	8438261.56248681
18418.96680799711	8370563.046291995
18761.746914391195	8301604.649191485
19110.90621689136	8231362.924587251
19466.56343342263	8159813.989536075
19828.83949127071	8086933.516629126
20197.857568198782	8025553.869112538
20573.743134329114	7969642.433089519
20956.623994804308	7912690.475728446
21346.630333242454	7854678.632750159
21743.8947560008	7795587.179502996
22148.55233726359	7735396.024256137
22560.74066496859	7674084.701368249
22980.599887588487	7611632.364328929
23408.272761782944	7548017.778670664
23843.904700937208	7483219.314748901
24287.643824604504	7417214.94038771
24739.64100886812	7349982.213388617
25200.049937640895	7284701.475652334
25669.027154919517	7233446.664011388
26146.732118010917	7181237.991604495
26633.327251749808	7128057.706920492
