Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	1.184205031261370704e+07	2.890345419274198636e+07
1.032794731918951654e-10	1.184201147392286547e+07	2.890340248633110896e+07
1.066664958279539403e-10	1.184197136152757145e+07	2.890334908422234654e+07
1.101645949633656381e-10	1.184192993365702592e+07	2.890329393080574274e+07
1.137774133221491146e-10	1.184188714717057161e+07	2.890323696864763275e+07
1.175087130904807540e-10	1.184184295751276426e+07	2.890317813843081146e+07
1.213623798344240958e-10	1.184179731866697595e+07	2.890311737889280543e+07
1.253424265461399975e-10	1.184175018310747482e+07	2.890305462676203251e+07
1.294529978227915867e-10	1.184170150174993649e+07	2.890298981669196114e+07
1.336983741824946476e-10	1.184165122390032932e+07	2.890292288119301200e+07
1.380829765218092491e-10	1.184159929720211960e+07	2.890285375056232139e+07
1.426113707194128486e-10	1.184154566758176498e+07	2.890278235281112790e+07
1.472882723907502473e-10	1.184149027919238806e+07	2.890270861358982697e+07
1.521185517986104510e-10	1.184143307435562834e+07	2.890263245611052588e+07
1.571072389247450498e-10	1.184137399350158498e+07	2.890255380106711015e+07
1.622595287078087593e-10	1.184131297510676831e+07	2.890247256655263156e+07
1.675807864530767868e-10	1.184124995563005470e+07	2.890238866797403246e+07
1.730765534195724819e-10	1.184118486944649555e+07	2.890230201796403527e+07
1.787525525904235329e-10	1.184111764877899550e+07	2.890221252629018947e+07
1.846146946324547531e-10	1.184104822362772375e+07	2.890212009976089373e+07
1.906690840512252406e-10	1.184097652169722877e+07	2.890202464212834463e+07
1.969220255479172543e-10	1.184090246832114458e+07	2.890192605398833007e+07
2.033800305846981002e-10	1.184082598638444394e+07	2.890182423267668858e+07
2.100498241653915480e-10	1.184074699624313414e+07	2.890171907216243446e+07
2.169383518385184289e-10	1.184066541564131528e+07	2.890161046293730289e+07
2.240527869300018610e-10	1.184058115962552838e+07	2.890149829190174490e+07
2.314005380130653023e-10	1.184049414045629092e+07	2.890138244224715605e+07
2.389892566231049743e-10	1.184040426751672849e+07	2.890126279333419725e+07
2.468268452255692806e-10	1.184031144721820578e+07	2.890113922056721151e+07
2.549214654451423314e-10	1.184021558290287666e+07	2.890101159526446089e+07
2.632815465648021228e-10	1.184011657474302500e+07	2.890087978452412412e+07
2.719157943036017723e-10	1.184001431963711418e+07	2.890074365108589083e+07
2.808331998823172083e-10	1.183990871110241860e+07	2.890060305318804458e+07
2.900430493863991314e-10	1.183979963916413672e+07	2.890045784441983327e+07
2.995549334359813486e-10	1.183968699024087936e+07	2.890030787356899306e+07
3.093787571730138678e-10	1.183957064702638425e+07	2.890015298446430638e+07
3.195247505759212065e-10	1.183945048836735822e+07	2.889999301581295207e+07
3.300034791125284578e-10	1.183932638913732208e+07	2.889982780103256181e+07
3.408258547423451742e-10	1.183919822010630555e+07	2.889965716807774082e+07
3.520031472796679687e-10	1.183906584780627489e+07	2.889948093926091120e+07
3.635469961293320139e-10	1.183892913439215347e+07	2.889929893106727302e+07
3.754694224073336536e-10	1.183878793749826588e+07	2.889911095396372303e+07
3.877828414589456106e-10	1.183864211009009555e+07	2.889891681220144778e+07
4.005000757873611052e-10	1.183849150031116791e+07	2.889871630361212790e+07
4.136343684063274911e-10	1.183833595132491365e+07	2.889850921939737722e+07
4.271993966306778827e-10	1.183817530115135759e+07	2.889829534391131625e+07
4.412092863191189219e-10	1.183800938249842636e+07	2.889807445443602651e+07
4.556786265841064474e-10	1.183783802258775011e+07	2.889784632094961032e+07
4.706224849841281415e-10	1.183766104297474399e+07	2.889761070588666573e+07
4.860564232142136024e-10	1.183747825936277397e+07	2.889736736389089748e+07
