# Frequency (Hz)	Real Part (Ohm/m)
1000.0	9417913.966101361
1018.6101701559753	9456222.614016453
1037.566678745186	9495244.192387693
1056.875971184804	9534991.968972174
1076.5446128423157	9575479.458442217
1096.5792912678098	9616720.426980484
1116.9868184678226	9658728.896960644
1137.7741332214914	9701519.151715128
1158.9483034398106	9745105.74039161
1180.5165285688054	9789503.48289988
1202.4861420374123	9834727.47495077
1224.8646137509306	9880793.09318886
1247.6595526308697	9927716.000420703
1270.8787092020582	9968170.893717645
1294.529978227916	10002330.837782344
1318.6214013947485	10037126.5042186
1343.1611700460153	10072569.723927932
1368.1576279674719	10108672.54798693
1393.619274224142	10145447.251744771
1419.5547660501015	10182906.338996986
1445.9729217920194	10221062.546236852
1472.882723907502	10259928.846985957
1500.2933220192183	10299518.456205338
1528.2140360258693	10339844.834788699
1556.654359271062	10380921.694139274
1585.6239617711371	10422413.739954839
1615.132693503091	10450930.486163354
1645.1905877536624	10479977.933871098
1675.807864530767	10509565.959523287
1706.9949340384078	10539704.62336744
1738.7624002162504	10570404.172874002
1771.1210643450886	10601675.046220597
1804.0819287193826	10633527.875841103
1837.6562003881704	10665973.492040789
1871.8552949655793	10699022.926678767
1906.690840512252	10732687.41691892
1942.1746814890264	10766978.409050655
1978.3188827841643	10801907.562380778
2015.1357338155585	10830311.450021332
2052.6377527092523	10853012.66509244
2090.8376905557498	10876136.353638766
2129.748535745521	10899690.377963578
2169.3835183851843	10923682.746688927
2209.756114795903	10948121.617478702
2250.880052095462	10973015.299812295
2292.7693128656488	10998372.257809924
2335.438139906479	11024201.113110524
2378.9010410788933	11050510.647803204
2423.1727942376006	11077309.807413243
2468.2684522556924	11104607.703943659
2514.2033481427966	11131802.981214773
2560.9931002584594	11147794.64751847
2608.6536176225477	11164083.921453157
2657.2011053245064	11180676.341547485
2706.652070033241	11197577.549403068
2757.0233256095826	11214793.291612683
2808.3319988231724	11232329.421714185
2860.5955351757416	11250191.902180746
2913.831704832789	11268386.806448203
2968.0586086656026	11286920.320980048
3023.2946844057765	11305798.747370917
3079.5587129142264	11325028.504489198
3136.8698245668766	11344616.13065951
3195.2475057592133	11358479.919772599
3254.711605531848	11367822.468872715
3315.282342319423	11377338.88440127
3376.9803108250912	11387032.402042089
3439.8264890229243	11396906.317695612
3503.8422452906757	11406963.988599554
3569.0493456752292	11417208.834470393
3635.4699612933177	11427644.338666104
3703.126675869927	11438274.049370566
3772.0424934169973	11449101.580799948
3842.240846055061	11460130.6144316
3913.745601980384	11471364.900255788
3986.581073580439	11482131.237955011
4060.7720257003657	11484670.577146064
4136.343684063274	11487257.173871541
4213.321743847289	11489891.907602206
4291.732378422157	11492575.674175914
4371.602248248501	11495309.386102218
4452.958509942655	11498093.97287263
4535.828825510186	11500930.381276648
4620.241371751313	11503819.5757237
4706.224849841281	11506762.538571026
4793.808495089106	11509760.270457704
4883.02208687788	11512813.790644877
4973.895958790063	11515924.137362303
5066.461008921268	11514931.925877543
5160.7487103859075	11510973.038026461
5256.791122018419	11506940.474598842
5354.620899273607	11502832.864479668
5454.271305329836	11498648.811037244
5555.7762223988775	11494386.891648315
5659.170163246242	11490045.657214368
5764.488282925873	11485623.631668918
5871.766390733255	11481119.31147563
5981.040962380945	11476531.16511711
6092.349152400711	11471857.63257416
6205.7288067765	11467097.12479535
6321.218475812449	11461754.819410494
6438.8574272404185	11451833.097052855
6558.685659571435	11441726.729753906
6680.743915695614	11431432.281239867
6805.073696735206	11420946.251287311
6931.717276155407	11410265.074533084
7060.717714137772	11399385.119261995
7192.118872221193	11388302.686172022
7325.96542821523	11377014.007116498
7462.302891391108	11365515.243822915
7601.17761795533	11353802.486587858
7742.636826811269	11341871.752947658
7886.728615614156	11329718.986324335
8033.501977124735	11315633.200609066
8183.00681586739	11300195.431236718
8335.293965098195	11284470.362349521
8490.415204088747	11268452.647254616
8648.423275731726	11252136.839756286
8809.37190447399	11235517.392304184
8973.31581458352	11218588.6541071
9140.310748756232	11201344.869211638
9310.413487069076	11183780.17454514
9483.681866285926	11165888.59792216
9660.174799522645	11147664.056013867
9839.952296278227	11129100.352279648
10023.075482838643	11110107.539194865
10209.606623060476	11090170.388144819
10399.609139541202	11069862.203321308
10593.1476351837	11049176.079722676
10790.287915161836	11028104.983844003
10991.097009294961	11006641.751285654
11195.643194838794	10984779.084317297
11403.99601970033	10962509.549396595
11616.22632608502	10939825.574641725
11832.40627458378	10916719.447256856
12052.609368708414	10893183.310909705
12276.910479883603	10869209.163060317
12505.385872903913	10844788.852240114
12738.113231864783	10820746.250618631
12975.171686575868	10796733.790658949
13216.641839466038	10772274.454733554
13462.60579298911	10747359.926404681
13713.147177539455	10721981.734464256
13968.351179887397	10696131.250053568
14228.30457214352	10669799.683729382
14493.09574126215	10642978.082475433
14762.81471909391	10615657.326658286
15037.553212997384	10587828.126926595
15317.404637020798	10559481.021052593
15602.46414366368	10530606.370714845
15892.828656229764	10501654.343779167
16188.596901781993	10474794.266561849
16489.86944471065	10447434.318737116
16796.74872092653	10419565.197627904
17109.339072690134	10391177.427432753
17427.746784089173	10362261.356003923
17752.08011717636	10332807.151565555
18082.44934877952	10302804.799370786
18418.96680799711	10272244.09829659
18761.746914391195	10241114.65737532
19110.90621689136	10209405.892261643
19466.56343342263	10177107.021633761
19828.83949127071	10144207.063527653
20197.857568198782	10113749.458008152
20573.743134329114	10084295.56669774
20956.623994804308	10054293.533458285
21346.630333242454	10023733.15727522
21743.8947560008	9992604.047291355
22148.55233726359	9960895.619273892
22560.74066496859	9928597.092015643
22980.599887588487	9895697.48366933
23408.272761782944	9862185.608013624
23843.904700937208	9828050.070649724
24287.643824604504	9793279.265127115
24739.64100886812	9757861.36899727
25200.049937640895	9722807.73975113
25669.027154919517	9691971.086402398
26146.732118010917	9660560.557687804
26633.327251749808	9628565.473689143
27128.978003724646	9595974.955733115
27633.852900531667	9562777.922692453
28148.123605075813	9528963.087218223
28671.964974937695	9494518.95190203
29205.55512182745	9459433.805366725
29749.075472144435	9423695.718284449
30302.71082866393	9387292.539320529
30866.649433372742	9350211.891001862
31441.08303147265	9312441.1655085
32026.206936576502	9278693.711657325
32622.220097116733	9246486.36683501
33229.325163989684	9213679.637845282
33847.72855945983	9180262.370046789
34477.640547344636	9146223.201208422
35119.275304507275	9111550.557646006
35772.850993678774	9076232.65028713
36438.58983763541	9040257.470662761
37116.71819475767	9003612.786824185
37807.466635993485	8966286.139184063
38511.070023255685	8928264.836280007
39227.76758927723	8889535.950459352
39957.803018952654	8851604.659851875
