Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	2.960820033599492628e+06	7.226249714401900768e+06
1.032794731918951654e-10	2.960819771502115764e+06	7.226249389527786523e+06
1.066664958279539403e-10	2.960819500809326302e+06	7.226249053999513388e+06
1.101645949633656381e-10	2.960819221239238512e+06	7.226248707467680797e+06
1.137774133221491146e-10	2.960818932500725612e+06	7.226248349571428262e+06
1.175087130904807540e-10	2.960818634293109644e+06	7.226247979938064702e+06
1.213623798344240958e-10	2.960818326305855531e+06	7.226247598182674497e+06
1.253424265461399975e-10	2.960818008218241390e+06	7.226247203907717951e+06
1.294529978227915867e-10	2.960817679699029308e+06	7.226246796702619642e+06
1.336983741824946476e-10	2.960817340406118426e+06	7.226246376143340021e+06
1.380829765218092491e-10	2.960816989986186847e+06	7.226245941791932099e+06
1.426113707194128486e-10	2.960816628074327484e+06	7.226245493196085095e+06
1.472882723907502473e-10	2.960816254293666221e+06	7.226245029888657853e+06
1.521185517986104510e-10	2.960815868254967965e+06	7.226244551387188025e+06
1.571072389247450498e-10	2.960815469556233846e+06	7.226244057193391025e+06
1.622595287078087593e-10	2.960815057782282121e+06	7.226243546792639419e+06
1.675807864530767868e-10	2.960814632504313719e+06	7.226243019653433934e+06
1.730765534195724819e-10	2.960814193279468920e+06	7.226242475226839073e+06
1.787525525904235329e-10	2.960813739650362637e+06	7.226241912945918739e+06
1.846146946324547531e-10	2.960813271144611295e+06	7.226241332225146703e+06
1.906690840512252406e-10	2.960812787274339702e+06	7.226240732459794730e+06
1.969220255479172543e-10	2.960812287535672076e+06	7.226240113025296479e+06
2.033800305846981002e-10	2.960811771408209112e+06	7.226239473276611418e+06
2.100498241653915480e-10	2.960811238354484085e+06	7.226238812547538429e+06
2.169383518385184289e-10	2.960810687819404993e+06	7.226238130150033161e+06
2.240527869300018610e-10	2.960810119229675736e+06	7.226237425373484381e+06
2.314005380130653023e-10	2.960809531993198674e+06	7.226236697483977303e+06
2.389892566231049743e-10	2.960808925498459022e+06	7.226235945723530836e+06
2.468268452255692806e-10	2.960808299113886431e+06	7.226235169309300371e+06
2.549214654451423314e-10	2.960807652187200263e+06	7.226234367432773113e+06
2.632815465648021228e-10	2.960806984044726472e+06	7.226233539258920588e+06
2.719157943036017723e-10	2.960806293990699574e+06	7.226232683925329708e+06
2.808331998823172083e-10	2.960805581306535751e+06	7.226231800541302189e+06
2.900430493863991314e-10	2.960804845250085928e+06	7.226230888186931610e+06
2.995549334359813486e-10	2.960804085054861847e+06	7.226229945912145078e+06
3.093787571730138678e-10	2.960803299929239787e+06	7.226228972735708579e+06
3.195247505759212065e-10	2.960802489055633079e+06	7.226227967644212767e+06
3.300034791125284578e-10	2.960801651589644141e+06	7.226226929591010325e+06
3.408258547423451742e-10	2.960800786659182049e+06	7.226225857495130971e+06
3.520031472796679687e-10	2.960799893363557290e+06	7.226224750240155496e+06
3.635469961293320139e-10	2.960798970772542525e+06	7.226223606673049740e+06
3.754694224073336536e-10	2.960798017925402615e+06	7.226222425602966920e+06
3.877828414589456106e-10	2.960797033829895779e+06	7.226221205800007097e+06
4.005000757873611052e-10	2.960796017461241223e+06	7.226219945993936621e+06
4.136343684063274911e-10	2.960794967761048581e+06	7.226218644872863777e+06
4.271993966306778827e-10	2.960793883636219893e+06	7.226217301081874408e+06
4.412092863191189219e-10	2.960792763957807794e+06	7.226215913221619092e+06
4.556786265841064474e-10	2.960791607559842523e+06	7.226214479846859351e+06
4.706224849841281415e-10	2.960790413238116074e+06	7.226212999464957975e+06
4.860564232142136024e-10	2.960789179748928640e+06	7.226211470534330234e+06
5.019965133110081441e-10	2.960787905807793606e+06	7.226209891462830827e+06
5.184593543892912175e-10	2.960786590088101104e+06	7.226208260606106371e+06
5.354620899273606527e-10	2.960785231219734065e+06	7.226206576265872456e+06
5.530224256192902378e-10	2.960783827787643299e+06	7.226204836688151583e+06
5.711586478126431938e-10	2.960782378330373205e+06	7.226203040061446838e+06
5.898896425508497150e-10	2.960780881338539999e+06	7.226201184514849447e+06
6.092349152400710261e-10	2.960779335253261030e+06	7.226199268116099760e+06
6.292146109610343618e-10	2.960777738464530092e+06	7.226197288869566284e+06
6.498495354469890483e-10	2.960776089309541043e+06	7.226195244714173488e+06
6.711611767496282870e-10	2.960774386070956010e+06	7.226193133521253243e+06
6.931717276155404727e-10	2.960772626975118183e+06	7.226190953092326410e+06
7.159041085964887260e-10	2.960770810190203600e+06	7.226188701156817377e+06
7.393819919175865964e-10	2.960768933824315201e+06	7.226186375369687565e+06
7.636298261282244400e-10	2.960766995923510287e+06	7.226183973308992572e+06
7.886728615614152294e-10	2.960764994469768368e+06	7.226181492473360151e+06
8.145371766280743462e-10	2.960762927378887311e+06	7.226178930279388092e+06
8.412497049736117954e-10	2.960760792498314753e+06	7.226176284058952704e+06
8.688382635251186617e-10	2.960758587604906410e+06	7.226173551056426950e+06
8.973315814583522479e-10	2.960756310402609874e+06	7.226170728425816633e+06
9.267593301146878953e-10	2.960753958520073909e+06	7.226167813227791339e+06
