# Frequency (Hz)	Real Part (Ohm/m)
1000.0	3248968.158610276
1018.6101701559753	3258177.779619108
1037.566678745186	3267558.7932419865
1056.875971184804	3277114.3891246216
1076.5446128423157	3286847.816272576
1096.5792912678098	3296762.3841559533
1116.9868184678226	3306861.463834663
1137.7741332214914	3317148.489104612
1158.9483034398106	3327626.9576652343
1180.5165285688054	3338300.4323087437
1202.4861420374123	3349172.542131525
1224.8646137509306	3360246.983768061
1247.6595526308697	3371527.522647837
1270.8787092020582	3381304.9988563405
1294.529978227916	3389619.9098497573
1318.6214013947485	3398089.562751594
1343.1611700460153	3406716.837335095
1368.1576279674719	3415504.6669665775
1393.619274224142	3424456.039602803
1419.5547660501015	3433573.99880692
1445.9729217920194	3442861.6447832994
1472.882723907502	3452322.135431648
1500.2933220192183	3461958.6874207216
1528.2140360258693	3471774.5772820283
1556.654359271062	3481773.1425238866
1585.6239617711371	3491878.5743049704
1615.132693503091	3499054.296602627
1645.1905877536624	3506363.560313233
1675.807864530767	3513808.8506652093
1706.9949340384078	3521392.699137497
1738.7624002162504	3529117.6843202906
1771.1210643450886	3536986.432791789
1804.0819287193826	3545001.6200112547
1837.6562003881704	3553165.9712287076
1871.8552949655793	3561482.2624115315
1906.690840512252	3569953.321188334
1942.1746814890264	3578582.027810374
1978.3188827841643	3587371.3161308747
2015.1357338155585	3594719.3001077743
2052.6377527092523	3600810.304519743
2090.8376905557498	3607014.6635602387
2129.748535745521	3613334.486778187
2169.3835183851843	3619771.922981577
2209.756114795903	3626329.160968081
2250.880052095462	3633008.4302692655
2292.7693128656488	3639812.0019086646
2335.438139906479	3646742.1891739396
2378.9010410788933	3653801.3484034347
2423.1727942376006	3660991.879787349
2468.2684522556924	3668316.228183829
2514.2033481427966	3675639.9454789907
2560.9931002584594	3680473.997111023
2608.6536176225477	3685398.01126647
2657.2011053245064	3690413.6621632
2706.652070033241	3695522.6551765604
2757.0233256095826	3700726.727419225
2808.3319988231724	3706027.648331831
2860.5955351757416	3711427.2202846026
2913.831704832789	3716927.2791901864
2968.0586086656026	3722529.69512787
3023.2946844057765	3728236.3729794384
3079.5587129142264	3734049.2530768504
3136.8698245668766	3739970.3118619714
3195.2475057592133	3744606.130780674
3254.711605531848	3748232.8366158903
3315.282342319423	3751927.0360638057
3376.9803108250912	3755689.9851920367
3439.8264890229243	3759522.9634438325
3503.8422452906757	3763427.2740730993
3569.0493456752292	3767404.244587517
3635.4699612933177	3771455.2271999135
3703.126675869927	3775581.599288026
3772.0424934169973	3779784.763862826
3842.240846055061	3784066.150045555
3913.745601980384	3788427.213553648
3986.581073580439	3792706.992149027
4060.7720257003657	3795044.346424707
4136.343684063274	3797425.199261172
