# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	49939556.77185002
1018.6101701559753	49827336.71961409
1037.566678745186	49713028.23311111
1056.875971184804	49596592.446224056
1076.5446128423157	49477989.76953077
1096.5792912678098	49357179.87684329
1116.9868184678226	49234121.69149637
1137.7741332214914	49108773.37238105
1158.9483034398106	48981092.29971824
1180.5165285688054	48851035.06056745
1202.4861420374123	48718557.43406607
1224.8646137509306	48583614.37639364
1247.6595526308697	48446160.005456544
1270.8787092020582	48317146.72947322
1294.529978227916	48196291.994636446
1318.6214013947485	48073188.13262021
1343.1611700460153	47947793.28678498
1368.1576279674719	47820064.821532086
1393.619274224142	47689959.30780707
1419.5547660501015	47557432.50833339
1445.9729217920194	47422439.36257129
1472.882723907502	47284933.97139667
1500.2933220192183	47144869.58149491
1528.2140360258693	47002198.5694643
1556.654359271062	46856872.42562348
1585.6239617711371	46709447.20467229
1615.132693503091	46583110.54284952
1645.1905877536624	46454422.73425328
1675.807864530767	46323340.02364206
1706.9949340384078	46189817.841481864
1738.7624002162504	46053810.788792074
1771.1210643450886	45915272.6217093
1804.0819287193826	45774156.235764034
1837.6562003881704	45630413.649864525
1871.8552949655793	45483995.98998277
1906.690840512252	45334853.47253677
1942.1746814890264	45182935.3874636
1978.3188827841643	45028190.08097747
2015.1357338155585	44885157.99063958
2052.6377527092523	44752137.144740626
2090.8376905557498	44616640.758265205
2129.748535745521	44478622.76098195
2169.3835183851843	44338036.22528466
2209.756114795903	44194833.35023641
2250.880052095462	44048965.44531669
2292.7693128656488	43900382.913866125
2335.438139906479	43749035.23622304
2378.9010410788933	43594870.95254633
2423.1727942376006	43437837.6453184
2468.2684522556924	43277881.92152281
2514.2033481427966	43116433.36163823
2560.9931002584594	42980437.086652994
2608.6536176225477	42841909.8978497
2657.2011053245064	42700804.69449154
2706.652070033241	42557073.49928899
2757.0233256095826	42410667.442087
2808.3319988231724	42261536.74324862
2860.5955351757416	42109630.69672938
2913.831704832789	41954897.65283669
2968.0586086656026	41797285.0006684
3023.2946844057765	41636739.150224544
3079.5587129142264	41473205.51418608
3136.8698245668766	41306628.48935472
