# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	21401422.362089183
1018.6101701559753	21396590.300046407
1037.566678745186	21391668.312506806
1056.875971184804	21386654.72594159
1076.5446128423157	21381547.835677307
1096.5792912678098	21376345.905316234
1116.9868184678226	21371047.166146
1137.7741332214914	21365649.8165382
1158.9483034398106	21360152.021335803
1180.5165285688054	21354551.911229208
1202.4861420374123	21348847.58212064
1224.8646137509306	21343037.094476733
1247.6595526308697	21337118.472669084
1270.8787092020582	21331166.408264957
1294.529978227916	21325177.212977182
1318.6214013947485	21319076.557746004
1343.1611700460153	21312862.36828291
1368.1576279674719	21306532.53169653
1393.619274224142	21300084.89577422
1419.5547660501015	21293517.268250283
1445.9729217920194	21286827.41606061
1472.882723907502	21280013.06458337
1500.2933220192183	21273071.896865632
1528.2140360258693	21266001.55283559
1556.654359271062	21258799.628500085
1585.6239617711371	21251468.999934513
1615.132693503091	21244211.540159952
1645.1905877536624	21236819.017824095
1675.807864530767	21229288.91938968
1706.9949340384078	21221618.684542105
1738.7624002162504	21213805.705318887
1771.1210643450886	21205847.325222895
1804.0819287193826	21197740.838319153
1837.6562003881704	21189483.488314766
1871.8552949655793	21181072.467621762
1906.690840512252	21172504.916402467
1942.1746814890264	21163777.921597168
1978.3188827841643	21154888.515933592
2015.1357338155585	21145996.736064985
2052.6377527092523	21137081.084688015
2090.8376905557498	21127999.51152187
2129.748535745521	21118748.92873382
2169.3835183851843	21109326.19102604
2209.756114795903	21099728.094566178
2250.880052095462	21089951.37589803
2292.7693128656488	21079992.710831903
2335.438139906479	21069848.713314362
2378.9010410788933	21059515.934276965
2423.1727942376006	21048990.860463496
2468.2684522556924	21038269.91323545
2514.2033481427966	21027370.67345241
2560.9931002584594	21016675.633121792
2608.6536176225477	21005781.556270793
2657.2011053245064	20994684.738795906
2706.652070033241	20983381.40765962
2757.0233256095826	20971867.71960756
2808.3319988231724	20960139.759861734
2860.5955351757416	20948193.540789448
2913.831704832789	20936025.00054751
2968.0586086656026	20923630.00170112
3023.2946844057765	20911004.329817113
3079.5587129142264	20898143.69203101
3136.8698245668766	20885043.715587396
3195.2475057592133	20872033.968790915
3254.711605531848	20859044.309427902
3315.282342319423	20845812.910293873
3376.9803108250912	20832335.27257056
3439.8264890229243	20818606.813715916
3503.8422452906757	20804622.865906
3569.0493456752292	20790378.674447898
3635.4699612933177	20775869.396163024
3703.126675869927	20761090.097740427
3772.0424934169973	20746035.7540594
3842.240846055061	20730701.246480882
3913.745601980384	20715081.36110707
3986.581073580439	20699231.86653848
4060.7720257003657	20683847.711542353
4136.343684063274	20668177.254804045
4213.321743847289	20652215.16819941
4291.732378422157	20635956.024447016
4371.602248248501	20619394.295262806
4452.958509942655	20602524.349480398
4535.828825510186	20585340.45113646
4620.241371751313	20567836.75752039
4706.224849841281	20550007.317187775
4793.808495089106	20531846.06793678
4883.02208687788	20513346.834746983
4973.895958790063	20494503.327679764
5066.461008921268	20475963.87733047
5160.7487103859075	20457543.370870788
5256.791122018419	20438780.055651534
5354.620899273607	20419667.551943354
5454.271305329836	20400199.36128906
5555.7762223988775	20380368.864294063
5659.170163246242	20360169.318375714
5764.488282925873	20339593.855470747
5871.766390733255	20318635.47970008
5981.040962380945	20297287.06499013
6092.349152400711	20275541.352649868
6205.7288067765	20253390.94890279
6321.218475812449	20230977.563623786
6438.8574272404185	20209502.688139185
6558.685659571435	20187628.161567733
6680.743915695614	20165346.546334706
6805.073696735206	20142650.266450845
6931.717276155407	20119531.60493644
7060.717714137772	20095982.701197468
7192.118872221193	20071995.54835293
7325.96542821523	20047561.990512397
7462.302891391108	20022673.720002934
7601.17761795533	19997322.274544403
7742.636826811269	19971499.034372192
7886.728615614156	19945195.219306394
8033.501977124735	19919620.88995024
8183.00681586739	19894348.965346396
8335.293965098195	19868606.72592551
8490.415204088747	19842385.4190488
8648.423275731726	19815676.129189406
8809.37190447399	19788469.77490098
8973.31581458352	19760757.10572993
9140.310748756232	19732528.699070122
9310.413487069076	19703774.95695915
9483.681866285926	19674486.102814868
9660.174799522645	19644652.178111285
9839.952296278227	19614263.038992554
10023.075482838643	19583632.368757315
10209.606623060476	19554720.800074983
10399.609139541202	19525271.18218
10593.1476351837	19495273.501884963
10790.287915161836	19464717.559655353
10991.097009294961	19433592.96614157
11195.643194838794	19401889.138646457
11403.99601970033	19369595.29752707
11616.22632608502	19336700.46252946
11832.40627458378	19303193.449055288
12052.609368708414	19269062.86435895
12276.910479883603	19234297.103673883
12505.385872903913	19198884.34626687
12738.113231864783	19164951.71071549
12975.171686575868	19131615.228934843
13216.641839466038	19097658.34955585
13462.60579298911	19063069.52687365
13713.147177539455	19027837.000315834
13968.351179887397	18991948.79044376
14228.30457214352	18955392.69487937
14493.09574126215	18918156.28415629
14762.81471909391	18880226.897493653
15037.553212997384	18841591.638491318
15317.404637020798	18802237.370744925
15602.46414366368	18762150.713379405
15892.828656229764	18721953.223226935
16188.596901781993	18684640.41427568
16489.86944471065	18646633.207600847
16796.74872092653	18607918.680342644
17109.339072690134	18568483.669144653
17427.746784089173	18528314.76567817
17752.08011717636	18487398.312083192
18082.44934877952	18445720.396324635
18418.96680799711	18403266.847462066
18761.746914391195	18360023.230831437
19110.90621689136	18315974.843137152
19466.56343342263	18271106.707452778
19828.83949127071	18225403.568128742
20197.857568198782	18182362.65337298
20573.743134329114	18140326.82857155
20956.623994804308	18097508.70991792
21346.630333242454	18053893.738790385
21743.8947560008	18009467.08562882
22148.55233726359	17964213.644892454
22560.74066496859	17918118.02992385
22980.599887588487	17871164.567717228
23408.272761782944	17823337.293589525
23843.904700937208	17774619.94575222
24287.643824604504	17724995.95978211
24739.64100886812	17674448.46298928
25200.049937640895	17624091.190682042
25669.027154919517	17578177.680013772
26146.732118010917	17531409.711099513
26633.327251749808	17483771.382325914
27128.978003724646	17435246.49614789
27633.852900531667	17385818.55358129
28148.123605075813	17335470.748593062
28671.964974937695	17284185.96238703
29205.55512182745	17231946.75758329
29749.075472144435	17178735.372289333
30302.71082866393	17124533.714060836
30866.649433372742	17069323.353749953
31441.08303147265	17013085.51923932
32026.206936576502	16961166.97002752
32622.220097116733	16910743.82229862
33229.325163989684	16859382.2912107
33847.72855945983	16807064.913289748
34477.640547344636	16753773.900063578
35119.275304507275	16699491.132013489
35772.850993678774	16644198.152413439
36438.58983763541	16587876.161054615
37116.71819475767	16530506.007853068
37807.466635993485	16472068.186338572
38511.070023255685	16412542.827022146
39227.76758927723	16351909.69064024
39957.803018952654	16291981.321674999
40701.42453219439	16238338.299218886
41458.88496832911	16183696.970987191
42230.441872066716	16128038.758339556
43016.35758106799	16071344.736883963
43816.89931514194	16013595.630042262
44632.33926710397	15954771.802495882
45462.95469532399	15894853.253509637
46309.02801799736	15833819.61013126
47170.84690917023	15771650.120264363
48048.704396551344	15708323.645612543
48942.89896114532	15643818.654492073
49853.73463873894	15578113.21451094
50781.5211232767	15518779.094228728
51726.57387216024	15461433.409540167
52689.21421350677	15403020.51190185
53669.76945540476	15343520.540299177
54668.57299720181	15282913.264100706
55685.96444286408	15221178.076179488
56722.28971644549	15158293.98590644
57777.90117970507	15094239.612013312
58853.1577519145	15028993.175322803
59948.42503189408	14962532.491343409
61064.07542232036	14894834.962726476
62200.48825634718	14825877.571582835
63358.04992658254	14758347.301277626
64537.15401646702	14698982.747701623
65738.20143409586	14638513.409682333
66961.60054853215	14576918.726993287
68207.76732865692	14514177.756778687
69477.1254846024	14450269.16643265
70770.10661181889	14385171.226345843
72087.15033782135	14318861.80251722
73428.70447166759	14251318.3490282
74795.22515621828	14182517.900376817
76187.17702322999	14112437.063669235
77605.0333513357	14041052.010665853
79049.2762269642	13968338.46967948
80520.39670825469	13904213.241934752
82018.8949920221	13842465.89221011
83545.28058382872	13779569.413800413
85100.07247122246	13715502.421225302
86683.79930019773	13650243.131016986
88296.99955494082	13583769.354313638
89940.22174092053	13516058.48931492
91614.0245713852	13447087.513597177
93318.9771573324	13376832.9762855
95055.65920101192	13305270.990080226
96824.66119303115	13232377.223134972
98626.5846131283	13158126.890783548
100462.04213468132	13086160.792451136
102331.65783302448	13023955.474259581
104236.06739764012	12960592.504511876
106175.9183482999	12896050.339115577
108151.87025522892	12830307.033039011
110164.59496336569	12763340.232849753
112214.77682079801	12695127.16911417
114303.11291144785	12625644.648655606
116430.31329208757	12554869.046668444
118597.10123376705	12482776.2986854
120804.21346773289	12409341.892395388
