Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.000000000000000166e-10	8.882460093810377643e+06	2.167874912615039945e+07
1.032794731918951654e-10	8.882459307492785156e+06	2.167874815168342367e+07
1.066664958279539403e-10	8.882458495388116688e+06	2.167874714525906742e+07
1.101645949633656381e-10	8.882457656650694087e+06	2.167874610582929105e+07
1.137774133221491146e-10	8.882456790407100692e+06	2.167874503231169656e+07
1.175087130904807540e-10	8.882455895755281672e+06	2.167874392358838022e+07
1.213623798344240958e-10	8.882454971763595939e+06	2.167874277850477770e+07
1.253424265461399975e-10	8.882454017469851300e+06	2.167874159586846828e+07
1.294529978227915867e-10	8.882453031880298629e+06	2.167874037444791570e+07
1.336983741824946476e-10	8.882452013968601823e+06	2.167873911297120526e+07
1.380829765218092491e-10	8.882450962674761191e+06	2.167873781012470648e+07
1.426113707194128486e-10	8.882449876904023811e+06	2.167873646455169842e+07
1.472882723907502473e-10	8.882448755525724962e+06	2.167873507485099137e+07
1.521185517986104510e-10	8.882447597372125834e+06	2.167873363957542181e+07
1.571072389247450498e-10	8.882446401237189770e+06	2.167873215723036975e+07
1.622595287078087593e-10	8.882445165875328705e+06	2.167873062627221644e+07
1.675807864530767868e-10	8.882443890000106767e+06	2.167872904510669410e+07
1.730765534195724819e-10	8.882442572282899171e+06	2.167872741208727658e+07
1.787525525904235329e-10	8.882441211351510137e+06	2.167872572551342100e+07
1.846146946324547531e-10	8.882439805788738653e+06	2.167872398362883180e+07
1.906690840512252406e-10	8.882438354130914435e+06	2.167872218461960182e+07
1.969220255479172543e-10	8.882436854866359383e+06	2.167872032661234960e+07
2.033800305846981002e-10	8.882435306433826685e+06	2.167871840767224506e+07
2.100498241653915480e-10	8.882433707220863551e+06	2.167871642580101267e+07
2.169383518385184289e-10	8.882432055562140420e+06	2.167871437893484905e+07
2.240527869300018610e-10	8.882430349737713113e+06	2.167871226494225487e+07
2.314005380130653023e-10	8.882428587971229106e+06	2.167871008162184060e+07
2.389892566231049743e-10	8.882426768428085372e+06	2.167870782670002058e+07
2.468268452255692806e-10	8.882424889213513583e+06	2.167870549782864377e+07
2.549214654451423314e-10	8.882422948370603845e+06	2.167870309258254990e+07
2.632815465648021228e-10	8.882420943878270686e+06	2.167870060845706239e+07
2.719157943036017723e-10	8.882418873649150133e+06	2.167869804286533967e+07
2.808331998823172083e-10	8.882416735527418554e+06	2.167869539313572645e+07
