# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	19657367.874309383
1018.6101701559753	19619555.953709885
1037.566678745186	19581040.346834097
1056.875971184804	19541807.957960702
1076.5446128423157	19501845.44765474
1096.5792912678098	19461139.228232123
1116.9868184678226	19419675.459139653
1137.7741332214914	19377440.04224905
1158.9483034398106	19334418.617063515
1180.5165285688054	19290596.55583492
1202.4861420374123	19245958.95859028
1224.8646137509306	19200490.64806556
1247.6595526308697	19154176.164545268
1270.8787092020582	19111148.45592523
1294.529978227916	19071302.86319042
1318.6214013947485	19030715.737194844
1343.1611700460153	18989373.277878344
1368.1576279674719	18947261.428359304
1393.619274224142	18904365.87015513
1419.5547660501015	18860672.01831384
1445.9729217920194	18816165.016455017
1472.882723907502	18770829.731718466
1500.2933220192183	18724650.749618895
1528.2140360258693	18677612.368804835
1556.654359271062	18629698.595719945
1585.6239617711371	18581109.038035467
1615.132693503091	18540113.349533193
1645.1905877536624	18498354.724292237
1675.807864530767	18455818.963930055
1706.9949340384078	18412491.605829827
1738.7624002162504	18368357.91822294
1771.1210643450886	18323402.895180084
1804.0819287193826	18277611.25150904
1837.6562003881704	18230967.41755754
1871.8552949655793	18183455.533919483
1906.690840512252	18135059.446042497
1942.1746814890264	18085762.698735222
1978.3188827841643	18035548.530572437
2015.1357338155585	17989362.15643201
2052.6377527092523	17946625.66342031
2090.8376905557498	17903093.837001786
2129.748535745521	17858751.875886418
2169.3835183851843	17813584.70332965
2209.756114795903	17767576.96200613
2250.880052095462	17720713.00878809
2292.7693128656488	17672976.909426477
2335.438139906479	17624352.43313316
2378.9010410788933	17574823.047062278
2423.1727942376006	17524371.910688903
2468.2684522556924	17472981.870083053
2514.2033481427966	17421121.135006152
2560.9931002584594	17377608.82210468
2608.6536176225477	17333286.737656236
2657.2011053245064	17288139.81167453
2706.652070033241	17242152.6937183
2757.0233256095826	17195309.747671913
2808.3319988231724	17147595.04642899
2860.5955351757416	17098992.366477005
2913.831704832789	17049485.182381067
2968.0586086656026	16999056.661165167
3023.2946844057765	16947689.656588726
3079.5587129142264	16895366.70331671
3136.8698245668766	16842070.01098124
3195.2475057592133	16793546.392870758
3254.711605531848	16748645.102198616
3315.282342319423	16702908.190866841
3376.9803108250912	16656320.107832775
3439.8264890229243	16608865.012646206
3503.8422452906757	16560526.770063441
3569.0493456752292	16511288.944561176
3635.4699612933177	16461134.794748202
3703.126675869927	16410047.26767318
3772.0424934169973	16358008.993026443
3842.240846055061	16305002.277233904
3913.745601980384	16251009.097441062
3986.581073580439	16196809.589634316
4060.7720257003657	16151540.858851178
4136.343684063274	16105429.66928542
4213.321743847289	16058460.342635747
4291.732378422157	16010616.908825016
4371.602248248501	15961883.100570224
4452.958509942655	15912242.347851451
4535.828825510186	15861677.772277921
4620.241371751313	15810172.181349097
4706.224849841281	15757708.062609104
4793.808495089106	15704267.57769228
4883.02208687788	15649832.556257933
4973.895958790063	15594384.48981225
5066.461008921268	15544421.43963695
5160.7487103859075	15498146.644706475
5256.791122018419	15451010.667968413
5354.620899273607	15402997.482682789
5454.271305329836	15354090.763849264
5555.7762223988775	15304273.882656481
5659.170163246242	15253529.900828056
5764.488282925873	15201841.564863417
5871.766390733255	15149191.300171394
5981.040962380945	15095561.205094691
6092.349152400711	15040933.044823138
6205.7288067765	14985288.245193623
6321.218475812449	14929745.878386756
6438.8574272404185	14883506.76189601
6558.685659571435	14836407.12757951
