# Frequency (Hz)	Real Part (Ohm/m)
1000.0	3354588.3572775545
1018.6101701559753	3365003.3447209857
1037.566678745186	3375612.156852911
1056.875971184804	3386418.400783764
1076.5446128423157	3397425.750752919
1096.5792912678098	3408637.9493779647
1116.9868184678226	3420058.8089272445
1137.7741332214914	3431692.2126160646
1158.9483034398106	3443542.1159270266
1180.5165285688054	3455612.547954938
1202.4861420374123	3467907.6127767456
1224.8646137509306	3480431.4908469636
1247.6595526308697	3493188.4404190835
1270.8787092020582	3504387.3449509996
1294.529978227916	3514070.974600504
1318.6214013947485	3523934.8182455134
1343.1611700460153	3533982.229699148
1368.1576279674719	3544216.6251895623
1393.619274224142	3554641.484521496
1419.5547660501015	3565260.3522594506
1445.9729217920194	3576076.838932871
1472.882723907502	3587094.6222637733
1500.2933220192183	3598317.4484172068
1528.2140360258693	3609749.1332749855
1556.654359271062	3621393.563733137
1585.6239617711371	3633170.7352213426
1615.132693503091	3641862.1306688352
1645.1905877536624	3650715.2744644973
1675.807864530767	3659733.1767726126
1706.9949340384078	3668918.9037771327
1738.7624002162504	3678275.578724212
1771.1210643450886	3687806.382984152
1804.0819287193826	3697514.5571330907
1837.6562003881704	3707403.4020548463
1871.8552949655793	3717476.280063242
1906.690840512252	3727736.616045334
1942.1746814890264	3738187.8986259103
1978.3188827841643	3748833.681353658
2015.1357338155585	3757951.4122085753
2052.6377527092523	3765739.760230214
2090.8376905557498	3773673.050733768
2129.748535745521	3781753.981123491
2169.3835183851843	3789985.2990027843
2209.756114795903	3798369.803108422
2250.880052095462	3806910.3442621357
2292.7693128656488	3815609.826339946
2335.438139906479	3824471.207259492
2378.9010410788933	3833497.4999857685
2423.1727942376006	3842691.773555558
2468.2684522556924	3852057.1541209426
2514.2033481427966	3861446.7056025434
2560.9931002584594	3868132.257288269
2608.6536176225477	3874942.2282284503
2657.2011053245064	3881878.9338865867
2706.652070033241	3888944.7328173434
2757.0233256095826	3896142.027468488
2808.3319988231724	3903473.2649977542
2860.5955351757416	3910940.938104893
2913.831704832789	3918547.585879226
2968.0586086656026	3926295.7946629557
3023.2946844057765	3934188.1989305546
3079.5587129142264	3942227.4821845135
3136.8698245668766	3950416.37786776
3195.2475057592133	3957188.556730867
3254.711605531848	3962855.0437526014
3315.282342319423	3968626.9850619966
3376.9803108250912	3974506.3431812893
3439.8264890229243	3980495.117155591
3503.8422452906757	3986595.343232579
3569.0493456752292	3992809.0955548505
3635.4699612933177	3999138.4868651466
3703.126675869927	4005585.66922471
3772.0424934169973	4012152.834745013
3842.240846055061	4018842.2163330903
3913.745601980384	4025656.088450759
3986.581073580439	4032407.646346957
4060.7720257003657	4036930.7184159085
4136.343684063274	4041537.965625691
4213.321743847289	4046230.9544899995
4291.732378422157	4051011.280675611
4371.602248248501	4055880.569544938
4452.958509942655	4060840.4767086627
4535.828825510186	4065892.688588661
4620.241371751313	4071038.922991411
4706.224849841281	4076280.929692058
4793.808495089106	4081620.4910293627
4883.02208687788	4087059.4225117136
4973.895958790063	4092599.5734344176
5066.461008921268	4096920.157428657
5160.7487103859075	4100383.8655047603
5256.791122018419	4103912.033777529
5354.620899273607	4107505.8618621933
5454.271305329836	4111166.571699025
5555.7762223988775	4114895.4079688103
5659.170163246242	4118693.6385160605
5764.488282925873	4122562.5547800874
5871.766390733255	4126503.472234106
5981.040962380945	4130517.7308325158
6092.349152400711	4134606.6954664923
6205.7288067765	4138771.7564280676
6321.218475812449	4142820.2542661317
6438.8574272404185	4145181.217527794
6558.685659571435	4147586.1187174898
6680.743915695614	4150035.7755275317
6805.073696735206	4152531.0208676327
6931.717276155407	4155072.7031480945
7060.717714137772	4157661.686568279
7192.118872221193	4160298.8514104425
7325.96542821523	4162985.0943390494
7462.302891391108	4165721.328705637
7601.17761795533	4168508.484859374
7742.636826811269	4171347.5104633826
7886.728615614156	4174239.370816959
8033.501977124735	4176182.6739472374
8183.00681586739	4177522.114835086
8335.293965098195	4178886.482945773
8490.415204088747	4180276.2421791535
8648.423275731726	4181691.8650683444
8809.37190447399	4183133.832940379
8973.31581458352	4184602.6360798716
9140.310748756232	4186098.7738957154
9310.413487069076	4187622.7550908895
9483.681866285926	4189175.09783542
9660.174799522645	4190756.3299425673
9839.952296278227	4192366.989048283
10023.075482838643	4193843.2135523534
10209.606623060476	4194185.3742841054
10399.609139541202	4194533.902685295
10593.1476351837	4194888.917259335
10790.287915161836	4195250.538715006
10991.097009294961	4195618.8900075
11195.643194838794	4195994.096380223
11403.99601970033	4196376.285407386
11616.22632608502	4196765.587037377
11832.40627458378	4197162.133636943
12052.609368708414	4197566.060036203
12276.910479883603	4197977.503574484
12505.385872903913	4198396.604147021
12738.113231864783	4198176.964421957
12975.171686575868	4197582.1932834145
13216.641839466038	4196976.353352783
13462.60579298911	4196359.238637952
13713.147177539455	4195730.639313274
13968.351179887397	4195090.341648203
14228.30457214352	4194438.127934636
14493.09574126215	4193773.77641288
14762.81471909391	4193097.0611962606
15037.553212997384	4192407.752194314
15317.404637020798	4191705.6150345504
15602.46414366368	4190990.410982771
15892.828656229764	4190153.818064497
16188.596901781993	4188683.531173027
16489.86944471065	4187185.881992328
16796.74872092653	4185660.3613055437
17109.339072690134	4184106.4504192024
17427.746784089173	4182523.6209868584
17752.08011717636	4180911.3348294497
18082.44934877952	4179269.0437523113
18418.96680799711	4177596.1893587834
18761.746914391195	4175892.202860345
19110.90621689136	4174156.504883227
19466.56343342263	4172388.505271416
19828.83949127071	4170587.6028859927
20197.857568198782	4168450.6259424426
20573.743134329114	4166118.3186217523
20956.623994804308	4163742.6066649677
21346.630333242454	4161322.6823044242
21743.8947560008	4158857.7227397687
22148.55233726359	4156346.889858186
22560.74066496859	4153789.329949444
22980.599887588487	4151184.1734156176
23408.272761782944	4148530.5344754113
23843.904700937208	4145827.5108629973
24287.643824604504	4143074.18352122
24739.64100886812	4140269.616289117
25200.049937640895	4137375.3518394907
25669.027154919517	4134248.7820814406
26146.732118010917	4131064.0263281893
26633.327251749808	4127820.0017284644
27128.978003724646	4124515.6052789493
27633.852900531667	4121149.7134492453
28148.123605075813	4117721.181799863
28671.964974937695	4114228.8445931016
29205.55512182745	4110671.51439668
29749.075472144435	4107047.9816800025
30302.71082866393	4103357.0144029018
30866.649433372742	4099597.3575967336
31441.08303147265	4095767.732937674
32026.206936576502	4091868.1834521103
32622.220097116733	4087896.679774245
33229.325163989684	4083851.265737161
33847.72855945983	4079730.5658564945
34477.640547344636	4075533.179049887
35119.275304507275	4071257.678160598
35772.850993678774	4066902.609472258
36438.58983763541	4062466.4922145866
37116.71819475767	4057947.818059918
37807.466635993485	4053345.050610351
38511.070023255685	4048656.6248753606
39227.76758927723	4043880.9467396773
39957.803018952654	4039056.3620949197
40701.42453219439	4034303.352063461
41458.88496832911	4029461.8877065647
42230.441872066716	4024530.3228741824
43016.35758106799	4019506.9807811333
43816.89931514194	4014390.1534369816
44632.33926710397	4009178.101065296
45462.95469532399	4003869.051512113
46309.02801799736	3998461.1996433777
47170.84690917023	3992952.7067311862
48048.704396551344	3987341.699828597
48942.89896114532	3981626.271132803
49853.73463873894	3975804.477336466
50781.5211232767	3970152.233062241
51726.57387216024	3964507.970200847
52689.21421350677	3958758.6666471963
53669.76945540476	3952902.367576136
54668.57299720181	3946937.081782878
55685.96444286408	3940860.7810059777
56722.28971644549	3934671.3992377007
57777.90117970507	3928366.832021556
58853.1577519145	3921944.9357367596
59948.42503189408	3915403.5268693785
61064.07542232036	3908740.3812699164
62200.48825634718	3901953.2333970736
63358.04992658254	3895169.738934414
64537.15401646702	3888711.803800354
65738.20143409586	3882133.6853945935
66961.60054853215	3875433.147085995
68207.76732865692	3868607.9106193366
69477.1254846024	3861655.65534068
70770.10661181889	3854574.017408319
72087.15033782135	3847360.5889890534
73428.70447166759	3840012.917439498
74795.22515621828	3832528.504472154
76187.17702322999	3824904.8053059713
77605.0333513357	3817139.2278010882
79049.2762269642	3809229.131577479
80520.39670825469	3801748.5870357677
82018.8949920221	3794336.0157532296
83545.28058382872	3786785.495257831
85100.07247122246	3779094.458291247
86683.79930019773	3771260.2898180387
88296.99955494082	3763280.3261365127
89940.22174092053	3755151.8539730357
91614.0245713852	3746872.1095594885
93318.9771573324	3738438.2776935566
95055.65920101192	3729847.4907815335
96824.66119303115	3721096.8278633035
98626.5846131283	3712183.3136191876
100462.04213468132	3703353.7124130204
102331.65783302448	3695116.122296008
104236.06739764012	3686725.2292252406
106175.9183482999	3678178.1802066667
108151.87025522892	3669472.0691515245
110164.59496336569	3660603.93588825
112214.77682079801	3651570.7651559818
114303.11291144785	3642369.4855793365
116430.31329208757	3632996.9686241173
118597.10123376705	3623450.0275335712
120804.21346773289	3613725.416244862
123052.40043592616	3603819.8282853686
125342.42654613995	3593729.895648454
127675.07043192645	3584405.664436701
130051.12521734099	3575207.6406395948
132471.39878661174	3565838.4400545275
134936.71405883064	3556294.877052346
137447.90926775365	3546573.7067187983
140005.8382468096	3536671.6237512296
142611.37071941295	3526585.2613347354
145265.39259467812	3516311.1899974146
147968.80626863963	3505845.916444313
150722.53093107554	3495185.8823696584
153527.5028780421	3484327.463247007
156384.67583022476	3473266.967096857
159295.0212572123	3462417.315054721
162259.5287078087	3452474.455295282
165279.2061464897	3442346.55722388
168355.08029612005	3432030.17724605
171488.19698705408	3421521.807681436
174679.62151272455	3410817.8755711643
177930.43899185772	3399914.7414629823
181241.75473742394	3388808.698173812
184614.69463245454	3377495.969529274
188050.40551285836	3365972.709079729
191550.0555573528	3354234.9987924686
195114.83468466165	3342278.8477195203
198745.9549580986	3330100.1906406926
202444.65099768018	3319123.5677193985
206212.18039991445	3308331.752332906
210049.8241653915	3297339.099425781
213958.88713434213	3286141.8713775887
217940.6984302958	3274736.261010142
221996.61191199525	3263118.390293028
226128.00663372793	3251284.309025015
230336.2873142131	3239229.993490967
234622.88481422624	3226951.345093717
238989.25662310526	3214444.188960505
243436.8873543108	3201704.2725234907
247967.289250216	3188727.264073808
252582.00269627848	3176140.8916694704
257282.59674479323	3164808.948837587
262070.66964838552	3153266.116621404
266947.8494034318	3141508.4703335976
271915.7943036019	3129532.0122477403
276976.1935036891	3117332.67023904
282130.76759394706	3104906.296399765
287381.2691851069	3092248.66562892
292729.4835042813	3079355.47419566
298177.22900196735	3066222.3382759714
303726.3579703311	3052844.7924621366
309378.75717301364	3039218.2882444384
315136.34848664823	3025338.1924646143
321001.08955431683	3013163.8865365884
326974.97445117676	3001220.462799938
333060.03436245886	2989054.7699153037
339258.33827409917	2976662.671416022
345571.9936762143	2964039.953855077
352003.1472796675	2951182.3253724957
358553.9857459817	2938085.414236047
365226.7364308175	2924744.767354834
372023.6681413066	2911155.84876517
378947.09190746717	2897314.0380883142
385999.36176797637	2883214.6289595007
393182.87557057705	2868852.8274276974
400500.07578736113	2855097.535137204
407953.45034524484	2842917.8568200883
415545.53347188793	2830511.512617044
423278.90655735444	2817874.284237371
431156.19903182285	2805001.8748872494
439180.0892596086	2791889.9078088067
447353.3054498463	2778533.9247919535
455678.6265841068	2764929.384658555
464158.8833612772	2751071.6617183844
472796.9591600391	2736956.0441963184
481595.79101923504	2722577.732630311
490558.37063650455	2707931.8382395064
499687.7453854889	2693013.3812619997
508987.0193519675	2680290.9218937475
518459.3543892913	2667816.094941652
528107.971193433	2655109.109337312
537936.1503980698	2642165.6445687055
547947.2336900292	2628981.2997183464
558144.6249454955	2615551.5919669303
568531.7913873753	2601871.9550691117
579112.2647641759	2587937.737800954
589889.6425508494	2573744.2023784462
600867.5891719692	2559286.5228466094
612049.837247669	2544559.7834386267
623440.1888627863	2529558.9769044165
635042.5168595961	2515380.938084975
646860.7661546321	2503004.4578044685
658898.9550799957	2490397.6491200076
671161.1767496272	2477556.2255808096
683651.6004510238	2464475.8209644994
696374.4730628222	2451151.98779257
709334.1204987989	2437580.195818183
722534.9491787221	2423755.8304858287
735981.4475265755	2409674.1913623447
749678.1874966878	2395330.490538694
763629.8261282243	2380719.85100205
777841.1071286482	2365837.3049775423
792316.8624866261	2350677.7922391626
807062.0141149492	2338100.068331795
822081.575524054	2325749.060331412
837380.6535266489	2313168.1979705472
852964.4499741016	2300353.203620437
868838.2635251193	2287299.720044922
885007.4914473438	2274003.3089189404
901477.6314524917	2260459.44931944
918254.2835656281	2246663.5361882243
935343.1520292377	2232610.87876618
952750.0472427299	2218296.698998366
970480.8877380306	2203716.1299094316
988541.7021919573	2188864.2139487807
1006938.6314760271	2175013.1066100514
1025677.9307444209	2163052.6271234057
1044765.9715608053	2150869.5610783664
1064209.2440647245	2138459.766101208
1084014.359178331	2125819.0227279244
1104188.0508541602	2112943.032969566
1124737.1783647507	2099827.418850878
1145668.7286348727	2086467.7209217395
1166989.8186171474	2072859.3967409087
1188707.6977119034	2058997.8193315347
1210829.7502320393	2044878.2756079424
1233363.4979137746	2030495.9647731292
1256316.6024741214	2015845.996686443
1279696.8682159416	2003999.58922324
1303512.2446815087	1992326.2659024778
1327770.829355429	1980435.7000484308
1352480.8704178738	1968323.8487405893
1377650.769549055	1955986.5938190033
1403289.084785873	1943419.7404840703
1429404.533431761	1930619.0158702494
1456005.9950206485	1917580.067593245
1483102.514336103	1904298.462270151
1510703.3044866556	1890769.6840120477
1538817.7500383465	1876989.1328885609
1567455.410205595	1862952.1233638222
1596626.022101425	1850030.380774699
1626339.5040481905	1838952.0387194413
1656605.9589499151	1827667.5268334884
1687435.6777273756	1816173.0082612114
1718839.1428171454	1804464.574742444
1750827.0317357269	1792538.2452836304
1783410.220710006	1780389.9648042556
1816599.7883753285	1768015.6027580535
1850407.019542302	1755410.9517286015
1884843.4090337954	1742571.725998735
1919920.6655932867	1729493.5600933628
1955650.715865947	1716172.0072951673
1992045.7084538713	1702602.538132652
2029118.0180466783	1691883.6169528135
2066880.2496290822	1681265.5222588165
2105345.242766708	1670449.8230158312
2144526.0759716653	1659432.8417695803
2184436.0711494284	1648210.832627729
2225088.7981283693	1636779.9799862572
2266498.079273693	1625136.3972320994
2308677.994187172	1613276.1254216607
2351642.884494346	1601195.1319347364
2395407.358720879	1588889.309103364
2439986.29725955	1576354.4728151928
2485394.857429798	1563586.3610908205
2531648.478631358	1551978.3651756353
2578762.8875937983	1542062.9114562264
2626754.1037238385	1531962.9294559231
2675638.4445520453	1521674.985072023
2725432.531281028	1511195.5802925832
2776153.2944368036	1500521.152007064
2827817.979625338	1489648.0707948355
2880444.1533962977	1478572.6396911254
2934049.709215787	1467291.0929300254
2988652.873550383	1455799.594664079
3044272.2120643063	1444094.2376600548
3100926.6359319235	1432171.0419704525
3158635.408267819	1420025.9535802605
3217418.1506763715	1410631.838064928
3277294.849923382	1401263.1985374542
3338285.8647317644	1391720.2070342433
3400411.9327037027	1381999.6188353628
3463694.1773717343	1372098.1288360823
3528154.1153808828	1362012.370423119
3593813.6638046256	1351738.9143299381
3660695.147596906	1341274.2674707717
3728821.30718283	1330614.8717529366
3798215.306190736	1319757.1028670308
3868900.7393279755	1308697.2690546447
3940901.6404034477	1297431.6098531135
4014242.490499326	1287310.400874932
4088948.226294856	1278671.1848652442
4165044.248545185	1269871.1915756
4242556.430717777	1260907.4289134657
4321511.127789762	1251776.8491029507
4401935.1852088785	1242476.3476485384
4483855.948021181	1233002.7622795252
4567301.270168747	1223352.8718748062
4652299.523960189	1213523.3953676696
4738879.609717651	1203510.9906301908
4827070.965603188	1193312.2533368762
4916903.577628021	1182923.7158071587
5008407.989848212	1172341.84582634
5101615.314749833	1164310.2534838987
5196557.243827657	1156237.2159960147
5293266.058360566	1148013.9379068047
5391774.640387494	1139637.623213116
5492116.483887789	1131105.4238776963
5594325.706169377	1122414.4388608402
5698437.0594691355	1113561.713133998
5804485.942768984	1104544.2366750336
5912508.413831869	1095358.9434447924
6022541.201461928	1086002.710344602
6134621.717992506	1076472.3561543992
6248788.072006888	1066764.64045107
6365079.081295578	1058141.282891798
6483534.286054714	1050768.5745868296
6604193.962330305	1043258.6589257934
6727099.135712336	1035608.9824564491
6852291.595284057	1027816.9442063724
6979813.907830667	1019879.8947985988
7109709.432312423	1011795.135550812
7242022.334607315	1003559.917557752
7376797.60252773	995171.4407565703
7514081.061116962	986626.8529747694
7653919.388230155	977923.2489604352
7796360.130405221	969057.6693944264
7941451.71902934	960027.0998841607
8089243.486805938	953289.7103517333
8239785.684528512	946458.3799723012
8393129.498166373	939499.9173721151
8549327.066268368	932411.9565989173
8708431.497690724	925192.0876696698
8870496.889654402	917837.855751146
9035578.34613892	910346.7603252522
9203731.99661823	902716.2543388264
9375015.01514529	894943.7433376182
9549485.639791967	887026.5845841384
9727203.192450536	878962.0861591045
9908228.099003786	870747.5060461577
10092621.909870483	863529.3469941603
10280447.320933098	857336.797565755
10471768.194855202	851029.0037387878
10666649.582795387	844603.8207953919
10865157.746525371	838059.064104136
11067360.180959744	831392.5083772254
11273325.63710487	824601.886913884
11483124.14543511	817684.8908296445
11696827.039703846	810639.1682713092
11914506.981197748	803462.3236172915
12136237.983442418	796151.9166630788
12362095.437367693	788705.4617915399
12592156.13694151	781146.8011492423
12826498.3052806	775550.3343370183
13065201.621247198	769849.716325147
13308347.24654076	764043.0088420792
13556017.853293689	758128.2375447067
13808297.652180923	752103.3913470564
14065272.421052363	745966.4217365041
14327029.534098294	739715.2420772574
14593657.991557576	733347.7269008758
14865248.449978571	726861.7111835919
15141893.25304352	720254.9896101747
15423686.462966273	713525.3158241034
15710723.892474487	706670.401663779
16003103.137387017	700709.9200626984
16300923.609797413	695571.746373235
16604286.571875297	690337.9503971196
16913295.17029647	685006.7525873274
17228054.471313924	679576.3402791595
17548671.49648152	674044.8670739189
17875255.259042352	668410.4522111166
18207916.800994623	662671.1799289876
18546769.230846975	656825.0988131169
18891927.762076646	650870.2211329341
19243509.75230332	644804.5221658647
19601634.743191857	638625.9395089038
19966424.501097932	632398.8686897997
20338003.0584698	627778.4739755715
20716496.75602067	623072.0929295239
21102034.285685964	618278.1253313897
21494746.734379806	613394.9411805328
21894767.628566206	608420.8801417254
22302232.979659364	603354.2509806197
22717281.330269028	598193.3309887082
23140053.80130654	592936.3653975857
23570694.139967278	587581.5667823087
24009348.76860652	582127.1144536502
24456166.83452444	576571.153839048
24911300.26067791	570911.7958520276
25374903.797335718	566040.9435804323
25847135.07469564	561817.5296100585
26328154.656480197	557515.5171870567
26818126.094530128	553133.4435808498
27317215.98441379	548669.8188391948
27825594.022071257	544123.125281586
28343433.061513092	539491.8169832227
28870909.173592344	534774.3192493822
29408201.705870606	529969.0280800046
29955493.34359816	525074.3096243151
30512970.171828706	520088.49962530035
31080821.738690637	515009.90285383875
31659241.119835205	509928.77532942855
32248424.98408439	506145.6257405128
32848573.66030047	502292.0710940215
33459891.20549975	498366.80113985395
34082585.47423452	494368.4812439312
34716868.189265594	490295.75193440734
35362955.013550386	486147.22843943397
36021065.62357073	481921.5002163228
36691423.78402494	477617.1304719469
37374257.42391064	473232.6556742139
38069798.71402284	468766.58505445055
38778284.14589453	464217.4001005248
39499954.61220647	459583.55404053506
40235055.48869293	455635.08862136555
40983836.717572615	452188.74880953005
41746552.89253134	448678.2720273808
42523463.34528677	445102.46467498713
43314832.23376403	441460.1109393201
44120928.631911896	437749.9723808645
44942026.62119142	433970.7875125336
45778405.38376616	430121.27137075237
46630349.29742726	426200.1150785544
47498148.03228505	422205.98540054983
48382096.649259575	418137.5242896131
49282495.700405136	413993.34842512896
50199651.33110079	409877.90899323544
51133875.38414321	406800.0904949688
52085485.50577665	403664.9932707398
53054805.25369574	400471.5513537127
54042164.20705915	397218.67893922655
55047898.078549676	393905.2700156112
56072348.82852027	390530.1979881309
57115864.78126434	387092.3152959302
58178800.74344935	383590.45302185166
59261518.124755524	380023.42049498984
60364385.060758635	376390.0048858511
61487776.53810017	372688.9707939792
62632074.521986924	368919.0598279038
63797668.08606282	365738.28089824226
64984953.54469889	362941.9039300136
66194334.587743886	360093.48591058597
67426222.41778335	357192.0583471415
68681035.88995308	354236.63472304563
69959201.65435374	351226.21016242274
71261154.30111745	348159.761088485
72587336.50817245	345036.2448755066
73938199.19175874	341854.59949431935
75314201.65974376	338613.74315121263
76715811.76779301	335312.5739201095
78143506.07844542	331949.969367902
79597770.02314977	328635.8487611711
81079098.06731695	326144.33726585616
82587993.87844272	323606.45831766835
84124970.49736118	321021.3490104192
85690550.51268347	318388.13037909043
87285266.2384837	315705.9071009749
88909659.89529167	312973.7671912568
90564283.79445294	310190.7816929293
92249700.52592173	307356.00436093635
93966483.1495469	304468.4713404406
95715215.38991857	301527.20083910256
97496491.83484097	298531.1927932595
99310918.137498	295479.428527895
101159111.22238298	292929.56507579994
103041699.49505854	290670.5686740964
104959323.05582266	288369.53196497465
106912633.91734771	286025.67257116106
108902296.22637327	283638.19355520693
110928986.48952228	281206.2831485228
112993393.80332193	278729.1144753659
115096220.0885031	276205.84527169616
117238180.32865997	273635.61759879667
119420002.8133535	271017.557551565
121642429.3857368	268350.7749613763
123906215.6947913	265634.36309341516
126212131.45225461	262977.5324664296
128560960.69432965	260968.50452947812
130953502.04826704	258922.0882407719
133390569.00390588	256837.58779672338
135872990.19027063	254714.2944447209
138401609.65731302	252551.48624214606
140977287.16289675	250348.4278109066
143600898.46512634	248104.37008739825
146273335.620113	245818.550067816
148995507.28528506	243490.19054872348
151768339.02834037	241118.4998627958
154592773.64194784	238702.67160964568
157469771.46430898	236241.88438163674
160400310.70568198	234205.61043349424
163385387.78098568	232387.02876762903
166426017.64859018	230534.6029875192
169523234.15541214	228647.7032484401
172678090.38843593	226725.6879841496
175891659.03277326	224767.9036887486
179165032.73638958	222773.6846944815
182499324.48161504	220742.35294540244
185895667.9635688	218673.2177668297
189355217.9756299	216565.57563050804
192879150.80207777	214418.709915402
196468664.61804405	212231.89066403583
200124979.8969035	210109.50737686417
203849339.82524642	208494.48901048553
207643010.7255779	206849.41487750356
211507282.48687947	205173.72563498802
215443469.00318778	203466.85153054065
219452908.62033114	201728.21220857435
223536964.59097964	199957.21651298637
227697025.53816846	198153.26228615807
231934505.92744273	196315.73616421522
236250846.547794	194444.013368477
240647515.00154215	192537.45749302488
245126006.20333397	190595.42028831865
249687842.8884332	188617.24144078366
254334576.13046482	186996.01281419917
259067785.8688001	185535.95818977593
263889081.44575077	184048.7317003548
268800102.15376073	182533.8276729051
273802517.7927863	180990.7310237345
278898029.23804396	179418.91708335612
284088369.0183295	177817.8514180938
289375301.9050947	176186.98964836966
294760625.51248586	174525.7772636101
300246170.90855557	172833.6494337049
305833803.23784316	171110.03081695994
311525422.35554785	169354.33536447337
317322963.4734973	167663.60842574085
323228397.81813806	166368.45618565186
329243733.30077755	165049.20094199694
335371015.2002929	163705.39413377875
341612326.8585518	162336.57885220283
347969790.3887688	160942.28968532433
354445567.3970435	159522.05255980368
361041859.71733445	158075.3845797152
367760910.160103	156601.7938623584
374605003.2748981	155100.7793710114
381576466.1271245	153571.8307445735
388677669.0892668	152014.42812403775
395911026.6468467	150428.04197573246
403278998.21937054	149140.3429277022
410784088.99656343	147970.64308662718
418428850.79015756	146779.1749324781
426215882.9015325	145565.53335324486
434147833.0055101	144329.30569771375
442227398.0505897	143070.0716351619
450457325.17594445	141787.4030124398
458840412.64547515	140480.86370839478
467379510.7992463	139150.00948558608
476077523.0226378	137794.38783923804
484937406.7335233	136413.53784338466
493962174.38783056	135006.9899941486
503154894.5038046	133663.09562288728
512518692.70533323	132626.43492004418
522056752.7846986	131570.48178512714
531772317.7850967	130494.87718269276
541668691.1033136	129399.25539558659
551749237.6129117	128283.2439005955
562017384.8083187	127146.46324178662
572476623.970219	125988.52690148729
583130511.3526218	124809.04116886543
593982669.3920338	123607.60500606295
605036787.9391212	122383.80991183891
616296625.5132942	121137.2397826753
627766010.5806513	119867.47077129659
639448842.8556936	118846.62861021138
651349094.6272782	117911.12914419257
663470812.1092337	116958.21987393011
675818116.816111	115987.57680000483
688395206.964551	114998.86989331308
701206358.9007177	113991.76298285366
714255928.5543104	112965.91364142533
727548352.9196217	111920.9730691984
741088151.5641569	110856.58597511944
754879928.1653446	109772.39045610782
768928372.0758306	108668.01787400534
783238259.9179205	107543.09273023406
797814457.2076613	106476.75467166866
812661920.0091946	105648.24643660834
827785696.619849	104804.3195223179
843190929.286625	103944.68698455355
858882855.9546258	103069.05653898955
874866812.0479896	102177.13046184003
891148232.2840202	101268.60548862805
907732652.5210242	100343.17271107361
924625711.6405733	99400.51747206123
941833153.4647961	98440.31925865213
959360828.7093127	97462.25159310829
977214696.9725724	96465.98192188438
995400828.7621539	95451.17150255774
1013925407.5588143	94643.11521024536
1032794731.9189526	93895.93026235678
1052015217.6161569	93134.8400754502
1071593399.8226712	92359.58587066107
1091535935.3313932	91569.90405320669
1111849604.81927	90765.52612276057
1132541315.1528125	89946.17858215896
1153618101.736476	89111.58284441005
1175087130.9048076	88261.45513796998
1196955702.3590453	87395.50641025872
1219231251.6491096	86513.44222937868
1241921352.7017846	85614.96268400375
1265033720.3959012	84770.04369502759
1288576213.185518	84108.68807357328
1312556835.7718453	83435.02451147008
1336983741.8249452	82748.82395584842
1361865236.7560828	82049.85309112539
1387209780.541618	81337.87425967591
1413025990.5995336	80612.64538102559
1439322644.7194095	79873.91986954154
1466108684.0469828	79121.44655059036
1493393216.1242533	78354.9695751355
1521185517.9861019	77574.22833274698
1549495039.3146317	76778.95736298966
1578331405.6521199	75968.88626516501
1607704421.673822	75330.04851870342
1637624074.521689	74733.91211457292
1668100537.2000556	74126.68151052555
1699144172.0346258	73508.15024161282
1730765534.1957276	72878.1080005388
1762975375.2872038	72236.34056615309
1795784647.0020967	71582.62973061278
1829204504.8462899	70916.75322519038
1863246311.9315598	70238.48464469903
1897921642.8391032	69547.5933705133
1933242287.5550432	68843.84449215588
1969220255.4791734	68126.99872742496
2005867779.5082297	67458.28054096732
2043197320.1952705	66930.86340296824
2081221569.9863415	66393.63094228783
2119953457.536069	65846.40049410095
2159406152.1035676	65288.98599415868
2199593068.0300703	64721.19791552518
2240527869.3000183	64142.84320413566
2282224474.1869006	63553.72521315667
2324697059.9856453	62953.64363612375
2367960067.833079	62342.394438834635
2412028207.618002	61719.76978997642
2456916462.98279	61085.55799045949
2502640096.4179215	60439.54340143863
2549214654.4514203	59934.995535117916
2596655972.934872	59459.78531259896
2644980182.4277143	58975.731346979155
2694203713.6818824	58482.66905469441
