Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.000000000000000166e-10	1.645908820816398190e+02	2.385614210136909321e+02
1.032794731918951654e-10	1.686966049837012918e+02	2.447971737979100624e+02
1.066664958279539403e-10	1.729369739676693882e+02	2.512374264230005281e+02
1.101645949633656381e-10	1.773164047157041239e+02	2.578888854064210818e+02
1.137774133221491146e-10	1.818394577210783325e+02	2.647584772040729035e+02
1.175087130904807540e-10	1.865108430372189900e+02	2.718533554231213429e+02
1.213623798344240958e-10	1.913354251824925711e+02	2.791809082713610906e+02
1.253424265461399975e-10	1.963182282058413932e+02	2.867487662508807489e+02
1.294529978227915867e-10	2.014644409185458755e+02	2.945648101040395090e+02
1.336983741824946476e-10	2.067794222975613820e+02	3.026371790200293503e+02
1.380829765218092491e-10	2.122687070660558959e+02	3.109742791105699666e+02
1.426113707194128486e-10	2.179380114569600266e+02	3.195847921635613034e+02
1.472882723907502473e-10	2.237932391655307640e+02	3.284776846838101392e+02
1.521185517986104510e-10	2.298404874971285210e+02	3.376622172302446643e+02
1.571072389247450498e-10	2.360860537166083475e+02	3.471479540593403499e+02
1.622595287078087593e-10	2.425364416059380801e+02	3.569447730847999196e+02
1.675807864530767868e-10	2.491983682368716018e+02	3.670628761638579363e+02
1.730765534195724819e-10	2.560787709657303139e+02	3.775127997209218620e+02
1.787525525904235329e-10	2.631848146575764531e+02	3.883054257196134813e+02
1.846146946324547531e-10	2.705238991473009378e+02	3.994519929946335424e+02
1.906690840512252406e-10	2.781036669453965260e+02	4.109641089552544599e+02
1.969220255479172543e-10	2.859320111964385660e+02	4.228537616726239321e+02
2.033800305846981002e-10	2.940170838985627597e+02	4.351333323634686963e+02
2.100498241653915480e-10	3.023673043924984540e+02	4.478156082831999356e+02
2.169383518385184289e-10	3.109913681289967258e+02	4.609137960418405555e+02
2.240527869300018610e-10	3.198982557237855531e+02	4.744415353566500926e+02
2.314005380130653023e-10	3.290972423094776786e+02	4.884129132557582693e+02
2.389892566231049743e-10	3.385979071941736152e+02	5.028424787476060374e+02
2.468268452255692806e-10	3.484101438368149957e+02	5.177452579714658896e+02
2.549214654451423314e-10	3.585441701496769724e+02	5.331367698448194687e+02
2.632815465648021228e-10	3.690105391387290297e+02	5.490330422238872643e+02
2.719157943036017723e-10	3.798201498929417426e+02	5.654506285941370152e+02
2.808331998823172083e-10	3.909842589339871779e+02	5.824066253081555260e+02
2.900430493863991314e-10	4.025144919381475006e+02	5.999186893888286249e+02
2.995549334359813486e-10	4.144228558426424911e+02	6.180050569163749969e+02
3.093787571730138678e-10	4.267217513489786711e+02	6.366845620183751180e+02
3.195247505759212065e-10	4.394239858363442295e+02	6.559766564825736168e+02
3.300034791125284578e-10	4.525427866984946945e+02	6.759014300128809509e+02
3.408258547423451742e-10	4.660918151180175073e+02	6.964796311496603494e+02
3.520031472796679687e-10	4.800851802923208425e+02	7.177326888760950396e+02
3.635469961293320139e-10	4.945374541261593890e+02	7.396827349331257437e+02
3.754694224073336536e-10	5.094636864059980894e+02	7.623526268662056964e+02
3.877828414589456106e-10	5.248794204720137486e+02	7.857659718278622449e+02
4.005000757873611052e-10	5.408007094040584661e+02	8.099471511608624041e+02
4.136343684063274911e-10	5.572441327384339047e+02	8.349213457875725908e+02
4.271993966306778827e-10	5.742268137328899229e+02	8.607145624319574608e+02
4.412092863191189219e-10	5.917664371978240752e+02	8.873536607015222444e+02
4.556786265841064474e-10	6.098812679122503368e+02	9.148663810574003037e+02
4.706224849841281415e-10	6.285901696437130113e+02	9.432813737017097537e+02
4.860564232142136024e-10	6.479126247919573416e+02	9.726282284122689816e+02
5.019965133110081441e-10	6.678687546768042012e+02	1.002937505355725079e+03
5.184593543892912175e-10	6.884793404913644963e+02	1.034240766911199444e+03
5.354620899273606527e-10	7.097658449424056926e+02	1.066570610537574112e+03
5.530224256192902378e-10	7.317504346004105855e+02	1.099960702718657558e+03
5.711586478126431938e-10	7.544560029825977381e+02	1.134445814021568367e+03
5.898896425508497150e-10	7.779061943929460767e+02	1.170061855304853452e+03
6.092349152400710261e-10	8.021254285440450076e+02	1.206845915114038235e+03
6.292146109610343618e-10	8.271389259864114365e+02	1.244836298303556077e+03
6.498495354469890483e-10	8.529727343717557915e+02	1.284072565925272329e+03
6.711611767496282870e-10	8.796537555775430519e+02	1.324595576425143008e+03
6.931717276155404727e-10	9.072097737210980313e+02	1.366447528190906041e+03
7.159041085964887260e-10	9.356694840924245682e+02	1.409672003495111767e+03
7.393819919175865964e-10	9.650625230358697308e+02	1.454314013879256436e+03
7.636298261282244400e-10	9.954194988117485536e+02	1.500420047026272414e+03
7.886728615614152294e-10	1.026772023470067325e+03	1.548038115170190622e+03
8.145371766280743462e-10	1.059152745769538114e+03	1.597217805093387369e+03
8.412497049736117954e-10	1.092595385176162154e+03	1.648010329763472328e+03
8.688382635251186617e-10	1.127134766976788342e+03	1.700468581663599480e+03
8.973315814583522479e-10	1.162806858544212446e+03	1.754647187871728192e+03
9.267593301146878953e-10	1.199648806791578409e+03	1.810602566946194656e+03
9.571521538991863169e-10	1.237698976855088858e+03	1.868392987676832036e+03
9.885417021919573871e-10	1.276996992045302704e+03	1.928078629762813989e+03
1.020960662306046580e-09	1.310275145114611632e+03	1.980589850836029655e+03
1.054442793526168950e-09	1.340518305489931208e+03	2.029667491060210295e+03
1.089022962263730067e-09	1.371753282202140781e+03	2.080354619338756947e+03
1.124737178364752061e-09	1.404012601602122459e+03	2.132704018400941095e+03
1.161622632608501755e-09	1.437329856733713541e+03	2.186770201971486131e+03
1.199717735435884489e-09	1.471739742315621015e+03	2.242609471538109119e+03
1.239062156947916503e-09	1.507278090870549249e+03	2.300279974980719999e+03
1.279696868215940940e-09	1.543981910039177819e+03	2.359841767123361024e+03
1.321664183946605026e-09	1.581889421117843995e+03	2.421356872271933298e+03
1.365007806546013663e-09	1.621040098860048829e+03	2.484889348802818404e+03
1.409772871628966933e-09	1.661474712583255496e+03	2.550505355869682262e+03
1.456005995020649598e-09	1.703235368623760905e+03	2.618273222297895245e+03
1.503755321299737753e-09	1.746365554183873428e+03	2.688263517738339488e+03
1.553070573933460069e-09	1.790910182617045848e+03	2.760549126154683108e+03
1.604003107056820079e-09	1.836915640198111987e+03	2.835205321720638040e+03
1.656605958949914401e-09	1.884429834427359310e+03	2.912309847206268387e+03
1.710933907269014249e-09	1.933502243918698696e+03	2.991942994934936451e+03
